,PC1,PC2,PC3,r2,Pr(>r)
weight,0.858967734431483,-0.438521081825201,0.264336323649438,0.683595902564287,0.000999000999000999
sex,0.773481684618743,-0.621638085673985,-0.123661529987845,0.757568118784701,0.000999000999000999
integument_color,-0.676322096132235,-0.719049310524832,0.159864040099904,0.696826523062032,0.000999000999000999
day,-0.34058479580612,-0.644986582023761,0.684101093315169,0.788716686973394,0.000999000999000999
temperature,-0.368926749942961,-0.325276295706909,-0.87068271180018,0.699090389519498,0.000999000999000999
size,0.145084780536207,-0.640192130070326,-0.754390113305297,0.4462548133646,0.000999000999000999
