"","total","expected","hits","Raw p","Holm p","FDR"
"Fatty Acyls",4680,0.158,4,8.53e-06,0.00406,0.00406
"Sphingolipids",629,0.0212,1,0.021,1,1
"Steroids and steroid derivatives",2040,0.0686,1,0.0666,1,1
"Glycerophospholipids",40000,1.35,1,0.776,1,1
