"","total","expected","hits","Raw p","Holm p","FDR"
"Glycerophospholipids",40000,10.6,46,1.15e-24,5.49e-22,5.49e-22
"Sphingolipids",629,0.166,8,7.21e-12,3.42e-09,1.72e-09
"Glycerolipids",42900,11.3,1,1,1,1
