"","total","expected","hits","Raw p","Holm p","FDR"
"Fatty Acyls",4680,0.113,1,0.108,1,1
"Glycerophospholipids",40000,0.962,2,0.247,1,1
"Glycerolipids",42900,1.03,2,0.275,1,1
