term,estimate,std.error,statistic,p.value
(Intercept),3.23198750766458,1.07230721092654,3.01404996136502,0.00257785350486106
treatment30C,-0.0543499190626415,1.42630711817749,-0.0381053409675812,0.969603692928274
treatment5C,-3.99281237544861,1.03994203610892,-3.83945665893864,0.000123306893733636
day,0.108979189523212,0.0376461741770565,2.89482774559411,0.00379366647077412
