term,statistic,df,p.value
(Intercept),4.88524911561056,1,0.0270871253728294
as.factor(treatment),124.692233091279,2,8.38350477690129e-28
day.sc,11.2153008002752,1,0.000811256590846166
as.factor(sex),6.61368455261841,1,0.0101198062170181
as.factor(treatment):day.sc,12.1546862181293,2,0.00229426417208598
