term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
treatment,30C-13C,0,-0.260203947019343,-0.510777637012701,-0.00963025702598491,0.039761094346687
treatment,5C-13C,0,1.65621602072715,1.41356810506038,1.89886393639392,1.32116539930394e-14
treatment,5C-30C,0,1.91641996774649,1.66321989766916,2.16962003782383,1.32116539930394e-14
