Parameter,Estimate,Std. Error,z value,Pr(>|z|),Coefficient,CI_low,CI_high,p
(Intercept),0.070588423540999,0.0899960853081776,0.784349933658558,0.432834807284516,0.0647559226176968,-0.0717320238383103,0.231231306696832,0.338
as.factor(treatment)30C,-0.0744897232123615,0.133859480551003,-0.556477007872291,0.577884807949816,-0.0764247869311005,-0.305210685157511,0.137704574741713,0.498
as.factor(treatment)5C,2.17762297806429,0.146069195836488,14.9081602427794,2.91679031578272e-50,2.16715692723969,1.92158220682646,2.41015252016747,0
day.sc,-0.171176109093124,0.0591190069091117,-2.89544967080192,0.00378615737889208,-0.173177817729166,-0.283790384510306,-0.0516827907968152,0.01
as.factor(sex)M,0.663206200607334,0.129858529154202,5.10714394292731,3.27064601405823e-07,0.660347182186735,0.406774801902812,0.908824032301263,0
as.factor(treatment)30C:day.sc,0.235444582676759,0.0965809534307521,2.43779517920758,0.0147771441565851,0.238121468501992,0.053108281794012,0.416309076266034,0.00800000000000001
as.factor(treatment)5C:day.sc,-0.0549357340764128,0.0944077590450665,-0.581898507411755,0.560635045940642,-0.0548061165044171,-0.251633495217861,0.130868006970303,0.59
as.factor(treatment)30C:as.factor(sex)M,-0.30513475317541,0.194624454657659,-1.56781301564665,0.116924776451706,-0.312903521830021,-0.678724207840542,0.104224025112104,0.148
as.factor(treatment)5C:as.factor(sex)M,-0.870246526354302,0.212346203958015,-4.09824385900661,4.16296571589605e-05,-0.853712489976707,-1.27995507173722,-0.446133524319479,0
