treatment,term,contrast,null.value,ratio,std.error,df,null,statistic,p.value
13C,sex,F / M,0,0.51519685913639,0.0669027063523164,Inf,1,-5.10714394292731,3.27064601405823e-07
30C,sex,F / M,0,0.699023129814838,0.102654829477062,Inf,1,-2.43827031963579,0.0147577335965648
5C,sex,F / M,0,1.23003217274681,0.206839166586543,Inf,1,1.23122842703098,0.218237442223939
