term,statistic,df,p.value
(Intercept),0.615204818430185,1,0.432834807284516
as.factor(treatment),276.904395295331,2,7.42975604917837e-61
day.sc,8.38362879614696,1,0.00378615737889208
as.factor(sex),26.0829192537792,1,3.27064601405823e-07
as.factor(treatment):day.sc,8.98248729452203,2,0.0112066979603046
as.factor(treatment):as.factor(sex),16.8026451183029,2,0.000224570120419491
