Parameter,Estimate,Std. Error,z value,Pr(>|z|),Coefficient,CI_low,CI_high,p
(Intercept),0.318293062367354,0.144007070353129,2.21025996561729,0.0270871253728294,0.314140641352232,0.133368580035019,0.490237711076155,0
as.factor(treatment)30C,-0.256851867357844,0.188230190065053,-1.36456254583324,0.172390583396591,-0.256401626628395,-0.475626206036466,-0.0373593521042668,0.03
as.factor(treatment)5C,1.68067457963223,0.186769159925774,8.99867290884729,2.28462478753977e-19,1.67898497138923,1.47868684652475,1.89577765360027,0
day.sc,-0.24775779416478,0.0739812836883446,-3.34892532019978,0.000811256590846167,-0.242237240438696,-0.388090648634909,-0.0930854795923481,0.004
as.factor(sex)M,0.239636725342059,0.0931819163653293,2.5717084890435,0.0101198062170181,0.240318079756475,0.057853966223329,0.434702360236791,0.006
as.factor(treatment)30C:day.sc,0.372733934902274,0.116976788100819,3.18639228306581,0.00144059120858916,0.369030038551282,0.159719725993504,0.591747262081893,0
as.factor(treatment)5C:day.sc,0.0222428297823255,0.10286201074891,0.216239500087367,0.828801065206647,0.0153082672925751,-0.193164289022834,0.21633058578724,0.89
