term,df,sumsq,meansq,statistic,p.value
treatment,2,183.507221648961,91.7536108244805,194.880216134635,6.30329021002726e-51
day,1,1.28762540938324,1.28762540938324,2.73485387470008,0.0994932803658719
as.factor(sex),1,0.264617377942298,0.264617377942298,0.56203446755925,0.454178987545699
as.factor(integument.color),6,0.557267648815615,0.0928779414692691,0.197268239854839,0.977349533557879
size,1,0.779586056139392,0.779586056139392,1.65580294607281,0.199415895430882
weight,1,0.574095229494094,0.574095229494094,1.2193504037644,0.270598660013561
as.factor(missing.legs),1,0.26517235227143,0.26517235227143,0.563213206098678,0.453706679793659
treatment:day,2,0.673600662450879,0.33680033122544,0.715347556936892,0.490066115866552
Residuals,239,112.52611179321,0.470820551436024,NA,NA
