#--- Experiment --------------------------------------------------------------------------
#Tank_4
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.3.1.1746   www.pyroscience.com
#TARRANT-X230
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-Ofav [A] FSO2-C4 SN:247475085D64A795 Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - SC6-540-199
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	7/26/2022	12/31/2000	22.135334	54.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.692017	13.275533	56.612999	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
26-07-2022	15:14:52.580	0.227	100.758	22.121	28	0	NotOK(11)	26-07-2022	15:14:52.580	0.227	13.314	OK	26-07-2022	15:14:52.580	0.227	1014	OK
26-07-2022	15:14:53.568	1.215	101.305	22.056	28	0	NotOK(11)	26-07-2022	15:14:53.568	1.215	13.316	OK	26-07-2022	15:14:53.568	1.215	1014	OK
26-07-2022	15:14:54.570	2.217	101.228	22.066	28	0	NotOK(11)	26-07-2022	15:14:54.570	2.217	13.316	OK	26-07-2022	15:14:54.570	2.217	1014	OK
26-07-2022	15:14:55.567	3.214	101.168	22.072	28	0	NotOK(11)	26-07-2022	15:14:55.567	3.214	13.319	OK	26-07-2022	15:14:55.567	3.214	1014	OK
26-07-2022	15:14:56.575	4.222	101.035	22.087	28	0	NotOK(11)	26-07-2022	15:14:56.575	4.222	13.325	OK	26-07-2022	15:14:56.575	4.222	1014	OK
26-07-2022	15:14:57.583	5.230	101.304	22.054	28	0	NotOK(11)	26-07-2022	15:14:57.583	5.230	13.330	OK	26-07-2022	15:14:57.583	5.230	1014	OK
26-07-2022	15:14:58.572	6.219	101.235	22.063	28	0	NotOK(11)	26-07-2022	15:14:58.572	6.219	13.333	OK	26-07-2022	15:14:58.572	6.219	1014	OK
26-07-2022	15:14:59.571	7.218	101.360	22.048	28	0	NotOK(11)	26-07-2022	15:14:59.571	7.218	13.334	OK	26-07-2022	15:14:59.571	7.218	1014	OK
26-07-2022	15:15:00.567	8.214	101.099	22.079	28	0	NotOK(11)	26-07-2022	15:15:00.567	8.214	13.331	OK	26-07-2022	15:15:00.567	8.214	1014	OK
26-07-2022	15:15:01.568	9.216	101.288	22.057	28	0	NotOK(11)	26-07-2022	15:15:01.568	9.216	13.330	OK	26-07-2022	15:15:01.568	9.216	1014	OK
26-07-2022	15:15:02.585	10.232	101.267	22.060	28	0	NotOK(11)	26-07-2022	15:15:02.585	10.232	13.326	OK	26-07-2022	15:15:02.585	10.232	1014	OK
26-07-2022	15:15:03.570	11.217	101.209	22.066	28	0	NotOK(11)	26-07-2022	15:15:03.570	11.217	13.325	OK	26-07-2022	15:15:03.570	11.217	1014	OK
26-07-2022	15:15:04.570	12.217	101.295	22.057	28	0	NotOK(11)	26-07-2022	15:15:04.570	12.217	13.326	OK	26-07-2022	15:15:04.570	12.217	1014	OK
26-07-2022	15:15:05.569	13.216	101.702	22.006	28	0	NotOK(11)	26-07-2022	15:15:05.569	13.216	13.358	OK	26-07-2022	15:15:05.569	13.216	1014	OK
