"","total","expected","hits","Raw p","Holm p","FDR"
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.0078,1,0.00779,0.623,0.414
"Valine, leucine and isoleucine biosynthesis",8,0.0156,1,0.0155,1,0.414
"Phenylalanine metabolism",8,0.0156,1,0.0155,1,0.414
"Ubiquinone and other terpenoid-quinone biosynthesis",18,0.0351,1,0.0347,1,0.617
"Pantothenate and CoA biosynthesis",20,0.039,1,0.0385,1,0.617
"Valine, leucine and isoleucine degradation",40,0.078,1,0.0761,1,0.798
"Tryptophan metabolism",41,0.08,1,0.0779,1,0.798
"Tyrosine metabolism",42,0.0819,1,0.0798,1,0.798
