"","total","expected","hits","Raw p","Holm p","FDR"
"Taurine and hypotaurine metabolism",8,0.0156,1,0.0155,1,0.621
"Sulfur metabolism",8,0.0156,1,0.0155,1,0.621
"Histidine metabolism",16,0.0312,1,0.0309,1,0.824
"Primary bile acid biosynthesis",46,0.0897,1,0.0871,1,1
"Purine metabolism",70,0.137,1,0.131,1,1
