Compound	Module	PubChem	KEGG	104	105	106	107	108	109	110	111	112	113	114	404	405	406	407	408	409	410	411	412	413	101	102	103	401	402	403	304	305	306	307	308	604	605	606	607	608	301	302	303	601	602	603	204	205	206	207	208	209	210	211	212	213	504	505	506	507	508	509	510	511	512	513	201	202	203	501	502	503	class
PC 35:1 Isomer A	5	NA	NA	5647906	3056954	3204919	4862525	2846640	3584794	6325172	4875291	6827563	2851207	5039297	4110496	4166690	4352008	3278919	2913408	4501429	2986352	2289134	4575697	2577594	5461550	5877736	5067276	5007341	2785776	6291690	2320302	7445116	2311999	3507537	4443335	3112953	1856862	1053872	3474760	3038023	3848336	1928348	2376005	3293157	6524937	5927052	4900728	4530771	2620285	2858486	4400467	3847663	3041406	4278619	2449745	2542378	4439786	6330126	7185672	3681417	1111185	4567149	3434859	7615917	3620864	3654313	3741456	5140831	2845095	5342451	4411781	4837887	lipid
PC 35:1 Isomer B	5	NA	NA	15032	11591	10360	15158	10460	12664	18622	14523	18517	9692	16616	13290	15041	12071	11046	9967	14325	12338	8395	14586	8012	15655	17357	12444	14188	10689	16294	11042	21535	9168	10678	15484	12939	7358	4827	10697	11360	11841	9367	6091	13920	17903	17765	15371	15423	11315	10973	14977	13028	11000	12671	9949	7838	13371	18086	19535	12677	7270	14168	11496	21582	10868	11920	12481	15393	10966	16275	16183	13410	lipid
PC 35:2	5	NA	NA	3560029	1152040	2091220	4659272	2764489	2237707	4703524	3170122	4015129	1961109	3464852	1812062	2664212	2842354	1949099	1767504	2161962	1238015	2821128	2057893	2449023	2134064	3840659	2188494	3460412	928870	1994189	551180	4173741	641353	1586494	912684	764614	623135	525346	2615791	1114060	2350336	632607	514584	971580	2387628	2268654	1865187	2361026	1366294	1283934	2573298	2446065	1534316	3043699	2004588	2331833	2586211	3402455	4008798	2609227	427840	2099752	1749890	4901389	1263786	2163458	2793072	2884273	783341	2655414	877792	2473968	lipid
PC 35:2 Isomer B	5	NA	NA	5163411	2342113	2700519	3353794	2098461	2710868	13917044	3096786	12594827	1792111	3839808	4447828	5890554	3290425	2158251	2225329	5037517	3314183	2200661	7417352	2849780	4666114	3758449	7989435	2663478	2548264	5503459	623981	4165258	1391137	2396605	2466767	2182922	976613	571106	2397601	2542486	1623706	1058814	1102629	2418621	6056914	5258622	4982047	8261229	2125056	3783379	8441608	3247794	6395451	4260198	1475355	3126063	8722532	5831519	3613524	2543185	598687	4001671	7622933	14326616	3164688	5418272	2368960	9437275	1321372	6965936	2197881	8127121	lipid
PC 35:3	5	NA	NA	2348135	956552	1054717	1228187	751958	995486	4431948	1375436	4760361	772473	1749163	1269928	1590156	1555316	901352	1099198	1618305	1133733	1123874	1975239	1623958	1604156	1482169	3783360	850316	891227	2028792	147689	1468148	376034	728754	585933	581757	258562	200619	906127	745263	793860	235752	258699	541216	1960321	1512184	1944304	1916755	571792	823944	2754379	1563627	2209649	2144473	497905	1356721	2677264	2000988	1635754	1133903	221597	1545005	3303694	5305213	1540235	1535255	831449	2544882	627851	2942466	1795990	2293404	lipid
PC 35:4 Isomer A	5	NA	NA	816000	556525	440334	528591	383125	289260	7413257	412178	5780145	346845	621799	670398	2165532	817885	411741	335763	1173581	1262869	369999	2460051	652147	1425510	813980	4678407	358996	446908	2793753	94082	547923	526260	491948	855487	690551	397166	113781	424805	1105836	366036	230201	446987	538308	3045770	2587980	1863864	4066311	296624	1176712	4641002	462037	2733074	634518	294170	487461	3789015	1451791	906433	326433	78022	673035	3537891	7603005	921569	3406180	460654	6692676	427095	2741141	528267	7244018	lipid
PC 35:4 Isomer B	5	NA	NA	1811	1383	1311	1292	1259	1667	10022	1654	8049	2327	1481	1459	4468	1797	1363	1182	2311	3112	1260	3773	2039	2454	2180	6802	1185	1535	4100	966	1305	2544	1713	1995	2097	1581	1052	1972	2604	915	1442	1735	2035	4667	4415	2423	5608	1373	2118	7501	1470	4285	1433	1136	1888	5604	2226	1651	1158	753	1874	4926	9645	1948	5046	1522	9240	1305	4569	1062	9231	lipid
PC 37:2 Isomer A	5	NA	NA	1207235	665499	598467	800944	512986	554366	1939089	815545	2564810	367609	746319	1149820	1042702	910320	498842	630872	855333	684495	498123	1285434	671730	834858	981701	1457043	572681	730073	1177010	302239	1337832	476713	898987	969978	624970	385278	248895	768350	731703	651185	427759	661877	771272	1529874	1322593	896202	1258685	527596	762173	1598145	564224	830151	891079	444442	640977	1398260	1073129	871492	461643	222149	781003	1046722	3112881	799813	944425	590268	1471036	383899	1655566	377526	1637254	lipid
PC 37:2 Isomer B	5	NA	NA	3562	2915	2321	3100	2092	2613	6151	2978	6589	1690	2795	4050	3568	2983	1976	2637	3134	2694	2213	3724	2242	3059	2758	3993	2244	3596	3455	1517	3971	2916	3212	3326	2558	1485	1390	2330	3380	2795	1741	2377	3522	5283	4114	2736	4756	2410	2901	5943	2146	2812	3059	2119	2174	4086	3574	3114	1970	1608	3182	3442	8144	3052	3295	2430	4706	1929	5051	1882	5008	lipid
PC 37:3	5	NA	NA	1200461	532006	611199	492881	336608	487402	3899320	598352	4261766	346845	602444	1040023	1130377	810067	369676	395148	1244677	840726	332206	1773661	702231	824926	491115	2644503	386935	434256	1784979	107116	752138	552107	701104	877510	725769	459757	155647	556349	740258	301031	187209	182635	793859	1779756	1622890	842136	1340936	259489	691241	1690016	383448	919957	710073	275726	602119	2100672	868949	631713	290353	118303	665426	1499675	4553925	596069	1089963	344418	2031840	228252	1879143	149392	1720448	lipid
PC 37:4	5	NA	NA	901703	504838	415548	1042031	704068	461224	3339171	560189	3099400	462482	892279	675256	1589676	1232590	495230	365093	791721	1013543	315973	1477268	322833	1018256	1525711	2118971	647021	337623	1722637	272544	870572	394229	488150	440804	406906	337456	85636	444981	1166538	690858	250333	977935	661506	2580184	2637563	1413063	1671588	261047	680656	2148117	565499	1148193	708926	539807	537232	2104538	1102523	1016249	528752	135629	679684	1258649	3422807	1037230	1878310	830881	3458730	591031	2171835	866591	3489315	lipid
PC 39:5 Isomer B	5	NA	NA	1230746	535790	611877	1186854	773808	580038	2591867	830430	2996503	702904	1157626	824220	1799739	1470469	640210	428543	1104668	905163	553387	1553660	605444	1176734	1967894	2113357	875097	527929	1452563	272152	1416949	377340	406090	470469	360172	312419	71113	424681	1091548	903094	308378	2561966	790180	2374803	2457973	1336328	1826514	458002	747639	2396244	602845	1140308	827966	704189	555666	2163839	1366160	1220726	410139	173040	706693	1245065	4406300	907892	1889423	1131189	3113231	819123	2513754	693762	2995893	lipid
PC O-16:0_20:4	5	NA	NA	2220	2098	1693	2703	1801	1741	8197	1930	6895	1594	2389	1595	3967	1768	1798	1541	2478	3122	918	3732	1243	3738	2184	9919	1941	1502	4538	1325	2539	2485	1510	1677	1666	1966	832	1451	2707	1415	1260	1881	2040	3564	4312	2728	4856	1514	2043	6194	1769	4039	1538	1784	1345	3685	2066	2285	1703	1348	2328	4806	6207	2173	3121	1488	5944	1242	3749	1923	5206	lipid
PC O-18:1_20:4	5	NA	NA	8959	4796	7258	9258	6874	6060	16238	7463	13107	8005	9738	9446	10172	9738	6672	6598	6764	6776	7053	9379	6255	9835	11795	17396	9279	4414	8847	4830	10385	4838	4662	4949	3589	4546	3374	5901	6323	8353	5184	3745	5914	8787	9253	8828	11174	5457	5639	12368	7527	6780	7678	8406	5728	8523	7840	9459	6594	3965	7768	7437	14030	4893	7848	9973	12130	6127	9129	9811	7195	lipid
PE 37:5|PE 17:0_20:5	5	NA	NA	44028	9349	27958	42994	25559	26512	113270	22966	130611	33091	63742	33202	61087	33198	22616	16374	44253	37788	22584	51219	24112	43519	49414	33673	35677	15569	27569	8027	44298	13286	17199	9684	8793	12815	6936	15038	20538	24296	6686	9319	22122	37445	43377	59115	79408	19566	31300	77397	32087	47619	37793	24691	30786	78137	53020	39882	25404	8246	40230	46695	140938	20121	52103	36396	99637	7498	62325	15084	50155	lipid
