Compound	Module	PubChem	KEGG	104	105	106	107	108	109	110	111	112	113	114	404	405	406	407	408	409	410	411	412	413	101	102	103	401	402	403	304	305	306	307	308	604	605	606	607	608	301	302	303	601	602	603	204	205	206	207	208	209	210	211	212	213	504	505	506	507	508	509	510	511	512	513	201	202	203	501	502	503	class
tyramine	10	5610	C00483	4220458	3808873	1397617	5919305	3938150	7170490	4060920	9078662	998260	760720	10588507	844994	1017363	7915902	3043172	9509350	1917426	1014417	4007390	8444451	4309217	714552	11181618	1536640	658753	10716573	916366	18614321	1011518	6879899	4414117	26050990	19163916	5109671	5906766	15496109	5441855	860499	23134201	4749443	20190980	6103507	712400	2655694	1882144	14584508	6071411	3855728	8046259	3473286	4410730	1895609	1613063	1939754	814290	8889484	1944283	4637440	8379408	2162876	7662978	4459698	2067719	1593191	626133	287568	924829	1224505	3775322	metabolite
thymine	10	1135	C00178	14006	13668	14319	30567	40679	68450	29323	44065	2705	3112	51747	31803	7531	40839	5094	38119	6862	1258	59685	63459	17653	3740	58848	9596	5849	35157	3506	20660	10655	3231	30233	93607	45898	9880	7249	23309	22315	11008	28414	57340	15140	7889	1906	30952	10986	13298	33632	18152	51293	7916	48545	26258	13617	7015	4126	43438	5969	25546	31007	6004	50291	5376	5040	7564	5126	818	7881	1021	46169	metabolite
threonine	10	6288	C00188	91271	30562	235231	146165	118295	54439	108633	47098	87641	87234	72260	51246	70778	91727	58658	56373	96700	101409	49528	67143	81974	138905	50389	302275	162522	18049	78872	25451	76875	32108	30824	16394	31993	45278	68991	27046	55119	28319	14900	28839	17409	61377	57345	71455	45354	36225	23056	101148	27535	58981	94026	55795	60712	38328	87171	80154	35309	39447	49615	33147	44174	33696	63771	68000	176833	71794	72691	239483	46477	metabolite
synephrine	10	7172	C04548	281	4168	167	511	551	3784	101	43767	110	390	7423	1944	2942	2163	3455	52763	190	497	3146	4076	196	324	1639	55	419	3397	386	1012	338	3015	3105	24236	111547	2495	1083	1610	1502	741	20737	1615	28735	1387	310	129	1122	3310	27807	1666	2325	553	216	715	379	804	1441	2748	246	228	3567	180	442	1593	912	488	73	88	391	137	878	metabolite
serotonin	10	5202	C00780	2050	676	697	1163	1452	4056	3341	5794	658	305	6007	2683	3708	1774	3400	13996	933	543	5027	4416	1507	1327	1939	1858	542	1069	1486	15251	2207	2314	1995	66111	52136	3158	1200	7910	1584	512	70451	3882	27778	1865	1708	1751	988	7909	16328	1184	3723	1816	1353	743	374	2087	988	1185	1905	5504	1622	3042	5139	1364	1008	1346	1084	341	728	1179	1135	metabolite
phenylethylamine	10	1001	C05332	29817	40411	184725	24370	14887	19829	40651	3135	366771	236242	69812	4867	162963	2214	47188	5287	70409	263355	60878	23514	87887	98205	21339	169345	211929	3862	167217	6146	78825	19757	14349	4898	2698	9742	3641	3344	44878	217056	904	409590	1125	12357	233120	19380	98412	1233	11439	10461	2174	26657	28786	43603	17981	20146	189572	17384	34399	4886	18855	42916	4852	11747	34686	124007	334304	550682	260650	387118	80143	metabolite
N-alpha-acetyllysine	10	192590		17251	4620	2934	16797	7499	64668	14791	131624	1810	2107	24354	77662	4884	64781	6269	168097	14469	4988	115966	30554	3488	3073	31447	2435	3327	105920	2868	67321	5114	22799	14532	189384	283325	22524	12655	22815	21227	2740	136289	6799	279150	36730	2304	9736	6465	149140	170231	12696	38365	8100	13426	7366	4434	3981	3029	30864	13877	48081	37461	8838	61514	51966	16615	3443	1313	1567	8182	912	609	metabolite
glycerol-alpha-phosphate	10	754	C03189	21658	40655	90590	9110	15205	11003	40747	16149	20931	37082	14817	24821	28914	5402	46672	10121	9261	53107	13813	13701	42651	13408	11703	114657	17864	12408	51963	10023	30063	19983	13911	3179	10455	6834	15466	15146	33690	47946	10919	213526	15735	24343	32700	25848	36285	14612	20056	21320	15796	11446	16273	9690	24506	24953	32296	14664	34446	14178	11984	18583	4532	9648	26285	43973	41559	67042	22254	184834	46965	metabolite
glutathione	10	124886	C00051	1204	2281	267	3828	2535	4514	2299	2561	945	1200	3824	4413	726	6118	1191	4042	1488	1500	5190	2939	864	1093	3874	1013	859	3133	805	3138	9402	1246	7227	2831	3500	3749	5194	1938	4486	1336	4682	3240	3148	11578	1613	2444	1311	2085	5499	3293	3943	2677	1475	1256	1279	2101	1825	4404	1521	4391	2612	1360	3193	3334	1776	1486	799	1760	1655	525	4980	metabolite
