Compound	Module	101	102	103	104	105	106	107	108	109	110	111	112	113	114	201	202	203	204	205	206	207	208	209	210	211	212	213	301	302	303	304	305	306	307	308	401	402	403	404	405	406	407	408	409	410	411	412	413	501	502	503	504	505	506	507	508	509	510	511	512	513	601	602	603	604	605	606	607	608	PubChem	KEGG	class
DG 36:5	11	74822	174643	136342	128919	149613	94541	105204	65755	98782	156789	82043	93444	81988	89394	197576	95525	123530	175322	140086	57858	89417	106807	118415	88637	155519	65277	172835	143077	48731	108235	26069	81242	18475	36728	57523	65004	108249	171865	93325	83353	143618	76183	106500	73653	42466	118831	50430	208929	123981	143828	75623	61926	104459	145178	98679	28914	198661	89522	231852	99679	98579	91372	94836	49373	28840	27829	20432	26408	30488	NA	NA	lipid
DG 38:5	11	457643	917762	477411	771161	861804	658470	544921	318675	574542	873937	588290	546226	510019	398315	871393	514351	535403	623235	739940	544926	341236	660920	528650	314026	795775	343552	604847	652726	344220	538679	277248	706253	136790	322902	565508	522980	397260	818477	578436	491886	606538	483830	547820	439859	230220	564477	380680	729633	676827	628677	496334	528377	507838	944021	505029	136732	840505	617225	1225483	416706	398117	518288	553048	517302	235768	134010	125098	320532	189478	NA	NA	lipid
DG 38:6	11	283384	517007	319682	525919	730808	408031	418943	344510	466793	497676	425693	263400	445724	307210	545338	369318	250248	519561	503208	328716	259956	418629	429156	305849	508835	379846	533324	402492	277051	268425	157000	211654	75767	163765	233428	411364	280427	562992	343435	333069	370998	386294	468326	215034	251149	422661	277046	618899	414006	477093	282526	351936	410425	627743	543905	161011	613190	441373	663379	377458	303409	314241	304192	201200	90519	68716	86938	103224	161721	NA	NA	lipid
NAE 4:0	11	447041	295705	774103	593877	1111764	315318	485814	405249	685111	381745	968973	323393	441652	315711	549188	577016	927112	1121571	935262	1578296	1071577	146090	1882730	1229675	692438	316354	2031764	909192	588345	223535	1831271	71678	0	375947	1281910	168617	456083	647110	459099	1297563	402323	491778	430430	288999	801820	137541	112312	1277949	672331	3188488	804900	252008	416012	152576	7667	211886	970752	1385212	561045	112241	621945	448390	429550	1253848	234150	0	9415	328923	308881	NA	NA	lipid
PC 14:0_16:1	11	210756	578938	286479	316223	206143	319788	135936	133984	239724	476166	238388	216548	153627	201510	335520	176459	556682	661288	384049	770764	488789	404384	805376	410403	614467	110494	490558	278782	140736	6465724	131519	213054	90509	176285	228843	151629	1094407	321740	368322	239906	791466	216989	316017	207488	121580	490626	405433	346854	395794	995075	610476	192780	583085	459471	161097	111461	745493	540842	967606	581128	325347	397400	256999	153295	181894	98706	55688	109332	128321	NA	NA	lipid
PC 32:1 Isomer A	11	11440637	22668639	18730308	16756916	9535622	13074045	11872128	8343685	10996709	20168197	14066518	12885288	8544273	12756661	17551226	12754276	23002637	22726683	22295236	13232634	15884788	16005733	16992685	15126423	21584066	3866283	19232487	11255034	6813285	8180601	2033645	9029089	1432659	6294152	6443455	8118827	28541888	14173578	17066874	14056474	18163324	7476610	10874153	11066136	6007006	19386203	16005266	17113545	13477784	30430498	20399124	9706420	20247342	14916155	6129801	1915468	23567734	17049589	22785411	13908424	12215433	13433739	9961334	6332390	4353946	1376300	1214627	4928721	3484326	NA	NA	lipid
PC 32:1 Isomer B	11	20155	39440	33950	27735	21373	26050	24097	17327	24433	35115	27033	20808	17331	24030	30877	21021	48789	38912	37079	29962	31115	29776	31881	27948	38290	9402	35735	21730	23260	13829	8567	20199	5881	16177	19307	14833	53143	25911	32823	25729	30823	16770	22961	21894	15172	36198	29339	29657	24416	55067	29933	17820	32352	24190	13675	9852	42975	28285	37752	25973	21228	31048	20093	13761	15713	5923	6150	11918	9877	NA	NA	lipid
PC 32:2 Isomer A	11	296971	873692	541038	783756	336534	353988	311330	249828	449365	826806	455998	487323	330221	371422	419763	353231	763336	687097	641582	753709	872759	601305	800699	522185	1260460	99785	1189712	364293	295584	1418105	71738	434610	78939	310501	224258	236640	2952849	419878	597278	414981	1181237	251107	524662	398823	179765	629592	705737	955679	678960	1357257	694752	308390	824858	539698	239571	103956	948130	651668	1001549	863962	366858	523592	354015	315612	190651	61781	85636	245998	177465	NA	NA	lipid
PC 32:2 Isomer B	11	2673	5196	3205	5493	3857	3483	4235	2733	3879	4965	3458	2739	2769	3479	3922	1622	5583	4364	4022	5776	5869	5770	4802	3782	9071	1492	7174	3199	2595	7419	1362	3876	908	2953	2589	2272	17129	2615	4526	3158	6730	3391	3897	3483	1809	4766	4462	6003	4731	9205	3788	2695	5173	2121	2234	1562	6410	4339	3625	5870	3629	3540	2879	2845	2051	1426	896	2265	1711	NA	NA	lipid
PE 16:0_16::1	11	4188	8241	4114	5955	6746	5394	4261	3675	4681	11173	6689	4436	2565	5042	6823	2609	4990	8557	8459	8151	11841	5398	6637	4787	7315	1156	4751	6753	5611	3153	2170	8308	2234	4000	9057	3494	39739	9095	10592	5327	4629	2970	5427	7731	3170	7349	6752	5019	5022	7549	5041	2574	8388	5431	2034	2165	6299	6772	3711	3573	2023	11729	7431	3161	5296	1665	1759	2675	2858	NA	NA	lipid
PE 16:1_18:1	11	4799	8570	4937	11098	4899	8625	6132	5174	6321	11440	8782	7581	5541	6528	5246	2939	2536	8475	8244	7749	9949	8105	8578	5126	11002	2197	6518	5487	4997	2749	2047	8205	2630	6292	7606	3644	47738	5646	12579	4982	6498	3241	6893	8310	3813	8071	7251	8373	5784	4148	5009	4420	9726	7995	2819	2339	10603	6272	9338	5531	4150	8240	4507	3232	4029	1592	2577	5313	2353	NA	NA	lipid
