Compound	Module	101	102	103	104	105	106	107	108	109	110	111	112	113	114	201	202	203	204	205	206	207	208	209	210	211	212	213	301	302	303	304	305	306	307	308	401	402	403	404	405	406	407	408	409	410	411	412	413	501	502	503	504	505	506	507	508	509	510	511	512	513	601	602	603	604	605	606	607	608	PubChem	KEGG	class
LPC 18:1	14	179011	163652	555581	149743	107839	106799	79238	99904	868574	129269	98475	236753	162506	88966	192149	888969	132297	292308	1919989	141022	1425531	159018	140950	77977	406524	286520	875159	371196	322489	101917	157196	61004	221141	199366	175835	141170	502846	261534	145646	187767	93063	74899	90819	86251	73903	128806	96023	313746	165511	187246	76954	113130	142780	715428	276914	27700	205859	94644	335245	42072	104458	68272	170114	152946	137254	155624	132210	354220	128958	NA	NA	lipid
LPC 18:2	14	304	274	4927	1348	472	880	376	496	2680	474	326	1349	685	589	372	1541	325	569	1337	478	1106	374	799	494	2256	639	4588	347	357	166	145	189	206	702	223	438	346	1148	433	532	404	392	639	448	365	451	284	2998	633	394	132	334	417	2163	775	248	747	335	1082	172	425	231	419	341	237	177	312	734	165	NA	NA	lipid
LPC 20:1	14	353	281	1024	552	431	191	205	212	673	203	331	395	314	284	373	469	277	457	1231	342	791	780	287	170	721	300	989	703	246	1118	303	396	263	356	218	200	404	295	133	156	386	125	226	252	181	299	113	712	353	297	423	186	437	949	401	357	387	138	514	228	165	234	385	347	121	134	118	550	225	NA	NA	lipid
LPC 20:2	14	235	329	545	344	96	126	208	229	793	268	274	326	328	189	375	929	307	395	997	234	543	427	315	182	687	631	877	601	390	620	185	209	231	403	353	171	265	173	347	220	312	155	260	148	171	173	111	624	347	222	190	152	339	1259	473	195	433	198	491	203	185	285	320	379	58	92	158	870	282	NA	NA	lipid
LPC 20:5	14	107419	219506	636477	92701	57741	69687	107667	111928	515822	104913	70195	183201	185741	93243	335772	1676053	212153	404836	1788274	72804	711462	192842	137194	126238	236389	343722	746049	291783	173474	51540	90064	14152	115889	98378	80033	161878	97299	158628	90777	225430	134146	113351	92489	86687	66348	210959	147805	402080	128400	499266	94342	134137	144541	513597	273215	24168	122706	120698	351889	31665	146471	40125	133437	149379	53969	98796	37960	94278	172551	NA	NA	lipid
LPC 22:6	14	175112	143096	685079	140226	40865	100839	64354	85063	919195	125421	50905	305629	151958	74851	211964	2415499	83124	373187	2129833	93434	1023472	185813	155193	99370	371736	495525	900524	313429	233118	151628	28225	25889	106372	85205	46408	122356	91971	157988	68497	143793	105388	83007	62869	84317	75032	82091	73547	298672	143793	103360	84192	146901	158449	1596903	516845	18209	152869	93679	421742	80204	132132	23356	113559	201060	19037	40257	37359	206325	129413	NA	NA	lipid
LPE 20:4	14	1199	1648	4758	1184	1572	1026	1241	1445	2970	1074	1176	1580	1407	1139	2307	7627	1328	3414	8316	1298	4727	2574	1430	1344	3187	2735	5537	2192	1351	1940	1842	311	1431	1403	1593	1037	1553	1498	1206	1753	1234	843	1450	1153	1080	1406	1353	1767	940	3540	1209	1408	1568	7782	2039	991	1636	1172	3501	884	1014	2249	1784	1075	2786	1219	1036	1279	1198	NA	NA	lipid
LPE 20:5	14	56604	134060	269583	51164	67049	53704	55466	69740	243773	63475	33162	90536	126119	36517	180223	708519	105279	223423	910023	96643	480653	116220	84825	91120	278787	258897	543942	206205	52588	26103	61349	5313	71754	52334	115186	89223	94709	70383	73356	117929	85703	74176	70928	87934	47416	223040	122483	215199	50827	249043	77453	100438	106523	579812	297389	28362	89322	150242	224589	36943	56351	10095	63160	46436	142679	54396	23838	78668	122861	NA	NA	lipid
LPE 22:6	14	1386	1632	6252	1003	1079	880	964	1445	3795	1762	1155	2122	1591	1122	2832	11135	1919	3930	13495	1133	7458	2017	1345	1233	4615	2347	7842	2501	1224	4120	1181	408	1171	1608	1086	1348	1492	1499	1486	1817	1058	805	963	1216	669	1446	962	2534	1072	3880	1207	1153	1993	8926	3986	671	1620	1145	3378	761	934	1143	1044	1249	787	903	667	1567	1103	NA	NA	lipid
