Compound	Module	PubChem	KEGG	104	105	106	107	108	109	110	111	112	113	114	404	405	406	407	408	409	410	411	412	413	101	102	103	401	402	403	304	305	306	307	308	604	605	606	607	608	301	302	303	601	602	603	204	205	206	207	208	209	210	211	212	213	504	505	506	507	508	509	510	511	512	513	201	202	203	501	502	503	class
taurine	1	1123	C00245	1548058	132211	2253622	2036747	664089	972724	1338020	148295	3664404	1967564	518582	1503480	625222	1063564	158099	5586	940356	2993218	1861	405960	651460	2149511	798366	1564420	1021624	141447	1892204	66494	3571943	221511	970139	46	63	370801	408407	62716	389520	520915	111	52481	151	2415079	1962997	1540391	1657601	49	9688	2485310	279654	876656	794826	200582	537622	675735	1861873	243144	163725	525847	533904	274235	340993	407616	773369	2121469	3363937	136	2228618	125	1291151	metabolite
sulfuric acid	1	1118	C00059	169719	27703	126641	117320	59384	53529	176987	67	94203	72906	41	77278	112684	68125	31246	142	99828	102364	153	65222	49028	113738	47220	103103	113832	52837	109438	535	193683	313	21028	115	119	10563	8308	263	47212	200158	93	106	83	135407	15014	99586	56506	310	104	153966	32470	74632	87756	6387	31318	51104	126816	92141	18064	40	33668	18781	47	31445	82656	137137	73641	54	179889	34	138892	metabolite
phthalic acid	1	1017	C01606	66991	90983	61861	63306	66879	60301	30047	68149	13796	131951	191332	22764	86657	141841	139300	66607	73782	90414	183588	73423	77505	74707	93611	46571	132537	42990	79910	133507	29191	385494	137498	100231	130945	367446	204806	141743	250084	119148	98282	194367	101979	101111	96224	5732	57333	46963	156468	58572	3996	62504	14877	171808	25928	90260	24034	92391	146451	64373	93381	43992	57046	85767	55524	60796	57130	134649	94526	127038	97942	metabolite
pantothenic acid	1	6613	C00864	4308	2811	4600	5882	8219	1744	3273	2656	7555	6648	2678	2813	5907	5779	3277	2367	586	4687	3457	9047	3267	4670	1220	12142	5344	3177	9288	1424	1889	1365	9478	1325	956	4681	1972	4128	5478	3409	935	5053	2343	6764	6024	5986	5593	3354	4192	6991	5278	5870	3663	5936	5286	890	5308	3334	7628	1694	919	3458	7047	3725	5199	5634	9622	3342	4598	2774	6118	metabolite
oxoproline	1	7405	C01879	5553006	4056669	5648561	7247350	8853505	4253184	4783307	3376612	6828501	8746456	5580070	4721976	5064738	6626831	4368890	3975142	5397272	5948778	4045574	6405981	4392432	7639887	5654709	4236666	7481319	3708414	8242844	1477407	4291421	4746574	5250717	562443	1566952	4947517	5976972	2223007	6302951	2991898	1240658	4977013	2063679	6504382	6422437	4206041	3659405	1903235	3066453	6247267	4051999	4856920	7860794	4693279	5627522	7790098	6470449	6685159	6751770	4096431	4130336	4675476	7638407	7822817	4446066	5436870	7527108	4211760	4957521	5820901	4981191	metabolite
noradrenaline	1	439260	C00547	4702	9774	12423	6097	2811	12356	8375	6594	8769	11396	10545	16200	3739	5045	11691	43375	5845	6430	19178	6530	33946	8701	9968	9353	13140	6788	1540	79052	3696	18392	2682	10539	223086	25117	5194	17241	14841	6378	112333	13433	364772	14503	7280	21341	9430	18599	37147	6615	7714	14447	21555	58638	9680	13271	6644	9408	17697	13294	18724	7848	11366	4692	20077	10213	23178	29093	8618	13357	14501	metabolite
N-methylethanolamine	1	8016		191694	109659	266049	184164	216292	140411	225258	93389	251858	287256	190590	150380	305156	159904	313944	123235	259453	200701	431785	360719	197132	638218	349654	402004	673393	139158	467551	129122	383239	55279	297474	119075	174807	259374	277434	381922	380199	630235	92286	430183	133571	300074	423573	636506	494949	109675	549677	373099	270029	515651	372461	850048	617274	806702	597707	493031	998758	290505	254084	377409	807070	175698	490659	355888	634938	309351	444263	256954	447577	metabolite
N-acetylgalactosamine	1	440552	C05021	343	481	2286	317	326	549	434	263	351	261	372	169	352	586	638	1207	286	340	572	590	1247	441	832	10259	381	378	165	1769	1177	1009	855	699	1820	1740	723	1473	943	448	1412	2061	239	572	320	357	331	369	312	116	381	155	320	608	203	175	126	988	177	333	817	172	148	291	173	306	216	1027	252	1754	1312	metabolite
malic acid	1	525	C00711	2025	11335	24860	2475	6982	16086	4682	1080	2391	6288	5409	7608	2394	28834	5425	15320	2384	1111	1006	35405	4104	1194	43542	553	2348	9998	792	44577	110494	29892	9974	11028	14167	87281	92337	8802	11848	8646	35876	34513	39085	8323	1202	22971	3073	8468	13535	2646	6639	19309	2390	63696	2981	4549	7819	15335	23222	22025	16683	4559	2108	12440	11058	2109	636	30271	1478	26727	31539	metabolite
hypotaurine	1	107812	C00519	5586	67890	18853	5804	9152	5657	7344	2869	14676	11161	3088	2130	3909	1403	14304	1036	4758	12226	7553	5284	5094	10405	14331	75714	5782	5177	12420	32941	4722	10302	5572	13625	7920	6663	61628	19532	9854	4729	25396	128399	1478	6069	7082	8905	5433	770	6497	3741	4776	18484	19641	2083	3430	5973	13808	3183	5471	5168	5265	8658	1544	4426	5957	5591	5091	25818	4217	48747	4814	metabolite
hydroquinone	1	785	C00530	916	1409	746	546	1561	888	554	1317	677	1912	1447	1167	854	1178	1604	1044	886	1012	1672	1377	794	1169	1125	619	1690	1198	935	1470	889	4396	920	6655	1825	5009	2239	2132	1905	1348	1158	1609	1669	1023	808	587	483	1311	1490	738	759	675	622	1937	572	806	684	1523	1924	504	1054	557	736	1262	603	756	578	2683	854	1240	961	metabolite
histamine	1	774	C00388	3116	3840	1548	3507	4470	4126	9636	2415	4177	6963	5521	3942	9331	2385	5350	66948	1145	3047	12502	5593	2285	2797	1843	3177	6892	2171	2346	9957	2420	11257	2628	5101	7053	10602	8663	23430	8301	1882	11216	4669	12090	6640	3597	3377	3046	56280	7207	2457	2503	2692	2197	10495	12433	4978	3242	5061	4579	3453	1420	4348	1709	3861	2446	14437	2997	15345	3186	22825	3234	metabolite
glycine	1	750	C00037	3568177	1819426	2056487	1993637	2606085	3253997	2637108	1831637	3284339	5035131	2186243	1200478	1263724	3851971	2077971	3198761	3676799	2438553	4270262	4200653	3146916	3381328	1506746	2218159	3534057	1088448	4462240	1993152	2047955	2146868	1580930	650146	685011	2579336	997950	1388739	1965611	7027142	1106294	3800986	1250148	2391954	1806778	2065865	1842790	1690496	2574930	4477903	1891574	2744822	2202771	5807731	1816190	3342366	4042704	3983506	3824559	2200161	3134216	1794839	2993641	7392646	2585135	2396066	2605312	7485010	3308257	5661222	5377780	metabolite
glutamate	1	33032	C00025	1835881	2104096	3290376	2296297	2588289	1678724	2296565	384479	2294313	1681264	1202589	1745861	1770737	1205877	1866073	609132	1792980	2693825	1212647	1399400	1302640	3156554	1234293	3578550	2233865	1082903	2495449	500339	3880889	915128	2099480	250077	489104	825901	2139970	719009	1867835	1232334	604525	5364963	644871	3005758	3019175	1793497	1934294	402773	947954	1641295	1496150	1813728	2250387	1475699	2377664	2627331	3345791	1329585	2567710	1163846	1684128	2091764	1406214	1725125	2080660	1789868	3689650	1202514	1933690	948653	1877342	metabolite
4-hydroxybenzoate	1	135	C00156	2006	2285	2446	1365	3747	2078	1580	2671	2079	3888	2910	1993	2221	2498	4245	974	2024	2773	4048	3844	2408	3369	2396	2373	4173	2085	2846	2995	2576	7745	2828	2573	4095	8955	4230	3243	4120	2663	2005	3456	3802	2518	1719	1874	1631	598	3484	1710	1744	1947	1928	1640	1898	2773	1579	3252	4579	1675	2443	1785	1936	3004	1736	2054	2397	4114	2907	3756	2301	metabolite
