Compound	Module	PubChem	KEGG	104	105	106	107	108	109	110	111	112	113	114	404	405	406	407	408	409	410	411	412	413	101	102	103	401	402	403	304	305	306	307	308	604	605	606	607	608	301	302	303	601	602	603	204	205	206	207	208	209	210	211	212	213	504	505	506	507	508	509	510	511	512	513	201	202	203	501	502	503	class
beta-alanine	15	239	C00099	3001	17981	34833	2104	4155	2591	2012	1266	6420	6164	1710	1787	2179	1899	8067	2092	4939	4266	3503	4083	13140	6275	1906	48527	2794	813	3178	19635	960	10717	2668	759	1709	7195	4785	4389	2944	1304	2529	1120010	1402	1385	5177	1735	1186	6790	2761	733	1608	501	1155	1480	1247	2248	1641	1535	2022	1276	8586	1484	528	1848	1371	1821	1734	2375	2589	8372	3264	metabolite
PC 24:0	15	NA	NA	16178	62206	24380	9798	27621	33120	19137	21195	14388	13086	23257	16473	38418	17631	39496	41889	31619	13200	28438	17924	25077	19741	24096	5561	22815	34406	32380	66838	16132	35177	16614	25219	27698	26838	34555	12217	28121	17491	30857	8759265	11208	10003	22029	23673	21054	348338	52844	28239	21047	35557	22528	62727	38785	17214	11660	22372	29495	75484	18783	12619	16038	8846	18139	18742	14902	28372	14021	43671	26040	lipid
PC 24:0|PC 10:0_14:0	15	NA	NA	331	1246	414	322	457	428	401	380	384	270	397	353	334	275	614	467	255	270	460	395	579	372	608	578	267	581	459	955	688	719	333	401	162	345	333	221	269	243	643	81191	590	297	278	706	540	5144	743	753	388	337	501	1532	406	182	437	480	524	402	496	270	445	347	451	401	401	526	352	670	1179	lipid
PC 26:0|PC 10:0_16:0	15	NA	NA	13267	267441	24448	13867	19926	35724	13918	11848	14388	10148	34325	10784	13926	22481	127962	29983	16651	10769	54397	18920	24161	21447	40794	14971	34538	51720	27399	522940	51247	128952	8960	15770	22463	17652	33553	13636	9647	27409	25965	83179643	60145	20455	15665	13375	20420	1012556	38468	10480	16370	39208	24641	374236	13272	14369	12025	29288	10373	16443	13025	11431	19569	22300	12260	5679	11785	72923	13259	112213	40515	lipid
PC O-29:0	15	NA	NA	131214	128801	122714	43581	33324	101024	203920	108835	125129	38857	80251	83489	138784	69041	33395	88641	149613	17108	107741	198662	43392	118569	69804	165322	41698	135700	233210	172092	286085	150973	134216	218492	215399	114827	17127	109826	55151	90537	77800	0	210806	228080	159939	145683	123345	102695	44392	105740	121887	104627	117349	32893	68057	139607	73728	134353	33554	20085	201335	245405	227263	88455	46673	55026	111550	49173	110874	157654	182361	lipid
PE 38:7|PE 18:2_20:5 Isomer A	15	NA	NA	3578209	787944	2226120	2034966	1448949	2394274	1217354	1353407	2210822	3598509	3778056	1241604	1899557	2484580	1677551	1113717	2383458	923139	2514033	2157612	2025404	936123	1146357	1704758	1503936	429150	624052	0	1305423	95455	767203	265942	181133	355468	292764	808640	381687	523387	167077	0	63481	712133	791094	1491054	907359	792403	508142	1051624	1944169	1577653	2246784	740057	2180045	1811830	1462966	1648503	1420738	421123	1097366	1595729	1782493	1007720	1015975	836749	926007	363098	820468	475997	602906	lipid
SM d34:2	15	NA	NA	130878	119191	142083	86412	50845	113824	169283	133364	94587	32982	76188	210173	112304	89126	48327	134015	126538	60095	129735	151788	76499	84327	91364	21708	54966	248315	102052	102314	201076	58598	110541	199734	119645	55657	46874	76323	42410	96569	143088	0	213201	126896	72871	142857	127403	157894	132308	179099	116430	77904	124234	37228	75283	23122	126383	133211	40229	57386	152732	155735	160385	83921	86965	65501	50257	83363	91366	78574	125124	lipid
TG 42:0	15	NA	NA	48981	730430	97047	26448	75374	58141	22195	54715	12258	29911	44911	45862	30871	36061	540265	106428	46337	17976	69328	43388	111368	81950	30543	30530	76727	128819	54157	81734	41249	92002	48892	65930	80525	60881	67707	37267	66436	71237	104894	208239	100697	42641	32869	35981	58850	538049	91628	65891	104029	98348	44210	40203	74104	30781	37532	96284	185631	105060	65398	54930	16795	66453	58861	69540	31925	95397	67210	153186	23960	lipid
TG 8:0_10:0_18:1	15	NA	NA	34987	794982	64608	14509	81009	97914	24831	36556	43891	71372	115110	32353	48777	54720	594613	100475	44404	53669	60593	59535	75302	162926	94429	24221	20287	72364	55082	153080	51392	76980	15546	33903	46544	24857	52483	43190	77266	44565	31703	448317	160243	33664	24057	48038	23718	508708	44234	67335	42802	68705	41432	60007	28240	21007	43848	231119	145132	47012	37977	66065	63145	17394	16848	95728	25066	147758	23546	234542	81863	lipid
