Compound	Module	PubChem	KEGG	104	105	106	107	108	109	110	111	112	113	114	404	405	406	407	408	409	410	411	412	413	101	102	103	401	402	403	304	305	306	307	308	604	605	606	607	608	301	302	303	601	602	603	204	205	206	207	208	209	210	211	212	213	504	505	506	507	508	509	510	511	512	513	201	202	203	501	502	503	class
myo-inositol	3	892	C00137	142944	97535	127461	63016	85936	89268	42861	444419	164718	156303	94606	71963	380452	191725	95674	72695	199334	154413	199856	159721	93352	57343	477103	69913	144390	68443	436413	1710308	1930140	5790821	2614715	1179508	693533	4125075	2150427	132370	353000	460536	84664	564899	169356	273092	347882	99331	73698	77393	188935	255183	54128	74612	93215	167235	69891	117753	102365	169927	95763	81518	69783	38158	69941	156878	96999	87929	61168	78674	209153	114052	139201	metabolite
lactitol	3	157355	C13542	1004558	1788278	1698647	260621	816277	2192204	222760	1265845	1122223	660159	1118900	99841	997790	198044	1579693	1342978	596516	2072388	926565	1309069	841058	1039058	588173	103966	1186689	518065	338235	104503	196359	368979	988685	16647	193244	521623	700985	1007852	2678693	1007675	376711	179774	673562	809235	1031009	718957	724635	702998	524905	1277862	940034	766294	823582	2040503	1676040	511067	429943	854592	840346	1210021	603878	956286	661501	133824	1576098	1492966	1490989	514702	1369734	629035	1005821	metabolite
Cer 22:0;2O/26:0	3	NA	NA	268	245	204	334	231	132	439	340	493	299	434	296	270	353	279	219	377	216	312	360	395	334	566	299	318	327	433	203	2598	330	524	307	194	406	208	398	234	135	193	314	286	392	449	294	468	497	403	254	238	215	364	235	241	162	345	357	381	360	208	194	348	291	160	352	317	199	298	255	460	lipid
Cer d34:0	3	NA	NA	13851	17496	12944	12280	8930	10383	16632	13962	14514	9747	12733	11181	11426	42668	13591	15312	8784	7384	10249	13465	14882	8652	9033	8071	8046	19134	24093	31195	60514	14347	35652	46794	12714	15810	17090	32736	15571	28301	15772	140078	17088	37384	29060	13592	12920	11814	8238	14081	10814	7618	15118	6815	7479	9099	9488	14090	9587	4865	13196	9532	16802	8690	9391	10438	6441	13176	10026	10736	10686	lipid
FAHFA 46:0	3	NA	NA	2516	2656	2616	2842	2355	2622	2592	2716	3024	2208	2625	2757	3045	2661	3258	2716	3165	3085	2795	2350	2636	2633	3266	2704	2337	2492	3341	3134	13537	3034	3588	3557	2891	3697	3959	3138	2835	2827	2884	3150	3180	3361	3193	2893	3017	3426	2405	3179	2937	2943	2584	2615	2592	2493	2797	2704	3033	2913	2780	2874	3149	3252	2876	2560	2531	2476	2663	2656	2702	lipid
GlcCer d42:2	3	NA	NA	568	449	1007	633	694	577	797	794	1112	438	439	629	543	507	409	920	708	144	708	586	1220	424	553	6266	509	259	917	678	3383	853	1535	1566	768	992	425	1133	835	681	389	433	277	1012	810	552	594	478	574	1137	386	487	547	326	380	573	644	722	348	178	571	498	1157	516	303	560	409	298	558	210	722	lipid
PC 18:0_18:1	3	NA	NA	8898	6836	7197	9125	6487	6666	7005	9377	8296	7662	9653	9063	5424	9053	5063	6999	7905	5678	8080	6182	7730	6467	7751	5043	4556	6229	7144	5441	19160	3749	14865	10468	5085	6304	4786	13606	5709	11524	6141	8608	6628	10221	8867	6774	7050	4763	4386	6608	4453	4339	9133	4546	5619	4315	6592	8364	3128	2422	6177	4087	5789	7711	4647	5293	4811	6793	7616	3940	4948	lipid
PC 19:1	3	NA	NA	88558	205689	183326	177161	199808	288681	187946	221539	261997	143278	178359	350960	317908	200448	334515	198191	276401	197481	194974	185717	268171	162073	161327	277496	205050	191416	492751	1071655	332840	1165237	1853155	1061612	700545	1386297	1089829	820055	477700	614125	255037	106073	317492	466291	349461	272653	219864	258113	311141	457724	195232	155297	199427	244108	173646	227573	339004	246575	244532	126800	254325	185502	242191	157435	165183	179213	222725	112771	275851	14079	150830	lipid
PC 36:1 Isomer A	3	NA	NA	5333642	3302373	3769728	4484058	3072213	3062608	2965176	5000201	4192319	3843671	4448562	4142434	2469239	5318703	2378210	3258101	3854519	2077281	4149473	3022393	4721128	3303301	4437523	2997870	2400865	2531024	3912905	2883619	14950367	2013132	9030333	6030995	2456858	2736390	2249068	8114972	2950656	6409113	2651785	5264088	3165510	5799595	5082808	3083708	3307916	1934244	1741174	2978409	1974925	1674540	4664125	1889624	2940915	1972590	3261475	5087320	1636496	583458	2693099	2094928	3277805	3810708	2023347	2507850	2111153	3565553	3928369	1738914	2634083	lipid
PC 36:1 Isomer B	3	NA	NA	24100	19132	19911	24714	17872	18156	16739	26075	21381	19466	26325	23716	15160	23819	13904	18567	21894	14241	22945	17719	20543	17035	21190	14993	13003	16151	20282	17332	62667	12445	42105	29488	15192	16743	15393	38738	17455	32338	16778	22163	19710	26922	24178	18704	19795	13987	11837	18939	12304	10089	22735	12509	16145	11418	17518	22881	10463	4518	14889	11602	15940	19645	12657	15328	13188	20289	21350	12015	13160	lipid
PC O-18:0_16:0	3	NA	NA	844	1036	1175	1092	682	1152	1120	1575	984	784	1144	1778	804	1147	762	1478	1129	507	895	942	1044	946	954	938	807	727	1511	2257	6641	2711	2802	4817	2102	2195	1634	3219	940	1619	1821	1136	1525	1995	1545	1101	1045	1534	1267	1330	1402	830	1371	758	1018	884	712	1189	880	769	949	1032	1728	980	757	947	744	474	775	757	1363	lipid
PC O-34:0 Isomer A	3	NA	NA	1038459	689111	1118715	981050	623883	729947	1005526	1387582	890136	702971	813097	1312531	574004	1079044	645508	990447	864875	403906	781383	486306	678704	991691	1299811	911033	936099	565146	908146	850268	7223899	870755	3378424	1725910	758416	1297858	1187584	2984430	583633	1436466	656079	565114	1131199	1135078	1036633	698274	746916	551253	542661	760761	836556	443404	880027	614009	507222	485270	925551	1415460	548325	201953	985765	473886	893667	521663	404641	795858	487103	352100	674465	522113	425037	lipid
PC O-34:0 Isomer B	3	NA	NA	69190	65309	105986	36728	44799	59081	62473	81864	48930	49339	61271	85088	58176	75717	28177	130385	87435	34216	90207	60175	32262	57030	64626	32989	61915	43137	88459	225111	542030	190163	206605	426285	218540	120951	107571	235200	91008	124581	97368	52704	138170	125550	115461	43517	74895	92242	92576	57922	68880	26284	71569	32978	44831	41357	32917	102599	41672	26155	91584	67475	83673	53965	18784	76103	20452	21757	59895	38191	81696	lipid
PC O-34:1|PC O-16:0_18:1	3	NA	NA	7767424	5372050	8470918	7476570	4705785	5781937	7404980	10124478	6756402	5618356	5921471	9751518	4313296	8031062	4875471	7427807	6280386	2746231	6159621	3650244	5192875	7439388	9323254	6517368	7138362	4390280	6613359	6494219	47370802	6517322	23493687	12408728	5387250	9899600	8909935	20566715	4155782	10425589	4781830	3993122	8644665	8189402	7775549	5520006	5834228	4231131	4019401	5898709	6449739	3296803	6766019	5043813	3837605	3484272	6749235	10511365	4568081	1277935	7134868	3611230	6328550	3944283	2974726	6268994	3506617	2586319	5140820	3729317	3642974	lipid
PC O-36:1	3	NA	NA	614085	334944	626098	445659	319156	422391	567424	808937	792329	468625	390830	781676	360922	643170	420411	602341	557604	255405	438707	379613	507108	434855	591885	611882	496585	259562	625618	851346	6286383	1351854	4773571	2505672	778785	1642969	1150726	2418209	603655	755996	406122	348479	462592	946048	938585	346688	407703	335318	327966	675856	481029	302417	573760	440363	368969	335816	445467	724269	366482	75705	400407	329360	542384	425179	271147	431500	287386	153894	416825	130338	291594	lipid
PC P-34:0 or PC O-34:1	3	NA	NA	25430	20197	30523	27468	18312	22989	25799	35780	20800	20790	22431	35470	16978	24716	18580	27619	24676	12338	26933	13731	17873	26424	29831	23790	23912	18378	19914	28096	151515	25350	73203	38266	21502	38206	36619	64447	17561	36585	21288	11046	33594	25537	24721	20594	21227	19725	16434	21471	24625	12833	24655	19865	15760	13155	24045	34092	18541	7899	26583	12948	20725	15029	11340	23670	12898	11953	18669	16009	12501	lipid
PC P-34:1 or PC O-34:2	3	NA	NA	1627045	1135762	1302481	1097357	666963	1097053	1950225	1268070	2223882	1072389	1078011	1320911	1128743	1011342	746265	1279747	1413551	654934	831906	1155857	844145	1305771	1312552	1598493	982425	704552	1559269	720365	6174448	1330086	3344437	2078445	997413	1919052	822614	2348469	1055259	1306540	577037	650554	1121640	2465330	2423190	1271377	1565903	676744	781002	1824514	996571	878010	1118934	489299	697224	1258423	1255434	1300873	837023	262816	1203821	1002273	2135796	635186	972583	768470	1175678	378209	1304064	571986	974274	lipid
