Compound	Module	101	102	103	104	105	106	107	108	109	110	111	112	113	114	201	202	203	204	205	206	207	208	209	210	211	212	213	301	302	303	304	305	306	307	308	401	402	403	404	405	406	407	408	409	410	411	412	413	501	502	503	504	505	506	507	508	509	510	511	512	513	601	602	603	604	605	606	607	608	PubChem	KEGG	class
PEtOH 16:0_16:1	12	5170	1866	12954	3500	16353	2116	4052	4693	1627	22292	3202	5854	2731	3182	1484	7535	2066	1451	2803	1278	3763	5172	2063	1473	2991	596	933	1413	644	2635	1034	1289	2964	3093	1165	2268	2440	93914	4091	11074	1478	1357	2273	4863	7762	1426	9238	4563	16728	12669	1173	5548	3176	3062	791	807	1412	4205	1569	1029	634	1533	1992	2284	1081	1042	1268	1439	1240	NA	NA	lipid
PEtOH 16:0_18:1	12	2936	1914	30816	2239	8502	2555	3359	3097	1847	5910	2427	3146	2603	2010	1340	2597	1705	1438	1393	780	2252	1929	1016	803	3173	853	1146	1581	936	3477	1603	929	1982	3210	903	2092	1183	30528	2404	3804	968	1478	1636	3070	2911	1532	3169	2909	7255	7540	1016	2062	6066	11410	1049	559	1090	1696	1767	1250	1643	1852	1436	1246	824	992	960	1443	972	NA	NA	lipid
PEtOH 16:0_20:4	12	1793	1605	14855	1241	2034	1362	1959	1838	1216	3344	1694	3190	1506	1309	1654	2510	1277	1473	1650	1660	1748	1638	1611	1493	2179	1576	1442	1403	1791	2496	2149	1390	3607	2745	1735	1610	1391	16781	1504	2106	973	1399	1695	1562	2012	1388	1548	1238	2708	1754	1825	3597	3882	4341	1140	2097	1249	1766	2700	1709	1628	1342	1900	2070	1539	1680	1832	1315	1766	NA	NA	lipid
PEtOH 16:1_16:1	12	1139	637	1637	1094	1842	796	1177	1614	1022	3365	992	1491	986	861	708	1531	716	767	1025	588	1078	1699	719	651	1247	421	587	640	456	1493	400	465	621	958	572	832	833	6846	1014	2004	666	630	1107	1161	1149	624	1475	1170	3604	2220	631	1275	1239	935	541	421	874	1087	554	477	570	673	903	591	781	480	658	527	644	NA	NA	lipid
PEtOH 16:1_18:1	12	3267	2504	14307	2345	8371	2714	3122	3335	2216	9184	2697	4102	1944	2185	1407	3043	1613	1430	2261	2055	3390	3255	1727	1977	3208	1386	1373	1352	1083	2095	1658	1516	2610	4211	2025	1476	1736	27250	3545	5404	1055	1575	2154	3695	3701	1617	3469	3502	7730	4576	1874	4827	5129	5731	2061	1210	1702	2911	1267	1889	1497	2053	2438	2157	2513	2163	1411	1788	1743	NA	NA	lipid
PEtOH 18:1_18:1	12	1323	1337	14005	1356	2581	1506	1471	1306	866	2575	1344	2263	1228	961	720	1080	1138	817	1146	844	1424	1396	867	680	2410	550	529	1000	729	1956	1357	1370	1056	1649	1050	903	696	7270	1433	2305	597	1092	885	1519	1079	852	1559	1251	3079	1602	775	1325	4790	5908	769	335	1001	955	1673	1073	820	1369	1103	712	779	1030	682	699	656	NA	NA	lipid
PEtOH 18:1_20:4	12	5800	7989	42068	3433	4040	4005	5371	3649	2864	8080	2789	13918	3628	2714	4389	5244	3456	5688	3411	1610	3260	6403	3063	2883	10063	3631	2986	2495	1534	5138	1994	2659	1989	3312	1253	2919	1494	11455	2432	4714	1661	3182	2675	5404	2986	2839	3851	1968	4687	3175	3426	8340	26218	51778	2620	686	2892	2954	4750	4418	2151	3725	3869	3723	1210	1374	1358	1887	1963	NA	NA	lipid
PMeOH 16:0_18:1	12	26204	7556	23461	31688	128332	16153	61909	66636	15222	53693	37578	12122	39446	29857	10773	14119	9059	6469	11982	5799	21283	13959	7852	3385	26083	3209	2343	11023	1680	21918	8882	2550	8716	83521	4733	14255	12158	291159	34924	41532	5556	9444	25699	41161	28300	11890	29296	59642	55864	61824	1731	12636	14671	5941	1929	2659	5143	11478	1990	2085	1156	5219	4845	3847	3336	6727	7945	18220	3173	NA	NA	lipid
PMeOH 16:0_18:2	12	5142	3016	7394	13895	23186	4648	10378	10560	4275	12399	10335	5027	12475	6978	3839	3040	2123	2441	4182	2541	10801	5385	4274	1594	11069	992	1559	2422	659	3350	1135	995	1030	9409	1104	2612	8360	48047	9179	12012	2603	1957	9835	9789	5275	3685	6013	18189	14842	13554	837	4768	6258	2064	1004	1107	2594	4519	922	941	401	2006	1173	1250	1218	1188	1029	2976	1121	NA	NA	lipid
PMeOH 36:4	12	4081	1883	9170	1529	7050	969	6587	4678	1031	3039	5550	2068	2267	2528	778	2034	1653	1305	1626	774	1569	4679	912	1128	1279	669	507	2159	183	2533	1330	306	2276	5513	379	1072	590	19362	2276	4231	1203	757	4299	1778	2181	743	1065	2779	3566	5073	463	4178	3423	529	524	520	431	1436	512	282	334	815	533	1554	694	1216	1136	1028	894	NA	NA	lipid
