Compound	Module	PubChem	KEGG	104	105	106	107	108	109	110	111	112	113	114	404	405	406	407	408	409	410	411	412	413	101	102	103	401	402	403	304	305	306	307	308	604	605	606	607	608	301	302	303	601	602	603	204	205	206	207	208	209	210	211	212	213	504	505	506	507	508	509	510	511	512	513	201	202	203	501	502	503	class
xylitol	0	6912	C00379	1370	1880	897	1137	997	1926	618	886	1167	1565	818	608	994	1309	86	1173	1091	1031	769	746	1019	221	952	700	1016	54	491	1030	849	1219	872	805	548	656	501	713	461	205	789	1406	341	859	1143	376	436	416	401	418	668	528	483	412	463	734	616	333	856	358	919	502	190	472	194	266	487	1360	583	588	254	metabolite
uridine	0	6029	C00299	3468	2522	9032	2523	2575	2693	5367	2949	2907	4969	6901	2784	5128	5025	4531	3827	7206	7922	3560	6813	13304	3530	5451	21093	5999	4761	6335	1322	6728	5561	4439	2057	2241	4897	4267	1340	10150	8833	2453	2061	6030	9445	8450	3680	2954	1694	3858	3325	2232	920	3817	5955	2886	3518	3779	5037	4873	3606	9476	2059	3266	1051	914	2202	3226	749	5683	5370	2079	metabolite
uric acid	0	1175	C00366	1113	7348	4844	1168	4478	2385	3299	1292	1179	197	3011	425	2044	2281	2457	750	928	3074	271	3554	7419	2086	1925	1691	689	1313	1217	13491	15079	2681	4645	390	1545	2705	2789	2424	1339	924	344	714	1289	3991	2616	2870	577	63	824	2053	10864	1134	1310	614	1246	4631	3192	1826	718	1360	1082	655	1677	1083	6264	1626	398	10902	1294	52082	10565	metabolite
urea	0	1176	C00086	53140	58778	146296	18527	83689	16758	32567	30186	103558	71452	14309	73313	67603	77192	87492	21351	48784	98986	60390	72155	29986	13691	108630	220683	155804	26912	30597	80643	137348	51935	74055	14085	57909	215494	141968	56035	59570	61894	34997	77020	37994	57165	34074	19383	29711	18240	36550	24576	27363	21777	27624	5955	24464	48439	33458	60874	56384	20956	57900	27244	20149	88195	27279	37071	19717	104047	50563	434379	116416	metabolite
uracil	0	1174	C00106	6033	3638	40544	7855	13989	3897	7807	4751	11862	4119	11966	3986	8319	4301	7039	5793	1563	7669	12582	12162	11753	5051	4794	24117	9852	6338	12212	5822	3266	10593	7763	2315	4695	10077	6153	4158	6256	3301	1969	41828	2857	5500	3828	6029	2314	5717	4998	4158	3737	4136	6264	8227	4488	4458	4083	15189	5458	3598	10959	3388	2734	2581	1932	7560	7127	2009	10191	10229	4982	metabolite
UDP-N-acetylglucosamine	0	445675	C00043	4845	9855	8023	3569	5160	3515	4700	4298	4103	5176	7129	3363	4498	2286	4535	6316	3746	6597	5947	7338	7607	2997	1975	38296	3403	5451	5402	4595	5604	10868	6877	1897	7597	7143	4211	3147	6267	5017	3810	72019	7236	6509	5167	3626	1600	3652	5010	1619	2223	2519	3706	2294	3398	2742	3767	4325	2146	5299	4406	2313	2820	3300	2503	4555	2425	8161	3830	2899	12989	metabolite
triethanolamine	0	7618	C06771	621	1203	490	1083	5058	4720	919	3160	695	2319	2147	916	696	1777	1035	527	529	791	1361	1397	441	1638	734	2353	1518	343	1544	7427	1085	3770	1127	999	1124	6998	1176	1596	1586	1669	1558	1955	996	641	1411	634	733	834	1338	785	738	1609	1154	4528	449	644	609	1222	1678	531	1650	515	405	1124	645	1047	772	1758	707	2699	1405	metabolite
trans-4-hydroxyproline	0	5810	C01157	71640	50684	97297	262246	183614	76840	195363	47175	205415	147793	85414	188761	182782	81544	35405	151363	44146	148204	181331	211736	55001	194520	275729	89394	131790	157552	119710	87381	334669	323753	274144	58307	84172	388447	315033	147285	227096	176131	74435	176874	78151	222483	232075	136188	118163	96578	134038	220602	125407	49771	64159	141173	126563	79067	193839	66382	93006	36882	32342	133979	183284	98796	188101	56180	123883	684675	47524	587606	160222	metabolite
sucrose	0	5988	C00089	24512	16806	72857	3264	11118	15968	4720	9090	4910	9371	7415	4138	2590	7598	4598	3233	2734	3650	4236	6127	3441	4132	2572	8577	18772	4345	2649	11220	6000	18047	5742	4628	4595	26109	881	8212	7311	9303	7849	9056	4318	7023	3148	3712	2877	4849	4616	1806	15055	4033	4637	13885	2735	3736	1439	21675	17133	1044	8845	1193	2289	3373	2550	3062	107983	6845	3211	3085	10553	metabolite
serine	0	5951	C00065	311706	303444	945698	578724	606748	625644	257856	476846	809929	878388	692244	601438	378589	435490	278313	294634	577795	280776	473542	291738	639960	425683	346736	734270	898205	197499	455072	1194162	1598634	1711272	225743	240866	271404	1228351	492864	154698	274635	250472	190300	445099	201194	244323	323070	195030	125221	110193	138126	196812	121934	213077	476892	846387	118050	193128	485615	566797	58791	192623	616292	225692	171613	140462	241522	247852	316761	194542	245142	453308	405443	metabolite
ribose-5-phosphate	0	77982		659	444	2448	571	630	800	860	454	1055	562	909	588	757	423	563	1137	620	1062	849	987	914	344	2009	306	942	256	606	808	1470	8198	4458	1535	1319	2199	784	954	901	967	529	776	662	1448	1461	609	413	426	370	509	261	428	761	878	351	844	1577	2026	1826	369	896	359	511	303	365	411	700	588	2666	1124	3618	metabolite
