Compound	Module	PubChem	KEGG	104	105	106	107	108	109	110	111	112	113	114	404	405	406	407	408	409	410	411	412	413	101	102	103	401	402	403	304	305	306	307	308	604	605	606	607	608	301	302	303	601	602	603	204	205	206	207	208	209	210	211	212	213	504	505	506	507	508	509	510	511	512	513	201	202	203	501	502	503	class
proline	8	145742	C00148	5574298	1111969	1686302	2868336	4134007	1510435	3298714	1096208	2385735	4177593	3733954	1384093	4635474	2717777	4817449	2158673	6454390	3564606	2241432	3651307	2462534	2234927	1288094	594035	3815779	910214	1248377	102657	1692425	2692353	1842049	205094	715936	343346	2901953	388713	986858	2561495	298192	1103516	448252	1819564	1306876	2088957	1276821	1898451	1011964	2750238	758639	1663481	2338612	1110801	1629631	1892076	3090647	1762185	998489	1224640	3717343	955770	497694	370363	1293919	3117914	863646	2798367	4048290	3320114	1307589	metabolite
nicotinic acid	8	938	C00253	82321	46725	81021	95493	153125	38672	105205	57418	180090	168147	145322	41334	123859	86884	86965	59829	121081	166636	191054	170037	87002	175509	103659	41588	155988	50962	223083	35199	96014	115100	172872	26225	16538	92618	92213	25266	51901	167282	13583	93228	25128	34213	75170	91371	53483	14784	49003	99346	37929	56517	80743	107100	65237	107856	85877	208328	95728	33950	88905	41444	125125	43382	47382	139662	179909	34061	113312	49262	70676	metabolite
lactic acid	8	612	C01432	166110	34652	51280	92460	73791	64820	118878	67583	269004	385392	98419	112318	349371	126157	304166	78736	215408	456781	307598	144164	188840	15965	136682	2887	406935	76171	182852	60229	355263	306170	222628	12219	13952	303018	178182	63321	42275	617854	40633	88013	69332	176626	303021	76951	109104	47891	129584	354925	45377	51662	243720	130311	61655	156043	242946	341875	200817	34074	78992	81109	32293	30330	2042	31926	325494	24399	353639	601201	24483	metabolite
aspartate	8	5960	C00049	9039	134370	19782	8548	17485	19700	20823	20623	12849	8999	8237	28377	7689	13953	7254	78108	3975	8419	10571	5995	33535	9632	4760	447901	10344	24202	12106	62009	17513	35900	12718	20684	71119	40381	23099	66369	13273	7514	61661	51581	24898	24818	8555	20384	19212	32568	44568	14976	26131	24221	20996	56765	11230	9695	17696	7247	14167	27185	24824	7712	4623	143377	195343	8697	9348	240870	6526	14553	123974	metabolite
alpha-ketoglutarate	8	51	C00026	36799	5952	78091	24614	38520	16375	76185	11205	100227	145753	77877	9431	28816	13180	42172	31892	61281	82559	78951	19364	48213	37563	97478	7442	114427	17227	37862	1446	69087	117468	85252	7313	4539	62393	134510	4844	125634	91465	10147	44480	34350	176173	248265	15931	17254	3606	12401	20780	11984	6162	13256	64001	13967	45558	10752	99462	94712	16538	54463	18936	30890	3052	1898	60371	54481	1486	83048	6498	4599	metabolite
2-hydroxyglutaric acid	8	43	C02630	163634	21556	49687	119663	107775	50805	126416	38774	283092	239887	173989	78939	245230	169341	215029	36015	100926	322220	267111	216260	189734	44414	124535	4970	246136	56296	109571	5356	180029	80624	152637	3562	10175	38910	122079	3391	241760	480582	6659	37565	35265	215019	323798	53599	29381	17592	23968	198923	17820	10814	173998	54084	36429	101215	128501	229989	102161	25123	44749	38422	44159	3978	7796	175891	209437	3562	221579	216764	38848	metabolite
4-METHYL-2-OXO-PENTANOIC ACID	8	NA	NA	4390	2325	3680	7379	4240	1127	5002	5719	5678	9955	4774	2934	10160	3358	4335	2183	4804	3335	4241	2138	4311	4454	9107	1020	4210	4227	2690	892	2228	1102	2528	736	1231	1129	3743	1503	1584	4130	627	1677	1337	1742	1829	3888	4393	1039	1481	1827	3973	3924	2835	3188	8202	2590	2785	2725	1523	1505	3692	6044	3077	1114	1450	8454	6783	1112	3275	2921	1891	lipid
CAR 12:0	8	NA	NA	155956	62282	61222	136471	124914	101675	190266	91271	149334	122648	79663	122359	108256	125701	148352	53432	121861	191923	117592	93747	101013	140138	166030	20211	68374	87088	37931	56351	224357	61770	110838	21606	27127	86458	91145	121734	104568	93955	98026	51623	83587	111892	139588	113721	136852	72528	78437	58298	18637	61038	123630	307769	130953	136106	199868	117514	66928	76919	72801	92936	282943	33375	90478	100460	182321	64873	185857	63483	47670	lipid
CAR 15:0	8	NA	NA	93876	21114	31491	92034	70633	24298	417594	40247	342456	98679	92067	55165	215895	123761	141207	19892	50765	148067	74780	88484	44589	102849	107217	6577	81220	27599	15158	12838	108966	99840	83129	1945	33219	41878	79326	48435	83636	70701	16839	11139	40724	78485	134693	60534	107934	14304	72592	263565	21472	97253	55564	55842	29494	178484	95470	60982	24444	12139	15630	108896	391329	19401	60366	104941	278344	23351	187381	35072	116055	lipid
