Compound	Module	PubChem	KEGG	104	105	106	107	108	109	110	111	112	113	114	404	405	406	407	408	409	410	411	412	413	101	102	103	401	402	403	304	305	306	307	308	604	605	606	607	608	301	302	303	601	602	603	204	205	206	207	208	209	210	211	212	213	504	505	506	507	508	509	510	511	512	513	201	202	203	501	502	503	class
terephthalic acid	13	22416364	C06337	3402	2573	3288	11582	4251	5153	1855	3008	4582	4504	8428	1631	9718	3423	7793	3000	3044	6062	13120	7025	6163	4998	4145	2140	4520	1190	4101	9211	5726	13258	4118	9348	12994	13025	5990	7497	6097	3920	10833	14163	4391	2549	55085	2359	5366	2649	10736	2161	2642	5201	2094	5336	1033	2939	3214	2503	8029	3777	4654	4517	4068	3795	2709	2525	5259	14623	6574	6121	2502	metabolite
stearic acid	13	5281	C01530	97396	294589	102584	3050062	394383	308687	148546	130077	306982	433847	222825	201390	2431581	415764	432270	223387	140737	333874	1815863	266006	319411	267054	159265	152939	483947	156435	116111	588365	75983	641994	420036	1951039	827089	1200851	586311	250430	782894	316260	4101404	1395813	468222	312706	8377401	146139	557640	158810	606114	152353	223313	314413	186278	548370	84694	289736	117427	365048	351009	129513	147811	1448968	105307	299549	177459	202103	262967	1609333	415257	462562	307601	metabolite
spermidine	13	1102	C00315	3104	2932	8983	3488	2377	9800	7283	6737	10869	26573	9090	4580	7801	8714	5528	5424	2365	4884	12068	18535	6987	5274	6383	6637	17953	2232	4230	6135	6917	38861	11673	10203	11222	24481	11703	5982	9353	9660	4659	4679	4105	7024	12354	7832	6443	1465	10335	3034	2250	4964	6671	13189	2152	3430	5568	10655	13565	5104	10774	3142	5828	4405	4317	2745	3873	19239	2846	9650	6988	metabolite
salicylic acid	13	338	C00805	656	793	413	1668	1698	788	323	580	722	1076	1387	693	1402	554	933	706	591	1085	2112	2123	901	4699	411	612	869	367	551	1538	1050	3004	759	1638	7233	4293	1034	1689	1591	637	1857	1924	2180	566	8325	304	530	597	7196	535	428	1045	1213	2109	369	452	310	483	6293	532	724	705	3268	1868	2516	359	1851	1666	989	1942	609	metabolite
putrescine	13	1045	C00134	3905	14786	9827	23597	16056	11806	10158	9981	30421	21756	10108	19575	27097	9823	19887	4214	9685	22898	8728	5451	7222	15439	4616	30298	22159	3933	7591	176663	18564	88957	21060	9626	22152	277605	46686	99973	39198	3477	14058	53278	7287	14200	304383	14373	15166	2523	23202	23079	14480	14265	9589	38018	2923	23593	9418	7254	6915	9921	7267	8766	10526	19324	17455	21865	27848	35965	20856	47284	13992	metabolite
heptadecanoic acid	13	10465		2319	4856	2337	29866	5984	6190	4423	2978	3979	6930	4649	2362	28342	6076	6671	4630	647	6212	28534	5925	4228	4255	3801	7374	6402	1977	3452	11649	2250	12788	6249	26929	12282	18264	9619	9454	11170	5663	47473	24939	12354	4709	87993	4669	9158	2128	7853	3337	4157	6455	4962	14726	3135	6433	2081	6606	8004	3393	4582	16786	6249	2846	6242	4712	6858	26634	7639	7280	6412	metabolite
glutaric acid	13	743	C00489	349	457	512	727	568	717	288	661	857	566	446	525	809	505	748	487	372	744	1699	928	580	480	592	328	967	295	237	913	694	2055	477	1195	992	2633	723	1035	643	636	916	1754	648	324	1310	247	554	354	1187	439	293	498	436	1043	209	397	425	1506	694	424	691	372	438	649	291	326	527	1584	600	797	1171	metabolite
arachidic acid	13	10467	C06425	1225	2806	1045	21024	3810	2918	1404	2164	985	4088	2855	2011	18136	2999	3529	1910	1287	2855	17891	3118	2936	1825	1335	1812	4318	1563	1152	6205	1875	8171	3622	15835	9525	10602	5109	4384	3100	2716	24155	12662	3545	1238	60640	1323	2237	2704	7529	1368	2203	3255	1650	5933	975	2472	1066	3585	4877	1227	1540	11610	1444	2845	1566	1777	2669	12748	2647	4217	2680	metabolite
adipic acid	13	196	C06104	6193	4815	6665	16024	8665	18573	3631	10650	11993	6463	16587	5478	21822	4912	9440	5923	5383	13685	40291	15616	12704	6212	8391	4649	8081	3266	8884	20667	9194	28883	6046	29870	32508	26529	8298	6393	9146	6388	31768	44779	7194	3250	36802	1461	13664	5751	23507	3134	4832	12764	4493	13302	1780	4180	7966	7851	10308	5328	9443	13762	6310	4752	3956	5690	13558	34433	17235	11789	8391	metabolite
