identifier,VIP
2.39_699.52,1.41875695530773
1.48_546.41,1.41606674217158
1.82_735.49,1.41466964756656
1.96_870.55,1.4120163940362
2.03_791.56,1.4104551525243
PS 36:1 ,1.40966648710943
3.99_1013.94,1.4086630058671
0.67_524.34,1.40640793848666
SM d35:1 ,1.40133702291047
PC 37:9,1.39966791610517
PC O-41:11,1.39932014451017
2.09_752.51,1.39913904234431
0.21_230.05,1.39689579715253
SM d39:2 ,1.39536851906606
2.35_816.55,1.39509245995193
4.55_132.14,1.39465534916661
1.92_1528.04,1.39456202799661
PC 36:5 Isomer D ,1.39177722471364
LNAPE 16:1/N-20:4 ,1.38995705223783
2.41_790.59,1.38869273243899
PC 34:3 Isomer B ,1.38730493291198
0.20_156.04,1.38622281550938
PC 32:0 ,1.3855543188033
PC O-36:6|PC O-28:6_8:0,1.38511550135755
3.84_492.40,1.38168632925791
1.48_560.42,1.38019723350689
4.79_239.22,1.37907254626703
4.25_358.21,1.37885669714237
PC 40:6 Isomer B ,1.37440946129556
PC 32:1 Isomer B,1.37396777122353
2.22_730.58,1.37282235324126
1.90_776.53,1.37229951023517
2.25_612.59,1.37148629685119
PC 36:6 ,1.37128361576695
1.87_792.52,1.37111095837386
4.78_750.56,1.3685952986202
LPE 20:5,1.36815714535176
1.73_782.57,1.36670603104912
SM 29:2;2O/8:0 ,1.36608924809927
1.89_822.57,1.36154873935178
2.34_132.14,1.35887200697817
4.08_478.39,1.35818670632372
2.06_426.81,1.35684481465047
4.07_493.41,1.35658808334662
2.07_864.64,1.35489888407283
PS 36:2 ,1.35235869785011
4.26_493.41,1.35229755055461
TG 58:3|TG 18:1_20:1_20:1,1.3511353520197
4.49_392.28,1.35066247586805
4.76_479.39,1.34882592417299
3.54_492.40,1.34854480613947
PG 38:7 ,1.34811551235652
SM d34:1 Isomer B,1.3479808018977
1.69_623.50,1.34519568906584
2.38_826.63,1.34509732780127
DG 36:5 ,1.34339107810338
4.08_492.41,1.34251473290405
1.96_835.59,1.34170976128946
3.65_492.40,1.34107756687474
PC 16:0_22:6 ,1.3409335011402
1.53_879.50,1.34008241691349
TG 54:2 ,1.33973102708596
4.77_666.68,1.33953837060998
3.76_883.85,1.33939065758078
PC 40:7 Isomer B ,1.33893671826129
2.06_852.61,1.33711477164432
2.32_153.14,1.33589210514796
1.35_472.43,1.33414716086928
PC 40:7 ,1.33366204841942
3.59_869.83,1.33358940937636
1.46_493.41,1.33325460414078
2.06_842.53,1.33260520168916
4.78_446.32,1.33106831401219
PC 40:8 Isomer B,1.33004888539899
3.76_897.87,1.32990552926864
2.38_744.55,1.32960969693068
4.46_478.38,1.32714252329324
2.22_590.49,1.3271112773282
PE P-40:5 or PE O-40:6 ,1.32641783467614
4.44_764.57,1.32582128133332
PC O-35:5|PC O-15:0_20:5,1.32566714514301
0.20_114.06,1.32377738820393
1.43_549.42,1.3235513086209
2.61_626.53,1.32260947380975
1.96_723.52,1.32058595473431
1.87_786.54,1.32058455085423
TG 54:7 Isomer B ,1.32035214258302
4.25_1016.97,1.31946262939103
3.41_666.68,1.31746765787428
4.50_391.28,1.31711624523506
4.39_211.19,1.31693416586238
2.41_493.41,1.31688912302042
1.54_391.28,1.31623240335539
2.15_497.45,1.31555015717836
2.17_762.55,1.31300095062546
2.03_761.51,1.31282763793738
0.19_277.11,1.3123310066708
PE 36:5|PE 16:0_20:5,1.31188364316359
1.91_391.28,1.31138140179004
PC 36:5 Isomer A ,1.31025915476224
4.46_492.41,1.30945640625115
3.79_130.16,1.30927997538463
4.27_492.40,1.30766871911778
2.41_791.60,1.30721352664695
2.08_867.55,1.30630285407487
4.44_666.68,1.30562632746378
Cer d42:2 ,1.30548247737855
3.78_492.41,1.30544781108353
2.86_656.56,1.30468289842109
TG 52:3 ,1.30432764059041
2.53_587.55,1.30376162557512
2.42_492.40,1.30374160858578
2.23_609.53,1.30367135184616
3.64_225.21,1.30341704289034
PC P-38:3 or PC O-38:4,1.30338853825765
3.63_478.38,1.30308613043591
1.87_693.49,1.30243958389849
4.82_235.24,1.30219268330312
1.69_780.55,1.30208712910152
1.77_918.54,1.30204213092576
4.60_132.14,1.30146929335087
1.47_506.42,1.30132516468881
PC 34:1 Isomer B,1.30128504993708
PI 18:0_20:4 ,1.29937100514068
2.24_511.47,1.29884854793501
2.53_623.61,1.29883901039819
2.38_675.48,1.29839633159721
2.36_153.14,1.29831985644226
2.53_652.67,1.29826174582319
TG 56:6 ,1.29785340793202
3.41_815.79,1.29700159580637
4.73_450.35,1.29685169207074
4.83_368.42,1.29632896712331
1.82_733.48,1.29630869759014
PC O-31:0|PC O-15:0_16:0,1.29604816572
3.86_958.89,1.29492711555587
2.23_184.07,1.29461081285726
LPE 18:1 ,1.2943439982989
2.10_763.51,1.29399344543141
4.25_418.26,1.29372610604648
PS 16:0_22:4 ,1.29307072061439
2.63_610.54,1.29273848975325
4.73_153.14,1.29205537418386
PC O-38:7 ,1.29080450743038
4.24_225.20,1.29078759098908
4.58_391.28,1.29077885775885
2.01_627.54,1.28973618109551
4.24_484.28,1.2894473341305
2.99_666.68,1.28852962198702
4.76_493.41,1.28799346311351
2.34_130.16,1.28737160521963
4.86_439.20,1.28714659294667
2.00_1498.11,1.28689304329017
Cer d40:1 ,1.2863044359492
LPC 32:1 ,1.28591948605465
4.56_153.14,1.28590195113584
4.28_429.25,1.2852701395136
4.55_478.38,1.28512521604116
0.19_120.09,1.28509521461716
TG 54:6 Isomer C ,1.28499714904164
2.08_738.54,1.28468216283184
4.83_284.33,1.28446822962413
4.77_478.38,1.28431918668173
4.18_130.16,1.2841722579714
3.80_225.21,1.28340013742597
4.75_492.40,1.28324523277446
0.27_250.25,1.28311490586013
3.95_130.16,1.28305425381582
4.12_1040.97,1.28280241176317
3.77_450.35,1.28215703208183
4.79_139.12,1.28208409429332
2.45_878.63,1.28191412381301
2.68_665.59,1.28174432299111
4.18_186.22,1.28167619556259
TG 50:3 Isomer A ,1.28160533063384
1.70_866.57,1.28160411983286
4.78_170.17,1.27990537304823
LPE 18:2 ,1.27983918765275
1.75_794.53,1.27956961751756
1.66_881.52,1.27893224066962
4.06_130.16,1.27887148217479
4.71_520.42,1.27866233999044
4.75_394.24,1.27816531503557
1.39_449.34,1.27749983542701
1.47_478.39,1.27728451870351
2.54_391.28,1.27598344346193
3.94_153.14,1.27517960916218
4.82_249.25,1.27474644799944
4.61_492.40,1.27469842381944
4.44_638.65,1.27460263139397
4.43_750.56,1.2745977701623
2.34_492.40,1.27421286532108
2.24_552.56,1.27395741315156
4.80_225.21,1.27395498811289
2.63_624.61,1.27359452138698
2.29_537.53,1.27356904545088
4.44_652.67,1.27308640036922
4.86_499.24,1.27290462866879
1.46_492.41,1.2727450275387
4.53_448.32,1.27271127564391
1.90_864.53,1.27268148394993
4.25_478.38,1.27226313834448
2.19_132.14,1.27221243531667
3.80_478.38,1.27215196378262
1.93_711.50,1.27170243942947
3.18_666.68,1.27165011218479
0.21_145.06,1.27149209231198
1.76_824.57,1.27048330213974
2.16_598.57,1.26968354701523
2.19_153.14,1.26948122540586
4.12_988.94,1.26927038317047
4.67_492.41,1.26900664120745
PE O-38:6 Isomer B ,1.26899831825079
4.73_478.39,1.2688075405583
2.77_694.72,1.26762666305216
4.82_132.14,1.26694538326795
2.48_725.54,1.26689080677676
2.77_593.60,1.26669954291531
4.67_391.28,1.26665228420547
3.42_827.79,1.26620710373717
4.18_225.21,1.26567305732816
4.76_391.28,1.26485798810936
3.93_666.69,1.26473390887694
2.39_677.47,1.26425323070509
2.18_492.40,1.26290710145644
4.08_153.14,1.26226639638377
PMeOH 16:0_18:2 ,1.26214663951203
