PC	lipid	loading	cum_var	INCHIKEY
2	PMeOH 16:0_18:1	0.141839293601371	0.020118385209336	VAARQXKGNHCRDF-HNENSFHCSA-N
2	PE 34:1	0.127799686797968	0.0364511451549948	RECBGBLFDMTQRS-SGEDCAFJSA-N
2	PC 18:0_18:1	0.117752273027688	0.0503167429581819	ATHVAWFAEPLPPQ-UHFFFAOYSA-N
2	PE 36:1	0.117302981264433	0.0640767323717058	JQKOHRZNEOQNJE-ZZEZOPTASA-N
2	PMeOH 16:0_18:2	0.113874845097695	0.0770442127177299	PXPCKHZLDQZOMG-DUZKARGPSA-N
2	PC 36:1 Isomer B	0.111682949155992	0.0895172938499098	ATHVAWFAEPLPPQ-VRDBWYNSSA-N
2	MGDG 16:0_20:5	0.11033501944194	0.101691110365163	GIEIKQLTPYMKIQ-LPNQNMOLSA-N
2	PC 36:1 Isomer A	0.108537645457244	0.113471530846565	ATHVAWFAEPLPPQ-VRDBWYNSSA-N
2	SM d38:2 Isomer B	0.10516977392814	0.124532212194662	MDRFMTLYKHBJTF-NQYLGBTJSA-N
2	PC 16:0_22:6	0.103305486557577	0.135204235747559	IESVDEZGAHUQJU-UHFFFAOYSA-N
2	PE 34:0	0.102855960871874	0.145783584434436	JRTZGTYHEHCHTM-UHFFFAOYSA-N
2	LPE 22:6	-0.102732967150742	0.156337646974031	XEVRBOQZSXWGQO-PAUXXPOVSA-N
2	PE O-16:1_18:2	0.102638451121912	0.166872298622736	RIQAKBUOHSSMTC-PNBIJBBKSA-N
2	LPC 18:0 Isomer B	-0.102524751901846	0.177383623375271	IHNKQIMGVNPMTC-RUZDIDTESA-N
2	PMeOH 36:4	0.101741158964253	0.187734886802661	GLAIFIDZABIAJR-KHDVSGDZSA-N
2	PC 34:1 Isomer B	0.100822497951603	0.197900062895862	WTJKGGKOPKCXLL-MRCUWXFGSA-N
2	LPE 20:4	-0.0998756847495144	0.207875215300046	JPNPIRVRGLGTRE-YSKCIPFOSA-N
2	PE P-36:1 or PE O-36:2	0.0969456223389145	0.217273668990726	OBAAWAYLQLYWNN-KHFVPPDWSA-N
2	LPE 20:5	-0.096164163350944	0.226521215303713	KCWGBXXAJHVZNN-UHFFFAOYSA-N
2	LPC 22:6	-0.0957006565884861	0.23567983097518	LSOWKZULVQWMLY-APPDJCNMSA-N
2	LPC O-18:0	0.0926415016072867	0.244262278795233	XKBJVQHMEXMFDZ-UHFFFAOYSA-N
2	LPC 20:0	-0.0916094248032989	0.252654565508024	UATOAILWGVYRQS-UHFFFAOYSA-N
2	PC O-34:0 Isomer A	0.0913598392721054	0.261001185739849	BNIFFRNYMGLGIV-UHFFFAOYSA-N
2	PE 40:10|PE 20:5_20:5	0.0902723991060219	0.269150291780206	IHTIZXOEIOXSDI-UHFFFAOYSA-N
2	SM d40:2 Isomer B	0.0898625768923853	0.277225574505946	VBFKEZGCUWHGSK-ADSSWVSQSA-N
2	PC O-34:1|PC O-16:0_18:1	0.0896288072921319	0.285258897602556	SIEDNCDNGMIKST-UHFFFAOYSA-N
2	PE O-16:1_18:1	0.0876063622513589	0.292933772309472	RFPQMVKZNQOUGY-KXYOHKLBSA-N
2	PE 36:3	0.0868379522032927	0.300474602252333	GKAFCSRKMWFPSJ-RQOIEFAZSA-N
2	LPC 20:2	-0.0866914439291779	0.307990008702859	YYQVCMMXPIJVHY-ZOIJLGJPSA-N
2	PC P-34:0 or PC O-34:1	0.0866455161531339	0.315497454172302	QCGUXAIDEOWPBV-SNKLRXETSA-N
2	PE P-34:1 or PE O-34:2	0.0863141417205482	0.322947585233257	ZOSSFCIAXYNTHL-CSTBBDSDSA-N
2	PC O-30:0|PC O-14:0_16:0	0.0861170131025539	0.330363725178963	BYMZZQJJOHDZOU-UHFFFAOYSA-N
2	PEtOH 16:0_16:1	0.086021789863823	0.337763473510338	MLHVKKWOXVSPDG-VLGSPTGOSA-N
2	LPC 20:5	-0.0857263938491646	0.34511248811272	PDIGSOAOQOXRDU-WJPZTBRDSA-N
2	8,15-DiHETE	0.083404678975162	0.35206882858767	NNPWRKSGORGTIM-HCCKYKKOSA-N
2	PE O-36:1	0.0823377744895455	0.358848337695561	CEVVUBCHWNKKNN-VDLQPGGRSA-N
2	PC 14:0_16:1	-0.0823244994700625	0.365625660908558	XGGMHQYOVYWRLV-IZNHTBNISA-N
2	PC-O 16:0_18:1	0.081518804828243	0.372270976449183	SIEDNCDNGMIKST-GUSIKBLRSA-N
2	Phosphatidylethanolamine alkenyl 18:0-18:2	0.0814478990869585	0.378904736714862	QBAQUPWJTLVJBD-CZAAGYDRSA-N
2	PC 34:1 Isomer A	0.0808539106680733	0.385442091585183	WTJKGGKOPKCXLL-VYOBOKEXSA-N
2	PE 36:2	0.0804694282894005	0.391917420474406	MWRBNPKJOOWZPW-CLFAGFIQSA-N
2	PC O-36:1	0.0775899204645364	0.397937616232099	CTZJPIRYGNJXMR-MRCUWXFGSA-N
2	TG 50:4	0.0772517724226639	0.403905452574542	PVMBAGXWHHZKFP-JMPJWMFJSA-N
2	GlcCer d42:1	0.076725714453101	0.409792287832881	POQRWMRXUOPCLD-AAAFHMTMSA-N
2	PC O-34:2	0.0766964683847301	0.415674636095571	WDQJCKHLEYAETE-MGXYOJEMSA-N
2	PC 31:1	-0.0758437264356789	0.421426906935221	QFVHCMLUKNHDSH-UHFFFAOYSA-N
2	PC 31:1	-0.0758437264356789	0.421426906935221	QFVHCMLUKNHDSH-WTWBAFHPSA-N
2	TG 54:5 Isomer A	0.0752649299034617	0.427091716608594	OEJXMJPFOHYSIU-GRLFFVHSSA-N
2	Cer d36:1 Isomer B	0.0745878671745758	0.432655066538246	MJQIARGPQMNBGT-WWUCIAQXSA-N
2	PC P-34:1 or PC O-34:2	0.073973689031762	0.438127173207214	MBRHHFWRXQYYAN-RTVLTNFHSA-N
2	PC P-34:1 or PC O-34:2	0.073973689031762	0.438127173207214	MBRHHFWRXQYYAN-JEPFLRBFSA-N
2	PE 38:2	0.073175505626908	0.443481827830967	UITCASPZWUAJBW-HWSICPKZSA-N
2	SM d36:2 Isomer A	0.0726835968915032	0.448764733088054	NBEADXWAAWCCDG-QDDWGVBQSA-N
2	PC 36:3 Isomer AB	0.072612941691502	0.454037372389147	YPAZQMWFRMHBBM-CLKMJQEKSA-N
2	PEtOH 16:0_18:1	0.0722824680261273	0.459262127573095	JCABVIFDXFFRMT-VXPUYCOJSA-N
2	TG 52:3|TG 16:0_18:1_18:2	0.072028602584312	0.464450247163344	KGLAHZTWGPHKFF-UHFFFAOYSA-N
2	GlcCer d42:2	0.071708647754889	0.469592377326179	WBOZIXHPUPAOIA-RBELZSLISA-N
2	PE O-22:6_16:1	0.0712640126177163	0.474670936820557	WVGALBKSWOUIEZ-ULUZTLKMSA-N
2	SM d42:2 Isomer B	0.070998590805077	0.479711736716864	DACOGJMBYLZYDH-GXJPFUDISA-N
2	PC 18:0_22:6	0.0707583861570863	0.484718485928419	FAUYAENFVCNTAL-UHFFFAOYSA-N
