PC	lipid	loading	cum_var	INCHIKEY
1	SM d32:0	-0.0726048498830003	0.371341968542286	MJAFYELZQYPMQG-MPQUPPDSSA-N
1	PC P-36:3 or PC O-36:4	0.071596223182225	0.376467987716245	SOUZQPFUXRVDGK-KCTKZSJBSA-N
1	SM 37:4;3O	0.0713572648336457	0.381559846960784	QFCPIEOQTPOOTG-BIQXSSBLSA-N
1	TG 54:5|TG 18:1_18:2_18:2	0.06987511867189	0.386442379170195	VVEBTVMJPTZDHO-UHFFFAOYSA-N
1	4-METHYL-2-OXO-PENTANOIC ACID	0.0693762106031809	0.391255437767852	BKAJNAXTPSGJCU-UHFFFAOYSA-N
1	TG 54:3|TG 18:0_18:1_18:2	0.0691187416577823	0.396032838216207	CNGSOZKJBWHOEG-UHFFFAOYSA-N
1	LNAPE 20:4_N-19:1	0.0689941174471736	0.400793026458521	YGNHTBSNYNKPPR-QXHWDXSJSA-N
1	PE 38:7|PE 18:2_20:5 Isomer A	0.0689265739757871	0.405543899058561	AJTJVNKPLZTLHV-UHFFFAOYSA-N
1	PC 33:2 Isomer B	0.0689205120025245	0.410293936033251	SBNDHGBVMZMSNL-UESLNCBNSA-N
1	PC O-33:0	-0.0689195174753211	0.415043835922282	LXEGSWFXNDUGIV-UHFFFAOYSA-N
1	PC 38:6 Isomer A	0.0688900658589434	0.419789677096332	PLZBTDKJYHXIEW-DZUXOTHRSA-N
1	TG 56:3|TG 18:1_18:1_20:1	0.0688760853192011	0.424533592225229	QXMHHXQBBKDSSL-UHFFFAOYSA-N
1	PC 42:7	0.0687001898716222	0.429253308313626	LQGLSURTFNDIMU-JXUGAEHWSA-N
1	PC 38:6 Isomer B	0.0685111264500271	0.433947082761078	RUHBZJXWUDKAMZ-XXAGCNFXSA-N
1	TG 50:3 Isomer A	0.0684998755957374	0.438639315717709	UFHNZOACKFBCOM-YXKNDSBASA-N
1	PMeOH 16:0_18:2	0.0682583186620306	0.443298513784277	PXPCKHZLDQZOMG-DUZKARGPSA-N
1	TG 50:2	0.0678926916124298	0.447907931358657	TWJCMQZMAPGUSG-UHFFFAOYSA-N
1	TG 50:2	0.0678926916124298	0.447907931358657	QEZWFCZNHWUARW-XQCAQTCHSA-N
1	Cer d39:1	0.0678593117459622	0.452512817549293	WYSRACVJQVNCRW-PQPBPFPMSA-N
1	TG 56:6	0.0671812685527177	0.457026140393645	ZTNDRFCABXFVMY-WJTCTALZSA-N
1	PC 36:3 Isomer A	0.0669487502562157	0.461508275554514	BXRLDROZWDUSGM-ZRYFCQOPSA-N
1	PE 37:5|PE 17:0_20:5	0.0669026564831103	0.465984240999012	YRRQJTQXWQBPQK-UHFFFAOYSA-N
1	PC P-38:5 or PC O-38:6 Isomer A	0.0667167254772394	0.470435362457417	FAKYQMLQEAQOLK-LHZZQLRFSA-N
1	PC 35:3	0.0664938414399933	0.474856793406864	CCWBLPGHMXYSEO-UHFFFAOYSA-N
1	PC 35:3	0.0664938414399933	0.474856793406864	AYXGHIQPMDYMJC-AHMBLZLYSA-N
1	TG 54:5 Isomer A	0.0663577607199005	0.479260145814623	OEJXMJPFOHYSIU-GRLFFVHSSA-N
1	SM d38:1	-0.0663324942802019	0.483660145612056	AADLTHQNYQJHQV-SVLGDMRNSA-N
1	TG 56:2 Isomer B	0.0659965036081393	0.488015684100555	PDEQUPGHMOMBFC-FYEHETCMSA-N
1	Cer d36:2	0.0658105317459498	0.49234671018924	WNPWDGNHTKGEDS-UHFFFAOYSA-N
1	Cer-NDS d36:0	-0.0656859452210964	0.496661353588829	KZTJQXAANJHSCE-UHFFFAOYSA-N
