"Plot Title: yrv_8"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 21435413, SEN S/N: 21435413)","Host Connected (LGR S/N: 21435413)","Coupler Detached (LGR S/N: 21435413)","Coupler Attached (LGR S/N: 21435413)","Stopped (LGR S/N: 21435413)","End Of File (LGR S/N: 21435413)"
40,06/29/22 09:04:24 PM,14.709,,,,,
41,06/29/22 09:19:24 PM,14.709,,,,,
42,06/29/22 09:34:24 PM,14.709,,,,,
43,06/29/22 09:49:24 PM,14.709,,,,,
44,06/29/22 10:04:24 PM,14.709,,,,,
45,06/29/22 10:19:24 PM,14.709,,,,,
46,06/29/22 10:34:24 PM,14.709,,,,,
47,06/29/22 10:49:24 PM,14.709,,,,,
48,06/29/22 11:04:24 PM,14.613,,,,,
49,06/29/22 11:19:24 PM,14.613,,,,,
50,06/29/22 11:34:24 PM,14.613,,,,,
51,06/29/22 11:49:24 PM,14.613,,,,,
52,06/30/22 12:04:24 AM,14.613,,,,,
53,06/30/22 12:19:24 AM,14.517,,,,,
54,06/30/22 12:34:24 AM,14.517,,,,,
55,06/30/22 12:49:24 AM,14.517,,,,,
56,06/30/22 01:04:24 AM,14.517,,,,,
57,06/30/22 01:19:24 AM,14.517,,,,,
58,06/30/22 01:34:24 AM,14.421,,,,,
59,06/30/22 01:49:24 AM,14.421,,,,,
60,06/30/22 02:04:24 AM,14.517,,,,,
61,06/30/22 02:19:24 AM,14.421,,,,,
62,06/30/22 02:34:24 AM,14.421,,,,,
63,06/30/22 02:49:24 AM,14.421,,,,,
64,06/30/22 03:04:24 AM,14.517,,,,,
65,06/30/22 03:19:24 AM,14.517,,,,,
66,06/30/22 03:34:24 AM,14.517,,,,,
67,06/30/22 03:49:24 AM,14.517,,,,,
68,06/30/22 04:04:24 AM,14.517,,,,,
69,06/30/22 04:19:24 AM,14.517,,,,,
70,06/30/22 04:34:24 AM,14.517,,,,,
71,06/30/22 04:49:24 AM,14.613,,,,,
72,06/30/22 05:04:24 AM,14.517,,,,,
73,06/30/22 05:19:24 AM,14.613,,,,,
74,06/30/22 05:34:24 AM,14.613,,,,,
75,06/30/22 05:49:24 AM,14.613,,,,,
76,06/30/22 06:04:24 AM,14.613,,,,,
77,06/30/22 06:19:24 AM,14.613,,,,,
78,06/30/22 06:34:24 AM,14.613,,,,,
79,06/30/22 06:49:24 AM,14.613,,,,,
80,06/30/22 07:04:24 AM,14.517,,,,,
81,06/30/22 07:19:24 AM,14.517,,,,,
82,06/30/22 07:34:24 AM,14.517,,,,,
83,06/30/22 07:49:24 AM,14.517,,,,,
84,06/30/22 08:04:24 AM,14.517,,,,,
85,06/30/22 08:19:24 AM,14.517,,,,,
86,06/30/22 08:34:24 AM,14.517,,,,,
87,06/30/22 08:49:24 AM,14.517,,,,,
88,06/30/22 09:04:24 AM,14.421,,,,,
89,06/30/22 09:19:24 AM,14.421,,,,,
90,06/30/22 09:34:24 AM,14.421,,,,,
91,06/30/22 09:49:24 AM,14.421,,,,,
92,06/30/22 10:04:24 AM,14.421,,,,,
93,06/30/22 10:19:24 AM,14.421,,,,,
94,06/30/22 10:34:24 AM,14.421,,,,,
