#--- Experiment --------------------------------------------------------------------------
#tank4
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.3.1.1746   www.pyroscience.com
#TARRANT-X230
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-Ofav [A] FSO2-C4 SN:247475085D64A795 Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - SC6-540-199
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	7/7/2022	12/31/2000	23.418000	54.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1017.657000	5.680000	51.936000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
08-07-2022	22:26:32.872	0.303	102.586	22.274	8	0	NotOK(12)	08-07-2022	22:26:32.872	0.303	13.183	OK	08-07-2022	22:26:32.872	0.303	1015	OK
08-07-2022	22:26:33.872	1.303	103.259	22.197	8	0	NotOK(12)	08-07-2022	22:26:33.872	1.303	13.181	OK	08-07-2022	22:26:33.872	1.303	1015	OK
08-07-2022	22:26:34.872	2.303	103.023	22.224	8	0	NotOK(12)	08-07-2022	22:26:34.872	2.303	13.182	OK	08-07-2022	22:26:34.872	2.303	1015	OK
08-07-2022	22:26:35.872	3.303	102.596	22.273	8	0	NotOK(12)	08-07-2022	22:26:35.872	3.303	13.184	OK	08-07-2022	22:26:35.872	3.303	1015	OK
08-07-2022	22:26:36.873	4.304	102.626	22.269	8	0	NotOK(12)	08-07-2022	22:26:36.873	4.304	13.186	OK	08-07-2022	22:26:36.873	4.304	1015	OK
08-07-2022	22:26:37.872	5.303	102.410	22.294	8	0	NotOK(12)	08-07-2022	22:26:37.872	5.303	13.186	OK	08-07-2022	22:26:37.872	5.303	1015	OK
08-07-2022	22:26:38.872	6.303	102.415	22.293	8	0	NotOK(12)	08-07-2022	22:26:38.872	6.303	13.184	OK	08-07-2022	22:26:38.872	6.303	1015	OK
08-07-2022	22:26:39.872	7.303	103.104	22.215	8	0	NotOK(12)	08-07-2022	22:26:39.872	7.303	13.182	OK	08-07-2022	22:26:39.872	7.303	1015	OK
08-07-2022	22:26:40.873	8.304	101.700	22.376	8	0	NotOK(12)	08-07-2022	22:26:40.873	8.304	13.182	OK	08-07-2022	22:26:40.873	8.304	1015	OK
08-07-2022	22:26:41.872	9.304	101.740	22.371	8	0	NotOK(12)	08-07-2022	22:26:41.872	9.304	13.184	OK	08-07-2022	22:26:41.872	9.304	1015	OK
08-07-2022	22:26:42.872	10.304	102.886	22.240	8	0	NotOK(12)	08-07-2022	22:26:42.872	10.304	13.182	OK	08-07-2022	22:26:42.872	10.304	1015	OK
08-07-2022	22:26:43.873	11.305	102.908	22.237	8	0	NotOK(12)	08-07-2022	22:26:43.873	11.305	13.182	OK	08-07-2022	22:26:43.873	11.305	1015	OK
08-07-2022	22:26:44.875	12.307	102.460	22.289	8	0	NotOK(12)	08-07-2022	22:26:44.875	12.307	13.181	OK	08-07-2022	22:26:44.875	12.307	1015	OK
08-07-2022	22:26:45.872	13.304	102.765	22.254	8	0	NotOK(12)	08-07-2022	22:26:45.872	13.304	13.182	OK	08-07-2022	22:26:45.872	13.304	1015	OK
