metabolite	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	p.adj	comparison	module
phthalic acid	-0.746729165958119	11.1943117372519	11.9410409032101	-2.74144325949303	0.0147244512377578	15.6215060309369	-1.32529959880933	-0.168158733106904	Welch Two Sample t-test	two.sided	0.0314668516712722	13v30_day22	module3
putrescine	-1.37831553015729	9.40309592914194	10.7814114592992	-3.77704115461811	0.00278554960102712	11.6224492279759	-2.1762806230061	-0.58035043730847	Welch Two Sample t-test	two.sided	0.012534973204622	13v30_day22	module3
salicylic acid	-0.740700535497332	6.79250615282243	7.53320668831976	-3.00622261351639	0.00951282941316694	13.8757343820399	-1.26959697518212	-0.211804095812545	Welch Two Sample t-test	two.sided	0.024663426848389	13v30_day22	module3
terephthalic acid	-0.562208693697789	8.43997621502986	9.00218490872765	-3.1353213807131	0.00444257231405581	24.3319840487555	-0.932028675298122	-0.192388712097456	Welch Two Sample t-test	two.sided	0.0169190876001111	13v30_day22	module3
adenine	0.24948311528952	9.1535319279465	8.90404881265698	2.55463636001823	0.0153872623015115	33.2686365938925	0.0508554095615354	0.448110821017504	Welch Two Sample t-test	two.sided	0.0258506006665393	13v5_day22	module3
hydroxycarbamate 	0.739496862544711	7.7923739852236	7.05287712267889	2.70378848947672	0.0102839790708168	37.1147419425915	0.185383021943374	1.29361070314605	Welch Two Sample t-test	two.sided	0.0205679581416335	13v5_day22	module3
putrescine	-0.81254560805372	9.34962533174991	10.1621709398036	-3.50605839138441	0.00380761411790897	13.1495474052617	-1.31264305152729	-0.312448164580152	Welch Two Sample t-test	two.sided	0.0323647200022262	5_day3v22	module3
3-Amino-2-piperidone 	1.06603318570102	9.47138637336191	8.40535318766089	2.72339267690174	0.0158559444998605	14.7925492128912	0.230687445482804	1.90137892591923	Welch Two Sample t-test	two.sided	0.0314668516712722	13v30_day22	module4
glutamine	0.657983935331975	12.3762687731473	11.7182848378153	2.89303485444824	0.0095913326632624	18.2548444409972	0.180633673159316	1.13533419750463	Welch Two Sample t-test	two.sided	0.024663426848389	13v30_day22	module4
phosphate	0.328774565753282	13.4401067248138	13.1113321590605	2.59971924599903	0.0131450849186732	38.6405738975787	0.0728980274377962	0.584651104068767	Welch Two Sample t-test	two.sided	0.0240040681123597	13v5_day22	module4
isoleucine 	0.812688989568727	13.1609623070506	12.3482733174819	3.49563953136309	0.0023459677066784	19.5015039947605	0.326934722510797	1.29844325662666	Welch Two Sample t-test	two.sided	0.0115165687418758	13v30_day22	module5
leucine	0.759621520808528	13.5810168030505	12.821395282242	3.9123406325859	0.000871634867166309	19.8801426384265	0.354453482495796	1.16478955912126	Welch Two Sample t-test	two.sided	0.00672404040385438	13v30_day22	module5
methionine	0.835234579411937	12.9853214144564	12.1500868350445	3.88956796360263	0.000590617106621141	27.0581609833181	0.394674736413944	1.27579442240993	Welch Two Sample t-test	two.sided	0.00640800571579145	13v30_day22	module5
ribose-5-phosphate	-0.769714719464281	6.62497843113616	7.39469315060044	-2.94922500504517	0.0128186998416981	11.35940957964	-1.34193752231193	-0.19749191661663	Welch Two Sample t-test	two.sided	0.0300960778892042	13v30_day22	module5
tryptophan 	1.44241230560346	12.0572357627243	10.6148234571209	2.67606896209486	0.01631614531103	16.3880941006132	0.301969774174064	2.58285483703286	Welch Two Sample t-test	two.sided	0.0314668516712722	13v30_day22	module5
valine 	0.923841173911804	12.9236404514749	11.9997992775631	3.95814449608955	0.0013230428918778	14.6103693773885	0.425197318923999	1.42248502889961	Welch Two Sample t-test	two.sided	0.00793825735126681	13v30_day22	module5
proline	1.32547775995183	14.8380750595115	13.5125972995597	3.51158021959053	0.00501306299262552	10.7872010526865	0.492692056043825	2.15826346385984	Welch Two Sample t-test	two.sided	0.0169190876001111	13v30_day22	module6
2-hydroxyglutaric acid	1.09335545264537	11.7080360112252	10.6146805585798	3.67857210964939	0.000802597346663862	34.1006530331083	0.489391740692803	1.69731916459793	Welch Two Sample t-test	two.sided	0.00374545428443136	13v5_day22	module6
2-ketoisocaproic acid	0.767603060914636	9.35352353917153	8.58592047825689	3.01324155811332	0.00471546829899483	35.9313141451076	0.250925433142547	1.28428068868673	Welch Two Sample t-test	two.sided	0.011649980503399	13v5_day22	module6
alpha-ketoglutarate	0.761277337586804	10.4894661297167	9.7281887921299	2.47552237789119	0.0180859008018168	36.4194417364247	0.137843336630471	1.38471133854314	Welch Two Sample t-test	two.sided	0.0276341449664906	13v5_day22	module6
nicotinic acid	0.391253511377725	11.4900280150397	11.098774503662	2.30580779912215	0.0267648998808294	37.3964603625746	0.0475686110347702	0.73493841172068	Welch Two Sample t-test	two.sided	0.0362621224191883	13v5_day22	module6
proline	0.688090380762642	14.8380750595115	14.1499846787489	4.00685236275615	0.000277582152855288	37.8997733679357	0.34041419829486	1.03576656323042	Welch Two Sample t-test	two.sided	0.00166549291713173	13v5_day22	module6
uridine	0.424382298400208	8.40977286303031	7.9853905646301	2.46866623037814	0.0184227633109937	36.1444524221963	0.0757860556375583	0.772978541162858	Welch Two Sample t-test	two.sided	0.0276341449664906	13v5_day22	module6
adenosine-5-monophosphate	3.1134901812828	8.76113698670876	5.64764680542595	5.00884944187329	2.66060318284117e-05	28.1893883380089	1.84058993170326	4.38639043086236	Welch Two Sample t-test	two.sided	0.000718362859367115	13v30_day22	module7
inosine	1.27594837089652	9.89233371194415	8.61638534104763	3.09352646622735	0.00663676048711583	16.8832449286201	0.405280345250318	2.14661639654272	Welch Two Sample t-test	two.sided	0.0210814744884856	13v30_day22	module7
methanolphosphate	1.0598231092361	12.1449866550125	11.0851635457764	4.21908170075482	0.00100921768373109	12.9638575131314	0.516989895803347	1.60265632266885	Welch Two Sample t-test	two.sided	0.00681221936518488	13v30_day22	module7
N-acetylglucosamine-6-phosphate 	0.416617338801133	5.74610184126435	5.32948450246322	3.00613066749069	0.00461423170635071	38.9394266317518	0.136280215921538	0.696954461680729	Welch Two Sample t-test	two.sided	0.011649980503399	13v5_day22	module7
methanolphosphate	0.633500815253493	12.1449866550125	11.511485839759	3.57676890562816	0.00103174716059159	35.351234528737	0.274065122088415	0.992936508418571	Welch Two Sample t-test	two.sided	0.00393939824953152	13v5_day22	module7
serine	0.785636334445499	13.0635874422802	12.2779511078347	4.42953493416215	0.000108077714250281	31.2006893281224	0.42399605686076	1.14727661203024	Welch Two Sample t-test	two.sided	0.000771709810419877	13v5_day22	module7
uracil	0.454267230818868	8.88308242680528	8.42881519598641	2.44500246081902	0.0193780396295247	36.9180429668077	0.0777842491589632	0.830750212478772	Welch Two Sample t-test	two.sided	0.0280647470496565	13v5_day22	module7
