contrast,null.value,ratio,std.error,df,null,statistic,adj.p.value
13C / 30C,0,0.665828431035309,0.107267486688102,Inf,1,-2.52460380646151,0.0311011959225689
13C / 5C,0,4.16136951650179,0.670185784624138,Inf,1,8.85346250760697,2.22044604925031e-14
