treatment,tank,probe_num,slope_nmol_hr,p.value,r.squared,slope_nmol_hr_blank,p.value_blank,r.squared_blank,slope_nmol_hr_corrected,blank_ratio
13C,tank1,1,-8070.35127860112,3.40693603254347e-256,0.954007556350357,158.505406235119,8.24374399687086e-41,0.25805594371206,-8228.85668483624,0.0196404593509334
13C,tank1,2,-4306.98906960322,0,0.892962309683321,51.8040404466479,0.00100336475210831,0.0178886551428125,-4358.79311004986,0.0120279015361932
13C,tank1,3,-3495.20238891067,0,0.917448443922707,-66.5631767594208,2.83418260859408e-05,0.0289059962603255,-3428.63921215125,0.0190441552027453
13C,tank4,1,-13745.9511764592,4.05187933754891e-14,0.781543668938576,2.5235366717732,0.844778835210067,6.41511815420689e-05,-13748.474713131,0.000183583997889859
13C,tank4,3,-1584.04942167327,0,0.775192469288271,-98.0183371915312,7.08144764220183e-06,0.0331956057313885,-1814.16789099321,0.0618783327403966
13C,tank4,2,-3710.98414907728,0,0.95329204673009,230.118469319948,3.88779410802175e-49,0.304644673622303,-3612.96581188575,0.0620100922223464
30C,tank3,1,-3211.13942600604,1.20304093709227e-67,0.793309056472473,199.137808396995,1.6433119509915e-160,0.703455508286296,-3174.85618267993,0.0620146876165633
30C,tank3,2,-7458.56903500101,1.48106526640371e-66,0.738295189668598,-36.2832433261104,0.114148901627247,0.0045648347030602,-7657.706843398,0.0048646386667259
30C,tank3,3,-3750.06302531754,6.11631862713211e-162,0.878708551427632,99.5068158392293,1.69492127936382e-67,0.395049788890363,-3849.56984115677,0.0265347049282735
30C,tank6,1,-2609.50824833407,1.80673366941839e-78,0.894176707128819,1368.85272923233,3.6388355941019e-147,0.672717726824301,-3978.3609775664,0.524563480535544
30C,tank6,2,-4295.88115438576,8.30400174546584e-147,0.877096677647793,-12.8551463164641,0.525609407493898,0.000704690337239527,-4283.0260080693,0.00299243527799645
30C,tank6,3,-6126.19875015262,3.11309113759718e-132,0.893286469161526,-183.171780143484,5.83814242921337e-86,0.475950016364332,-5943.02697000913,0.0298997449501489
5C,tank2,1,-722.67243017075,0,0.856367629723185,50.0146360390975,4.26302981439514e-38,0.241818502911389,-772.687066209848,0.0692078927478668
5C,tank2,2,-1003.47709345972,0,0.660278936263775,-31.4729977176842,0.0322428531459328,0.00759451228183644,-972.00409574204,0.0313639423588371
5C,tank2,3,-2471.25018813323,0,0.883135372800513,51.7213263906384,4.2796217922048e-10,0.0627506479327492,-2522.97151452387,0.0209292149532251
5C,tank5,1,-137.953286585941,0,0.837392657118423,-87.3751834031717,3.6361691385798e-52,0.318003843115474,-128.433166487048,0.633367899856011
5C,tank5,2,-671.993372116172,0,0.839135126297591,-9.52012009889261,0.761042745590368,0.000154772843016593,-584.618188713001,0.0141669851131311
5C,tank5,3,-1105.19707049947,0,0.925162182921804,-96.8655416137604,8.87710734584058e-14,0.0880139238826228,-1008.33152888571,0.0876454925545395
