contrast,null.value,ratio,std.error,df,null,statistic,adj.p.value
day_factor4 / day_factor8,0,0.634089440862013,0.117038157206899,Inf,1,-2.46816190763071,0.0649762876579323
day_factor4 / day_factor15,0,0.628950535528694,0.115154232699275,Inf,1,-2.53265583720217,0.0550278338137754
day_factor4 / day_factor22,0,0.470655203468437,0.0861244544559468,Inf,1,-4.11845451234215,0.000223143518309099
day_factor8 / day_factor15,0,0.991895614400496,0.18141729784781,Inf,1,-0.0444911046718225,0.99996839160792
day_factor8 / day_factor22,0,0.742253652463609,0.135711626650024,Inf,1,-1.63021606657954,0.361513428160082
day_factor15 / day_factor22,0,0.748318312620254,0.136704990185517,Inf,1,-1.58704933390624,0.385992229131968
