term,estimate,std.error,statistic,p.value
(Intercept),5865.31623717455,1128.83929560073,5.19588240773745,0.000108605816228694
treatment30C,-1050.89176669463,1596.41984157824,-0.65828032158239,0.520334324485577
treatment5C,-4867.14197708097,1596.41984157824,-3.04878569554062,0.00812356249986455
