treatment,tank,probe_num,slope_nmol_hr,p.value,r.squared,slope_nmol_hr_blank,p.value_blank,r.squared_blank,slope_nmol_hr_corrected,blank_ratio
13C,Tank_1,1,-7210.90185933232,3.96885413032591e-146,0.892924385904339,-125.905666148605,5.43741417730191e-81,0.454993888014661,-7084.99619318372,0.017460460370246
13C,Tank_1,2,-7791.23941168842,5.35090428522672e-93,0.860313816919006,-67.0200504691753,1.8569847105001e-42,0.267715826287702,-7724.21936121924,0.00860197549168259
13C,Tank_1,3,-6113.32729665271,1.5256776627835e-217,0.93401543760021,189.860247478653,1.76593703684467e-164,0.712944567551129,-6303.18754413136,0.0310567778012816
13C,Tank_4,1,-31028.9804904999,3.01540765203018e-76,0.946516841983319,94.5687613441508,3.138400405256e-67,0.39380934374911,-31123.5492518441,0.00304775599614382
13C,Tank_4,2,-3898.45977788484,0,0.962470216604504,-56.1323797999545,3.53479102506038e-42,0.265768505711984,-3842.32739808488,0.0143986043201938
13C,Tank_4,3,-3537.30030300433,1.30818442900245e-269,0.917362191546208,-94.2958072263834,5.5891651699564e-96,0.514212964712687,-3443.00449577795,0.0266575634379403
30C,Tank_3,3,-25481.9649080297,2.20924452392158e-57,0.941840556071139,112.192238222783,4.60818814320616e-49,0.303828897304201,-25399.9411665523,0.0044028095410896
30C,Tank_3,1,-12205.7638660748,1.64282799476645e-36,0.688486611466565,-82.0237414773946,2.79538283066103e-46,0.288833066772367,-12197.8347199799,0.00672008260829744
30C,Tank_3,2,-5705.60565133445,6.49367041885103e-93,0.797749761180665,-7.92914609493119,0.0519157921494977,0.00629335866990441,-5817.79788955723,0.00138971155377286
30C,Tank_6,3,-27307.4091800854,6.81845156289748e-27,0.836892797591064,-475.729354642274,1.00643017734655e-281,0.88383040036063,-26595.6169674694,0.017421255583236
30C,Tank_6,1,-7279.75346167887,1.99224816355647e-234,0.967603489891053,-711.792212615999,0,0.96666633115766,-6525.04840134878,0.0977769668111596
30C,Tank_6,2,-12895.6825951204,3.59383666495512e-36,0.785104761902529,-754.705060330092,0,0.968073573796996,-12419.9532404781,0.0585238551556522
5C,Tank_2,1,-2094.23358847891,0,0.930575155870662,21.2325597015826,1.82913961485153e-10,0.0655446168206315,-2115.46614818049,0.0101385823522219
5C,Tank_2,3,-1758.52521980816,0,0.943515080755158,12.9302294884537,0.000114960091454865,0.0245451715240959,-1923.50491950679,0.0073528825988997
5C,Tank_2,2,-1700.78017398292,0,0.97026522937144,164.979699698629,9.50439189909981e-158,0.697709752320136,-1713.71040347137,0.0970023652805619
5C,Tank_5,2,-1606.76652637952,7.58632400580709e-235,0.501622980505255,71.0411249286598,1.26188796560874e-53,0.328187668949474,-1665.10623852095,0.0442137197671989
5C,Tank_5,3,-2454.07298852694,0,0.956315345268472,109.23340991739,3.14090006944014e-125,0.612546453915016,-2525.1141134556,0.044511068101099
5C,Tank_5,1,-1749.11031406326,0,0.967740606292858,58.3397121414214,1.24998243148762e-39,0.252058803758271,-1858.34372398065,0.0333539352391649
