term,estimate,std.error,statistic,p.value
(Intercept),8.16531276100522,0.176449219760128,46.2757090799578,3.8938552147121e-53
treatment30C,0.414050567014768,0.173858719270813,2.3815346664887,0.0200456213182437
treatment5C,-1.40673538004407,0.173858719270813,-8.09125585385715,1.49612537690648e-11
as.numeric(day),0.038708143287252,0.0103325464515299,3.74623462559131,0.000372206037290916
