treatment,tank,probe_num,slope_nmol_hr,p.value,r.squared,slope_nmol_hr_blank,p.value_blank,r.squared_blank,slope_nmol_hr_corrected,blank_ratio
13C,tank1,2,-5925.95701533851,0,0.980193144842315,-19.3317301318454,1.9467786022851e-05,0.0300174756121181,-5900.53343275905,0.0032622123450791
13C,tank1,1,-4198.44798538369,0,0.980683968267471,-25.423582579462,1.6449266662065e-06,0.0376530817444559,-4179.11625525185,0.00605547160950203
13C,tank1,3,-4880.43866843194,0,0.944602275973833,-43.7715483342317,4.36978661311234e-37,0.2369942462601,-4836.66712009771,0.00896877336403354
13C,tank4,2,-5496.22345271598,4.16598808795395e-291,0.948377328965717,-152.689623835742,3.02091600704037e-130,0.626600541780343,-5298.61713603703,0.0277808253520497
13C,tank4,1,-1987.41990561125,0,0.801099694017842,-197.606316678943,2.67195916695305e-165,0.714150284205915,-1834.73028177551,0.0994285687292476
13C,tank4,3,-8889.02447095478,7.03883883299756e-292,0.985741148677437,-140.802620816753,7.66912643875631e-154,0.688499299959295,-8748.22185013803,0.0158400532338314
30C,tank3,3,-13694.1173215053,2.07149368921655e-83,0.927587468406321,493.882776429363,1.31831440190629e-260,0.862865905724505,-14025.022622303,0.036065323878434
30C,tank3,2,-13903.5705848587,6.8244250306882e-68,0.898352415106824,362.489052217944,2.90792519136577e-294,0.894124436681368,-14266.0596370766,0.026071651882913
30C,tank3,1,-14310.4132772136,4.80527903398092e-56,0.875109272763609,330.905300797644,4.78120510344978e-263,0.865414258129223,-14804.296053643,0.0231233923428712
30C,tank6,3,-11081.7883835951,1.48224286061201e-180,0.983286798800931,126.693230931934,3.78540975907348e-178,0.742147165324213,-11159.6943434391,0.0114325618344674
30C,tank6,2,-20120.4163154918,1.94479478453969e-80,0.923131663194927,141.923235626033,1.46862495335236e-169,0.724526634302726,-20262.3395511178,0.0070536927964437
30C,tank6,1,-1748.1658671086,0.000310814597703045,0.0619021682478104,77.9059598440226,3.9020134341056e-90,0.492502150740875,-1874.85909804053,0.0445643982128973
5C,tank2,1,-1014.19363612976,0,0.971164465410454,-31.2744168141159,3.39991710399413e-13,0.0848245206353888,-982.91921931564,0.0308367314682249
5C,tank2,2,-1586.57206331837,0,0.983117908163532,62.9663385915979,6.09127243516846e-27,0.17577865383304,-1649.53840190997,0.0396870334776358
5C,tank2,3,-1668.49778411658,0,0.989179249400874,68.4747428930857,3.88051531070964e-56,0.341017667404042,-1736.97252700966,0.0410397565672173
5C,tank5,1,-941.184752902118,0,0.940549265664223,-124.204433680081,3.07708241857132e-86,0.476502538823304,-816.980319222037,0.131966049489327
5C,tank5,3,-2075.90963054714,7.24007399931486e-311,0.738666585351267,-76.4459624767551,8.36973402632194e-67,0.392334197577182,-1988.90183232873,0.0368252843726182
5C,tank5,2,-3108.94830205799,0,0.909916572983489,-87.0077982184085,2.31525315857256e-50,0.310720945693445,-3032.50233958123,0.0279862480057366
