#--- Experiment --------------------------------------------------------------------------
#tank6
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.3.1.1746   www.pyroscience.com
#TARRANT-X230
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-Ofav [A] FSO2-C4 SN:247475085D64A795 Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - SC6-540-199
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	7/7/2022	12/31/2000	23.418000	54.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1017.657000	5.680000	51.936000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
08-07-2022	19:27:00.578	0.284	94.979	21.523	5	0	NotOK(12)	08-07-2022	19:27:00.578	0.284	30.483	OK	08-07-2022	19:27:00.578	0.284	1014	OK
08-07-2022	19:27:01.578	1.284	95.010	21.520	5	0	NotOK(12)	08-07-2022	19:27:01.578	1.284	30.484	OK	08-07-2022	19:27:01.578	1.284	1014	OK
08-07-2022	19:27:02.578	2.284	95.164	21.501	5	0	NotOK(12)	08-07-2022	19:27:02.578	2.284	30.485	OK	08-07-2022	19:27:02.578	2.284	1014	OK
08-07-2022	19:27:03.590	3.296	94.575	21.573	5	0	NotOK(12)	08-07-2022	19:27:03.590	3.296	30.483	OK	08-07-2022	19:27:03.590	3.296	1014	OK
08-07-2022	19:27:04.580	4.286	95.254	21.490	5	0	NotOK(12)	08-07-2022	19:27:04.580	4.286	30.486	OK	08-07-2022	19:27:04.580	4.286	1014	OK
08-07-2022	19:27:05.581	5.286	94.954	21.526	5	0	NotOK(12)	08-07-2022	19:27:05.581	5.286	30.491	OK	08-07-2022	19:27:05.581	5.286	1014	OK
08-07-2022	19:27:06.581	6.286	95.676	21.438	5	0	NotOK(12)	08-07-2022	19:27:06.581	6.286	30.498	OK	08-07-2022	19:27:06.581	6.286	1014	OK
08-07-2022	19:27:07.580	7.285	96.040	21.394	5	0	NotOK(12)	08-07-2022	19:27:07.580	7.285	30.502	OK	08-07-2022	19:27:07.580	7.285	1014	OK
08-07-2022	19:27:08.581	8.286	94.316	21.603	5	0	NotOK(12)	08-07-2022	19:27:08.581	8.286	30.507	OK	08-07-2022	19:27:08.581	8.286	1014	OK
08-07-2022	19:27:09.581	9.287	95.175	21.498	5	0	NotOK(12)	08-07-2022	19:27:09.581	9.287	30.508	OK	08-07-2022	19:27:09.581	9.287	1014	OK
08-07-2022	19:27:10.581	10.287	94.688	21.557	5	0	NotOK(12)	08-07-2022	19:27:10.581	10.287	30.505	OK	08-07-2022	19:27:10.581	10.287	1014	OK
08-07-2022	19:27:11.582	11.288	94.016	21.639	5	0	NotOK(12)	08-07-2022	19:27:11.582	11.288	30.501	OK	08-07-2022	19:27:11.582	11.288	1014	OK
08-07-2022	19:27:12.581	12.287	95.597	21.448	5	0	NotOK(12)	08-07-2022	19:27:12.581	12.287	30.494	OK	08-07-2022	19:27:12.581	12.287	1014	OK
08-07-2022	19:27:13.580	13.286	95.442	21.467	5	0	NotOK(12)	08-07-2022	19:27:13.580	13.286	30.492	OK	08-07-2022	19:27:13.580	13.286	1014	OK
08-07-2022	19:27:14.581	14.287	95.069	21.512	5	0	NotOK(12)	08-07-2022	19:27:14.581	14.287	30.491	OK	08-07-2022	19:27:14.581	14.287	1014	OK
08-07-2022	19:27:15.580	15.286	94.871	21.535	5	0	NotOK(12)	08-07-2022	19:27:15.580	15.286	30.496	OK	08-07-2022	19:27:15.580	15.286	1014	OK
08-07-2022	19:27:16.581	16.287	94.150	21.623	5	0	NotOK(12)	08-07-2022	19:27:16.581	16.287	30.502	OK	08-07-2022	19:27:16.581	16.287	1014	OK
08-07-2022	19:27:17.580	17.286	93.720	21.675	5	0	NotOK(12)	08-07-2022	19:27:17.580	17.286	30.507	OK	08-07-2022	19:27:17.580	17.286	1014	OK
08-07-2022	19:27:18.583	18.289	96.669	21.319	5	0	NotOK(12)	08-07-2022	19:27:18.583	18.289	30.505	OK	08-07-2022	19:27:18.583	18.289	1014	OK
08-07-2022	19:27:19.584	19.290	95.124	21.504	5	0	NotOK(12)	08-07-2022	19:27:19.584	19.290	30.501	OK	08-07-2022	19:27:19.584	19.290	1014	OK
08-07-2022	19:27:20.582	20.288	95.455	21.465	5	0	NotOK(12)	08-07-2022	19:27:20.582	20.288	30.497	OK	08-07-2022	19:27:20.582	20.288	1014	OK
08-07-2022	19:27:21.589	21.295	94.752	21.550	5	0	NotOK(12)	08-07-2022	19:27:21.589	21.295	30.492	OK	08-07-2022	19:27:21.589	21.295	1014	OK
08-07-2022	19:27:22.585	22.290	96.363	21.358	5	0	NotOK(12)	08-07-2022	19:27:22.585	22.290	30.485	OK	08-07-2022	19:27:22.585	22.290	1014	OK
08-07-2022	19:27:23.583	23.288	96.254	21.371	5	0	NotOK(12)	08-07-2022	19:27:23.583	23.288	30.478	OK	08-07-2022	19:27:23.583	23.288	1014	OK
08-07-2022	19:27:24.582	24.287	95.929	21.410	5	0	NotOK(12)	08-07-2022	19:27:24.582	24.287	30.471	OK	08-07-2022	19:27:24.582	24.287	1014	OK
08-07-2022	19:27:25.582	25.287	96.448	21.348	5	0	NotOK(12)	08-07-2022	19:27:25.582	25.287	30.466	OK	08-07-2022	19:27:25.582	25.287	1014	OK
08-07-2022	19:27:26.583	26.289	94.115	21.630	5	0	NotOK(12)	08-07-2022	19:27:26.583	26.289	30.466	OK	08-07-2022	19:27:26.583	26.289	1014	OK
08-07-2022	19:27:27.582	27.288	94.652	21.564	5	0	NotOK(12)	08-07-2022	19:27:27.582	27.288	30.469	OK	08-07-2022	19:27:27.582	27.288	1014	OK
08-07-2022	19:27:28.582	28.288	96.596	21.331	5	0	NotOK(12)	08-07-2022	19:27:28.582	28.288	30.467	OK	08-07-2022	19:27:28.582	28.288	1014	OK
08-07-2022	19:27:29.584	29.290	94.636	21.567	5	0	NotOK(12)	08-07-2022	19:27:29.584	29.290	30.458	OK	08-07-2022	19:27:29.584	29.290	1014	OK
08-07-2022	19:27:30.583	30.289	94.612	21.571	5	0	NotOK(12)	08-07-2022	19:27:30.583	30.289	30.440	OK	08-07-2022	19:27:30.583	30.289	1014	OK
08-07-2022	19:27:31.583	31.289	95.501	21.465	5	0	NotOK(12)	08-07-2022	19:27:31.583	31.289	30.426	OK	08-07-2022	19:27:31.583	31.289	1014	OK
08-07-2022	19:27:32.583	32.289	95.173	21.504	5	0	NotOK(12)	08-07-2022	19:27:32.583	32.289	30.418	OK	08-07-2022	19:27:32.583	32.289	1014	OK
08-07-2022	19:27:33.582	33.288	94.794	21.550	5	0	NotOK(12)	08-07-2022	19:27:33.582	33.288	30.420	OK	08-07-2022	19:27:33.582	33.288	1014	OK
08-07-2022	19:27:34.582	34.288	94.152	21.628	5	0	NotOK(12)	08-07-2022	19:27:34.582	34.288	30.422	OK	08-07-2022	19:27:34.582	34.288	1014	OK
08-07-2022	19:27:35.583	35.289	95.194	21.502	5	0	NotOK(12)	08-07-2022	19:27:35.583	35.289	30.423	OK	08-07-2022	19:27:35.583	35.289	1014	OK
08-07-2022	19:27:36.583	36.289	95.195	21.501	5	0	NotOK(12)	08-07-2022	19:27:36.583	36.289	30.432	OK	08-07-2022	19:27:36.583	36.289	1014	OK
08-07-2022	19:27:37.582	37.288	95.078	21.515	5	0	NotOK(12)	08-07-2022	19:27:37.582	37.288	30.440	OK	08-07-2022	19:27:37.582	37.288	1014	OK
08-07-2022	19:27:38.582	38.288	93.359	21.724	5	0	NotOK(12)	08-07-2022	19:27:38.582	38.288	30.449	OK	08-07-2022	19:27:38.582	38.288	1014	OK
08-07-2022	19:27:39.584	39.290	94.913	21.534	5	0	NotOK(12)	08-07-2022	19:27:39.584	39.290	30.454	OK	08-07-2022	19:27:39.584	39.290	1014	OK
08-07-2022	19:27:40.584	40.289	95.035	21.519	5	0	NotOK(12)	08-07-2022	19:27:40.584	40.289	30.452	OK	08-07-2022	19:27:40.584	40.289	1014	OK
08-07-2022	19:27:41.584	41.289	94.628	21.568	5	0	NotOK(12)	08-07-2022	19:27:41.584	41.289	30.455	OK	08-07-2022	19:27:41.584	41.289	1014	OK
08-07-2022	19:27:42.585	42.290	93.891	21.658	5	0	NotOK(12)	08-07-2022	19:27:42.585	42.290	30.458	OK	08-07-2022	19:27:42.585	42.290	1014	OK
08-07-2022	19:27:43.584	43.289	94.397	21.596	5	0	NotOK(12)	08-07-2022	19:27:43.584	43.289	30.460	OK	08-07-2022	19:27:43.584	43.289	1014	OK
08-07-2022	19:27:44.584	44.290	96.428	21.351	5	0	NotOK(12)	08-07-2022	19:27:44.584	44.290	30.462	OK	08-07-2022	19:27:44.584	44.290	1014	OK
08-07-2022	19:27:45.583	45.289	95.583	21.453	5	0	NotOK(12)	08-07-2022	19:27:45.583	45.289	30.452	OK	08-07-2022	19:27:45.583	45.289	1014	OK
08-07-2022	19:27:46.583	46.289	95.060	21.517	5	0	NotOK(12)	08-07-2022	19:27:46.583	46.289	30.438	OK	08-07-2022	19:27:46.583	46.289	1014	OK
08-07-2022	19:27:47.583	47.289	94.294	21.611	5	0	NotOK(12)	08-07-2022	19:27:47.583	47.289	30.427	OK	08-07-2022	19:27:47.583	47.289	1014	OK
08-07-2022	19:27:48.583	48.289	93.548	21.703	5	0	NotOK(12)	08-07-2022	19:27:48.583	48.289	30.422	OK	08-07-2022	19:27:48.583	48.289	1014	OK
08-07-2022	19:27:49.584	49.290	94.121	21.632	5	0	NotOK(12)	08-07-2022	19:27:49.584	49.290	30.427	OK	08-07-2022	19:27:49.584	49.290	1014	OK
08-07-2022	19:27:50.584	50.290	94.268	21.614	5	0	NotOK(12)	08-07-2022	19:27:50.584	50.290	30.425	OK	08-07-2022	19:27:50.584	50.290	1014	OK
08-07-2022	19:27:51.585	51.291	95.083	21.515	5	0	NotOK(12)	08-07-2022	19:27:51.585	51.291	30.421	OK	08-07-2022	19:27:51.585	51.291	1014	OK
08-07-2022	19:27:52.584	52.290	95.450	21.471	5	0	NotOK(12)	08-07-2022	19:27:52.584	52.290	30.415	OK	08-07-2022	19:27:52.584	52.290	1014	OK
08-07-2022	19:27:53.586	53.292	93.298	21.734	5	0	NotOK(12)	08-07-2022	19:27:53.586	53.292	30.421	OK	08-07-2022	19:27:53.586	53.292	1014	OK
08-07-2022	19:27:54.583	54.289	95.171	21.504	5	0	NotOK(12)	08-07-2022	19:27:54.583	54.289	30.435	OK	08-07-2022	19:27:54.583	54.289	1014	OK
08-07-2022	19:27:55.583	55.289	94.261	21.613	5	0	NotOK(12)	08-07-2022	19:27:55.583	55.289	30.449	OK	08-07-2022	19:27:55.583	55.289	1014	OK
08-07-2022	19:27:56.591	56.297	92.635	21.813	5	0	NotOK(12)	08-07-2022	19:27:56.591	56.297	30.455	OK	08-07-2022	19:27:56.591	56.297	1014	OK
08-07-2022	19:27:57.587	57.292	94.363	21.600	4	0	NotOK(12)	08-07-2022	19:27:57.587	57.292	30.457	OK	08-07-2022	19:27:57.587	57.292	1014	OK
08-07-2022	19:27:58.583	58.288	94.134	21.628	6	0	NotOK(12)	08-07-2022	19:27:58.583	58.288	30.459	OK	08-07-2022	19:27:58.583	58.288	1014	OK
08-07-2022	19:27:59.585	59.290	94.933	21.531	6	0	NotOK(12)	08-07-2022	19:27:59.585	59.290	30.465	OK	08-07-2022	19:27:59.585	59.290	1014	OK
08-07-2022	19:28:00.583	60.288	95.020	21.519	6	0	NotOK(12)	08-07-2022	19:28:00.583	60.288	30.470	OK	08-07-2022	19:28:00.583	60.288	1014	OK
08-07-2022	19:28:01.586	61.292	95.603	21.449	6	0	NotOK(12)	08-07-2022	19:28:01.586	61.292	30.479	OK	08-07-2022	19:28:01.586	61.292	1014	OK
08-07-2022	19:28:02.583	62.289	95.142	21.504	6	0	NotOK(12)	08-07-2022	19:28:02.583	62.289	30.480	OK	08-07-2022	19:28:02.583	62.289	1014	OK
08-07-2022	19:28:03.585	63.291	95.650	21.443	6	0	NotOK(12)	08-07-2022	19:28:03.585	63.291	30.473	OK	08-07-2022	19:28:03.585	63.291	1014	OK
08-07-2022	19:28:04.583	64.289	95.712	21.437	7	0	NotOK(12)	08-07-2022	19:28:04.583	64.289	30.461	OK	08-07-2022	19:28:04.583	64.289	1014	OK
08-07-2022	19:28:05.584	65.290	95.036	21.519	6	0	NotOK(12)	08-07-2022	19:28:05.584	65.290	30.443	OK	08-07-2022	19:28:05.584	65.290	1014	OK
08-07-2022	19:28:06.599	66.305	95.349	21.484	7	0	NotOK(12)	08-07-2022	19:28:06.599	66.305	30.420	OK	08-07-2022	19:28:06.599	66.305	1014	OK
08-07-2022	19:28:07.591	67.297	95.973	21.410	6	0	NotOK(12)	08-07-2022	19:28:07.591	67.297	30.394	OK	08-07-2022	19:28:07.591	67.297	1014	OK
