lipid	104	105	106	107	108	109	110	111	112	113	114	404	405	406	407	408	409	410	411	412	413	101	102	103	401	402	403	304	305	306	307	308	604	605	606	607	608	301	302	303	601	602	603	204	205	206	207	208	209	210	211	212	213	504	505	506	507	508	509	510	511	512	513	201	202	203	501	502	503
1	(Z)-9,12,13-trihydroxyoctadec-15-enoic acid 	850	834	609	481	688	517	797	719	1321	431	638	740	690	3754	882	848	770	692	574	500	600	663	600	1003	763	666	751	727	827	1187	1690	646	1129	649	4061	1162	983	697	765	538	726	382	380	571	771	422	689	695	336	384	717	450	553	642	594	557	645	1446	1181	606	364	815	612	811	518	2341	445	911	504
2	13-HODE 	4385	1490	1462	2861	1592	1765	4784	2105	9942	1360	2433	2794	2340	24454	1522	2740	2973	2701	1160	1653	2326	1601	1950	3458	1427	1546	2990	2129	1404	3136	13429	2059	4160	1934	19225	2540	4469	3183	1708	1147	1902	1488	1256	1479	2472	2599	1885	1931	1699	2086	3074	2447	1555	1506	998	1588	2909	5676	5209	1472	1253	2227	2228	1564	1123	7977	1987	1740	1527
3	15-OxoETE 	1081	1699	2587	1394	2314	1325	4724	2608	6411	4818	1665	2884	2637	1830	823	5677	2353	1238	1957	2791	6677	30675	4378	47040	2930	8465	30941	1352	1007	809	654	1113	1115	2344	516	941	1275	880	950	18578	3399	3062	1569	2016	2120	1916	1716	2565	1263	1186	2649	2858	2436	1975	1847	7439	2032	1371	4178	2723	4365	1336	2039	1168	3322	834	2066	1934	4997
4	4-HDoHE 	461	835	1052	782	996	1020	2048	1400	1817	1096	1254	1057	696	509	396	1458	741	1105	714	1007	944	10815	1575	17427	1186	2319	7883	316	257	416	498	467	367	413	716	208	431	385	366	5660	682	1128	715	1170	1245	1064	740	1168	608	1025	1223	1635	1284	1147	838	6191	1351	615	1266	1065	1401	1008	1001	598	1075	551	901	374	1197
5	4-METHYL-2-OXO-PENTANOIC ACID 	4390	2325	3680	7379	4240	1127	5002	5719	5678	9955	4774	2934	10160	3358	4335	2183	4804	3335	4241	2138	4311	4454	9107	1020	4210	4227	2690	892	2228	1102	2528	736	1231	1129	3743	1503	1584	4130	627	1677	1337	1742	1829	3888	4393	1039	1481	1827	3973	3924	2835	3188	8202	2590	2785	2725	1523	1505	3692	6044	3077	1114	1450	8454	6783	1112	3275	2921	1891
6	5-HETE 	612	1472	1659	1247	1529	1226	4527	2150	2867	1474	1185	1359	1701	1178	767	2857	1402	738	1106	1552	4005	9538	2809	53133	1815	4742	40525	863	1093	533	992	871	561	804	1259	752	824	740	619	12037	1315	1960	1026	1372	1213	1418	902	1432	889	813	1952	2549	1389	1221	1319	5354	1633	894	1983	1654	2870	965	1386	926	1524	904	1529	1455	3137
7	8,15-DiHETE 	498	734	1607	631	1233	628	1020	1275	1141	701	894	1616	909	1346	499	991	1081	642	760	646	886	1516	705	11129	1372	2635	2813	750	815	636	1107	1050	1122	5177	2069	445	834	632	637	2951	1171	883	519	580	824	726	763	1669	890	489	635	861	727	632	432	1133	783	869	991	701	837	512	570	412	2133	1034	552	660	999
8	CAR 12:0 	155956	62282	61222	136471	124914	101675	190266	91271	149334	122648	79663	122359	108256	125701	148352	53432	121861	191923	117592	93747	101013	140138	166030	20211	68374	87088	37931	56351	224357	61770	110838	21606	27127	86458	91145	121734	104568	93955	98026	51623	83587	111892	139588	113721	136852	72528	78437	58298	18637	61038	123630	307769	130953	136106	199868	117514	66928	76919	72801	92936	282943	33375	90478	100460	182321	64873	185857	63483	47670
9	CAR 15:0	93876	21114	31491	92034	70633	24298	417594	40247	342456	98679	92067	55165	215895	123761	141207	19892	50765	148067	74780	88484	44589	102849	107217	6577	81220	27599	15158	12838	108966	99840	83129	1945	33219	41878	79326	48435	83636	70701	16839	11139	40724	78485	134693	60534	107934	14304	72592	263565	21472	97253	55564	55842	29494	178484	95470	60982	24444	12139	15630	108896	391329	19401	60366	104941	278344	23351	187381	35072	116055
