,tank,initialTemp,finalTemp,tempDiff,rampRate
1,1,12.78525,13.67625,0.890999999999998,0.108
2,2,13.293,6.26775,-7.02525,-0.851545454545454
3,3,13.38925,30.55975,17.1705,2.08127272727273
