#--- Experiment --------------------------------------------------------------------------
#tank6
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.3.1.1746   www.pyroscience.com
#TARRANT-X230
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-Ofav [A] FSO2-C4 SN:247475085D64A795 Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - SC6-540-199
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	2	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	7/12/2022	12/31/2000	21.790533	54.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1009.101013	30.629801	54.886002	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
12-07-2022	09:40:58.733	-0.150	103.994	21.565	26	0	NotOK(11)	12-07-2022	09:40:58.733	-0.150	30.741	OK	12-07-2022	09:40:58.733	-0.150	1009	OK
12-07-2022	09:40:59.731	0.848	103.922	21.574	26	0	NotOK(11)	12-07-2022	09:40:59.731	0.848	30.742	OK	12-07-2022	09:40:59.731	0.848	1009	OK
12-07-2022	09:41:00.729	1.846	103.865	21.580	26	0	NotOK(11)	12-07-2022	09:41:00.729	1.846	30.744	OK	12-07-2022	09:41:00.729	1.846	1009	OK
12-07-2022	09:41:01.733	2.850	103.991	21.566	26	0	NotOK(11)	12-07-2022	09:41:01.733	2.850	30.745	OK	12-07-2022	09:41:01.733	2.850	1009	OK
12-07-2022	09:41:02.747	3.863	104.123	21.551	26	0	NotOK(11)	12-07-2022	09:41:02.747	3.863	30.746	OK	12-07-2022	09:41:02.747	3.863	1009	OK
12-07-2022	09:41:03.731	4.847	104.277	21.534	26	0	NotOK(11)	12-07-2022	09:41:03.731	4.847	30.747	OK	12-07-2022	09:41:03.731	4.847	1009	OK
12-07-2022	09:41:04.730	5.846	103.961	21.569	26	0	NotOK(11)	12-07-2022	09:41:04.730	5.846	30.749	OK	12-07-2022	09:41:04.730	5.846	1009	OK
12-07-2022	09:41:05.729	6.845	104.158	21.547	26	0	NotOK(11)	12-07-2022	09:41:05.729	6.845	30.750	OK	12-07-2022	09:41:05.729	6.845	1009	OK
12-07-2022	09:41:06.740	7.856	103.779	21.589	26	0	NotOK(11)	12-07-2022	09:41:06.740	7.856	30.748	OK	12-07-2022	09:41:06.740	7.856	1009	OK
12-07-2022	09:41:07.732	8.849	103.634	21.605	26	0	NotOK(11)	12-07-2022	09:41:07.732	8.849	30.744	OK	12-07-2022	09:41:07.732	8.849	1009	OK
12-07-2022	09:41:08.730	9.847	104.208	21.542	26	0	NotOK(11)	12-07-2022	09:41:08.730	9.847	30.743	OK	12-07-2022	09:41:08.730	9.847	1009	OK
12-07-2022	09:41:09.735	10.852	104.265	21.535	26	0	NotOK(11)	12-07-2022	09:41:09.735	10.852	30.741	OK	12-07-2022	09:41:09.735	10.852	1009	OK
12-07-2022	09:41:10.731	11.848	103.988	21.567	26	0	NotOK(11)	12-07-2022	09:41:10.731	11.848	30.742	OK	12-07-2022	09:41:10.731	11.848	1009	OK
12-07-2022	09:41:11.733	12.850	104.288	21.533	26	0	NotOK(11)	12-07-2022	09:41:11.733	12.850	30.743	OK	12-07-2022	09:41:11.733	12.850	1009	OK
