lipid	identifier	PubChem.CID	Chemical.Name	INCHIKEY
Cer d41:2 	2.96_692.62_2.97_632.60	138199486	(Z)-N-[(E)-1,3-dihydroxyheptadec-4-en-2-yl]tetracos-11-enamide	KZTBXGOBTULOIO-SZHIUZGGSA-N
Cer d42:2 	3.09_682.59_3.09_646.61_3.09_706.64	5283568	(Z)-N-[(E,2S,3R)-1,3-dihydroxyoctadec-4-en-2-yl]-15-tetracosenamide	VJSBNBBOSZJDKB-KPEYJIHVSA-N
Cer d42:3 	2.88_704.62	163141710	N-(1,3-dihydroxyoctadeca-4,8-dien-2-yl)tetracos-11-enamide	KADBCXSPXAVXJL-UHFFFAOYSA-N
Cer d46:1 	3.25_732.73	145714838	N-(octacosanoyl)-4E-eicosasphingenine	CZDSGZAXVMEXFM-NJLCVJHMSA-N
Cer-NDS d36:0 	2.69_566.55	4255985	N-(1,3-dihydroxyoctadecan-2-yl)octadecanamide	KZTJQXAANJHSCE-UHFFFAOYSA-N
Cholesterol 	1.89_369.35	5997	(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol	HVYWMOMLDIMFJA-DPAQBDIFSA-N
CoQ10	3.44_863.70	1156	Ubisemiquinone	ACTIUHUUMQJHFO-UHFFFAOYSA-N
DG 34:1 	2.65_633.49	5282283	1-Palmitoyl-2-oleoyl-sn-glycerol	YEJYLHKQOBOSCP-OZKTZCCCSA-N
DG 36:5 	2.24_632.52	9543737	DG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)	PGXBELQFNRPKBC-WBVIKXMWSA-N
DG 38:5 	2.48_681.49_2.47_665.51_2.48_660.56	9543784	DG(18:3(9Z,12Z,15Z)/20:2(11Z,14Z)/0:0)	GRGDLDNREYVILP-CNWVQWJYSA-N
DG 38:6 	2.26_679.47_2.25_658.54	9543795	DG(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z)/0:0)	YDVDXUYJFQLPEG-CTHJWPIASA-N
FA 17:1	0.88_267.23	3014063	9-heptadecenoic acid	QSBYPNXLFMSGKH-UHFFFAOYSA-N
FA 18:1 (oleic acid) 	1.06_281.25	445639	Emersol 220 White Oleate	ZQPPMHVWECSIRJ-KTKRTIGZSA-N
FA 18:1+2O 	0.28_313.24	53394288	9,10-Dihydroxyoctadec-12-enoic acid	XEBKSQSGNGRGDW-UHFFFAOYSA-N
FA 18:2 (linoleic acid) 	0.79_279.23	5282796	9,11-Octadecadienoic acid	JBYXPOFIGCOSSB-XBLVEGMJSA-N
FA 18:2+2O 	0.26_311.22	1928	9S-hydroperoxy-10E,12Z-octadecadienoic acid	JGUNZIWGNMQSBM-UHFFFAOYSA-N
FA 18:3 (linolenic acid) 	0.60_277.22	5280934	LINOLENIC ACID	DTOSIQBPPRVQHS-PDBXOOCHSA-N
FA 19:1 	1.23_295.26	14275215	9-Nonadecenoic acid	YOKHLRHWEXTWJR-ZHACJKMWSA-N
FA 20:1	1.36_309.28	142770	(EZ)-Icosenoic acid	BITHHVVYSMSWAG-UHFFFAOYSA-N
FA 20:2 (eicosadienoic acid) 	1.16_307.26	6439848	Eicosadienoic acid	XSXIVVZCUAHUJO-HZJYTTRNSA-N
FA 20:3 (eicosatrienoic acid) 	0.94_305.25	5312529	11,14,17-Eicosatrienoic acid	AHANXAKGNAKFSK-PDBXOOCHSA-N
FA 20:4 (arachidonic acid) 	0.74_303.23	444899	Arachidonate	YZXBAPSDXZZRGB-DOFZRALJSA-N
FA 20:5 (eicosapentaenoic acid) 	0.56_301.22	446284	Icosapent (INN)	JAZBEHYOTPTENJ-JLNKQSITSA-N
FA 22:1 (erucic acid) 	1.58_337.31	5281116	Erucic Acid	DPUOLQHDNGRHBS-KTKRTIGZSA-N
FA 22:2 (docosadienoic acid) 	1.41_335.30	5282807	13,16-Docosadienoic acid	HVGRZDASOHMCSK-AVQMFFATSA-N
FA 22:4 	1.03_331.26	5497181	(7Z,10Z,13Z,16Z)-Docosa-7,10,13,16-tetraenoic acid	TWSWSIQAPQLDBP-DOFZRALJSA-N
FA 22:6 (docosahexaenoic acid) 	0.65_327.23	445580	HXA	MBMBGCFOFBJSGT-KUBAVDMBSA-N
FA 24:0(2OH)	1.47_383.35	102430	2-Hydroxytetracosanoic acid	MSUOLNSQHLHDAS-UHFFFAOYSA-N
FA 25:0 	2.21_381.37	10468	pentacosanoic acid	MWMPEAHGUXCSMY-UHFFFAOYSA-N
FA 30:0 	2.93_451.45	10471	Triacontanoic acid	VHOCUJPBKOZGJD-UHFFFAOYSA-N
FAHFA 26:0 	1.58_425.36	88765616	2-Tetracosanoyloxyacetic acid	OBPRTZBYYWWRGJ-UHFFFAOYSA-N
FAHFA 38:4 	1.06_585.49	138276051	Fahfa 18:1/20:3	UWSSQGYIAHOMJM-OMCRSCLLSA-N
FAHFA 46:0 	2.75_705.68	138125105	Fahfa 25:0/21:0	BCZDKPKCPSQECA-UHFFFAOYSA-N
GlcADG 37:3 	2.28_807.56	138275198	6-[2-heptadecanoyloxy-3-[(11Z,14Z,17Z)-icosa-11,14,17-trienoyl]oxypropoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid	UTZWWDIWEOVCQN-JTBMWNAQSA-N
GlcCer d38:1 	2.67_790.60_2.67_814.64	20057356	beta-D-glucosyl-N-eicosanoylsphingosine	DFELABABMXOKTD-IYFIADHGSA-N
GlcCer d40:1 	2.91_818.63	6321359	C22 GlcCer	YIGARKIIFOHVPF-YAEABVQUSA-N
GlcCer d42:1 	3.14_846.66	6321361	Glucosylceramide	POQRWMRXUOPCLD-AAAFHMTMSA-N
GlcCer d42:2 	2.88_844.64	6321360	N-(15Z-tetracosenoyl)-1-beta-glucosyl-sphing-4-enine	WBOZIXHPUPAOIA-RBELZSLISA-N
HexCer 32:0;O2	1.88_674.56	22178811	HexCer 18:0;2O/14:0	SCBSLJVBXYHZPZ-UHFFFAOYSA-N
LNAPE 20:4_N-19:1 	2.14_778.53	165327881	Lnape 20:4/N-19:1	YGNHTBSNYNKPPR-QXHWDXSJSA-N
LPC 16:0 	0.64_554.35	460602	1-16:0-2-lysophosphatidylcholine	ASWBNKHCZGQVJV-HSZRJFAPSA-N
LPC 18:0 Isomer B 	1.20_582.38	497299	1-18:0-lysoPC	IHNKQIMGVNPMTC-RUZDIDTESA-N
LPC 18:1 	0.64_522.35	16081932	1-18:1-lysophosphatidylcholine	YAMUFBLWGFFICM-PTGWMXDISA-N
LPC 18:2 	0.48_578.34	11005824	1-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine	SPJFYYJXNPEZDW-FTJOPAKQSA-N
LPC 20:0 	1.36_610.41	24779474	[2-hydroxy-3-(1-oxoeicosoxy)propyl] 2-(trimethylammonio)ethyl phosphate	UATOAILWGVYRQS-UHFFFAOYSA-N
LPC 20:1 	1.01_608.39	24779475	1-(9Z-eicosenoyl)-sn-glycero-3-phosphocholine	GJTDRNFWIDPARY-GTPZACKGSA-N
LPC 20:2 	0.76_606.38	52924053	Lysophosphatidylcholine(20:2)	YYQVCMMXPIJVHY-ZOIJLGJPSA-N
LPC 20:5 	0.37_542.33	11757087	LysoPC(20:5(5Z,8Z,11Z,14Z,17Z))	PDIGSOAOQOXRDU-WJPZTBRDSA-N
LPC 22:6 	0.45_568.34	10415542	LPC(22:6/0:0)	LSOWKZULVQWMLY-APPDJCNMSA-N
LPC 32:1 	2.30_740.56	164502065	Lpc 32:1-SN1	ZJIXPFHQCRWXJV-PFONDFGASA-N
LPC 40:7 	2.09_840.59	164493524	Lpc 40:7-SN1	YSTGSPYMRHRHHQ-QAYSHOGESA-N
LPC O-16:0 	0.77_540.37	3983	1-O-Hexadecyl-lyso-sn-glycero-3-phosphocholine	VLBPIWYTPAXCFJ-UHFFFAOYSA-N
LPC O-18:0 	1.15_568.40	3985	Lyso-PAF c-18	XKBJVQHMEXMFDZ-UHFFFAOYSA-N
LPE 16:0 	0.66_452.28	53480922	LysoPE(0:0/16:0)	CKPBBEOJHAPPBT-HXUWFJFHSA-N
LPE 18:0 	1.01_480.31	477551911	LPE 18:0	BBYWOYAFBUOUFP-UHFFFAOYNA-N
LPE 18:1 	0.71_478.29	477882298	LPE 18:1	PYVRVRFVLRNJLY-KTKRTIGZNA-N
LPE 18:2 	0.52_476.28	52925130	1-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphoethanolamine	DBHKHNGBVGWQJE-USWSLJGRSA-N
LPE 20:4 	0.48_500.28	53480952	LysoPE(20:4(8Z,11Z,14Z,17Z)/0:0)	JPNPIRVRGLGTRE-YSKCIPFOSA-N
LPE 20:5	0.38_500.28	75958074	[3-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] icosa-5,8,11,14,17-pentaenoate	KCWGBXXAJHVZNN-UHFFFAOYSA-N
LPE 22:6 	0.46_524.28	52925132	Lyso-PE(22:6w3/0:0)	XEVRBOQZSXWGQO-PAUXXPOVSA-N
LPE O-18:1 	1.15_464.31	477577455	LPE O-18:1	CDONWGCJDDHTLP-KTKRTIGZNA-N
LPE O-20:0 	1.16_494.36	477869257	LPE O-20:0	PKPGKYPSMJMPGS-UHFFFAOYNA-N
LPS 18:0 	0.69_524.30	478094547	LPS 18:0	ZPDQFUYPBVXUKS-UHFFFAOYNA-N
MGDG 16:0_20:5 	1.95_821.53	134732480	[(2S)-1-hexadecanoyloxy-3-[(2R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] (5E,8E,11E,14E,17E)-icosa-5,8,11,14,17-pentaenoate	GIEIKQLTPYMKIQ-LPNQNMOLSA-N
MGDG 34:3 	2.01_797.53	74382274	[1-Hexadecanoyloxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] octadeca-9,12,15-trienoate	NAUNPPRXNUXMCK-UHFFFAOYSA-N
N-(eicosanoyl)sphingosine 	2.69_576.57	4307993	N-(1,3-dihydroxyoctadec-4-en-2-yl)icosanamide	XWBWIAOWSABHFI-UHFFFAOYSA-N
NAE 4:0	0.19_132.10	252506	N-(2-Hydroxyethyl)butyramide	ZWHVMTQUUANYQJ-UHFFFAOYSA-N
NAE 5:0	0.20_146.12	13245640	N-(2-hydroxyethyl)pentanamide	NURPOXDFZKXLRW-UHFFFAOYSA-N
