identifier	lipid	PubChem.CID	Chemical.Name	INCHIKEY
4.26_927.78_4.25_906.85	TG 54:1 	16058371	1,2-dioctadecanoyl-3-(9Z-octadecenoyl)-sn-glycerol	YFFIQXNTTVSKJC-NZEOUKRFSA-N
4.12_925.77_4.12_904.84	TG 54:2 	56938183	1-tetradecanoyl-2-(9Z,12Z-octadecadienoyl)-3-docosanoyl-sn-glycerol	WUUWGORPQFKFQN-XDVOZUNOSA-N
3.99_902.82	TG 54:3|TG 18:0_18:1_18:2	3531156	octadecanoic acid [3-(1-oxooctadeca-9,12-dienoxy)-2-(1-oxooctadec-9-enoxy)propyl] ester	CNGSOZKJBWHOEG-UHFFFAOYSA-N
3.86_921.74_3.88_900.81	TG 54:4 	9544255	1-octadecanoyl-2-(9Z-octadecenoyl)-3-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol	BRLGHZXETDWABO-NOFIOOQLSA-N
3.72_919.71	TG 54:5 Isomer A 	9544294	TG(18:1(9Z)/18:1(9Z)/18:3(9Z,12Z,15Z))[iso3]	OEJXMJPFOHYSIU-GRLFFVHSSA-N
3.71_898.78	TG 54:5|TG 18:1_18:2_18:2	4123012	9-octadecenoic acid 2,3-bis(1-oxooctadeca-9,12-dienoxy)propyl ester	VVEBTVMJPTZDHO-UHFFFAOYSA-N
3.59_917.71_3.59_896.78	TG 54:6 Isomer A 	5322095	Trilinolein	HBOQXIRUPVQLKX-BBWANDEASA-N
3.63_917.70_3.69_896.77	TG 54:6 Isomer C 	5322095	Trilinolein	HBOQXIRUPVQLKX-BBWANDEASA-N
3.64_908.78	TG 55:7 	131754375	1-Pentadecanoyl-2-vaccenoyl-3-docosahexaenoyl-glycerol	RBBGBIMRJNLGIC-AOEVTFCNSA-N
4.25_934.88	TG 56:1 	9544345	1-octadecanoyl-2-(9Z-octadecenoyl)-3-eicosanoyl-sn-glycerol	OCYFAHIHWCVZKS-FHSLLVMSSA-N
4.12_932.86	TG 56:2 Isomer A 	9544390	1-octadecanoyl-2-(9Z,12Z-octadecadienoyl)-3-eicosanoyl-sn-glycerol	PDEQUPGHMOMBFC-FYEHETCMSA-N
4.24_932.87	TG 56:2 Isomer B 	9544390	1-octadecanoyl-2-(9Z,12Z-octadecadienoyl)-3-eicosanoyl-sn-glycerol	PDEQUPGHMOMBFC-FYEHETCMSA-N
4.12_930.86	TG 56:3|TG 18:1_18:1_20:1	85034703	2,3-Di(octadec-9-enoyloxy)propyl icos-11-enoate	QXMHHXQBBKDSSL-UHFFFAOYSA-N
3.82_926.82	TG 56:5 Isomer A 	25240380	1,2-di-(9Z,12Z-octadecadienoyl)-3-(11Z-eicosenoyl)-sn-glycerol	UHEJWASONFIROS-YPSHDQQVSA-N
3.78_924.80	TG 56:6 	9544625	TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:2(11Z,14Z))[iso3]	ZTNDRFCABXFVMY-WJTCTALZSA-N
3.71_943.71	TG 56:7 Isomer B 	9544695	1,2-di-(9Z,12Z-octadecadienoyl)-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol	DODZUDCYRVWEOJ-GKZBLMSTSA-N
4.24_960.89	TG 58:2 	56938341	1-tetradecanoyl-2-docosanoyl-3-(13Z,16Z-docosadienoyl)-sn-glycerol	NFQQJRGJJVQGAV-MEADVOAOSA-N
4.24_958.88	TG 58:3|TG 18:1_20:1_20:1	85034984	(2-Icos-11-enoyloxy-3-octadec-9-enoyloxypropyl) icos-11-enoate	RFMSTHTUAZETPD-UHFFFAOYSA-N
4.12_956.87	TG 58:4 	9544835	1-octadecanoyl-2-eicosanoyl-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol	CCKRHDUCFMOBKX-AAINFQTBSA-N
