Lipid,identifier,lipid,Ion.species,INCHIKEY
69,2.75_675.50,DG 39:7,[M+Na]+,NUGBPQVTGLIHPK-UHFFFAOYSA-N
76,2.12_805.58,DG 49:12,[M+Na]+,FNGPVMXXYRLRFP-UHFFFAOYSA-N
165,1.39_622.45,PC 24:0 ,[M+H]+,IJFVSSZAOYLHEE-UHFFFAOYSA-N
166,1.44_680.45,PC 24:0|PC 10:0_14:0,[M+CH3COO]-,BQAGEKPOHNCEPX-UHFFFAOYSA-N
167,1.58_650.48,PC 26:0|PC 10:0_16:0,[M+H]+,VBWSYJOSSOZQOH-UHFFFAOYSA-N
168,1.46_648.46,PC 26:1,[M+H]+,JCBOOWOAEHBYJL-UHFFFAOYSA-N
170,1.63_676.49,PC 28:1,[M+H]+,ZLWBMGNHUKXHDG-UHFFFAOYSA-N
282,2.25_866.58,PC 41:8,[M+Na]+,PYHBTZGICKBYDS-UHFFFAOYSA-N
306,2.00_678.54,PC O-29:0,[M+H]+,ZQGOFPZFTPJOJU-UHFFFAOYSA-N
410,1.76_762.52,PE 38:7|PE 18:2_20:5 Isomer A,[M+H]+,AJTJVNKPLZTLHV-UHFFFAOYSA-N
518,1.79_701.56,SM d34:2 ,[M+H]+,YLWSJLLZUHSIEA-CKSUKHGVSA-N
609,2.75_654.56,TG 8:0_10:0_18:1 ,[M+NH4]+,WRHBANXXQKCUJB-HNENSFHCSA-N
