Lipid,identifier,lipid,Ion.species,INCHIKEY
25,2.95_594.58,Cer 18:0;2O_20:0 ,[M-H]-,ZWAUSWHRQBSECP-UHFFFAOYSA-N
26,2.98_644.60,Cer 18:2;2O/24:1 ,[M-H]-,RYZWCKUTHDRXFD-UHFFFAOYSA-N
31,2.75_638.57,Cer 37:1;O2|Cer 14:1;O2/23:0,[M+CH3COO]-,MUFDRQVIUBTJRW-UHFFFAOYSA-N
45,2.50_550.52,Cer d35:1 ,[M-H]-,KGEXFGDEDXQZLQ-QKSCFGQVSA-N
46,2.46_566.55_2.46_548.54,Cer d36:1 Isomer A,[M+H]+_[M+H-H2O]+,
47,2.63_600.51_2.63_624.56_2.63_564.54,Cer d36:1 Isomer B,[M+Cl]-_[M+Hac-H]-_[M-H]-,MJQIARGPQMNBGT-WWUCIAQXSA-N
48,2.37_562.52,Cer d36:2 ,[M-H]-,WNPWDGNHTKGEDS-UHFFFAOYSA-N
49,2.75_578.55,Cer d37:1 ,[M-H]-,CZKJGFHQZINDHS-RQDJVNCUSA-N
50,2.87_628.54_2.87_652.59,Cer d38:1 ,[M+Cl]-_[M+Hac-H]-,XWBWIAOWSABHFI-NUKVNZTCSA-N
51,2.62_590.55,Cer d38:2 ,[M-H]-,NBSDZPNNDCXPFZ-UHFFFAOYSA-N
52,2.99_642.56_2.99_666.60_2.99_606.58,Cer d39:1 ,[M+Cl]-_[M+Hac-H]-_[M-H]-,WYSRACVJQVNCRW-PQPBPFPMSA-N
53,2.73_604.57,Cer d39:2 ,[M-H]-,ZYPUFXIUMBJDCM-VNFREKOVSA-N
54,3.11_656.58_3.11_620.60,Cer d40:1 ,[M+Cl]-_[M-H]-,KEPQASGDXIEOIL-GLQCRSEXSA-N
55,2.86_654.56_2.86_678.60_2.86_618.58,Cer d40:2 ,[M+Cl]-_[M+Hac-H]-_[M-H]-,HILTUFAERVOALR-MQXYEJFFSA-N
56,3.21_670.59_3.10_680.62,Cer d41:1 ,[M+Cl]-_[M+FA-H]-,NAJHAHQNQCNWOP-PUYNVXOJSA-N
57,2.96_692.62_2.97_632.60,Cer d41:2 ,[M+Hac-H]-_[M-H]-,KZTBXGOBTULOIO-SZHIUZGGSA-N
58,3.09_682.59_3.09_646.61_3.09_706.64,Cer d42:2 ,[M+Cl]- _[M-H]-_[M+Hac-H]- ,VJSBNBBOSZJDKB-KPEYJIHVSA-N
59,2.88_704.62,Cer d42:3 ,[M+Hac-H]-,KADBCXSPXAVXJL-UHFFFAOYSA-N
61,2.69_566.55,Cer-NDS d36:0 ,[M-H]-,KZTJQXAANJHSCE-UHFFFAOYSA-N
65,2.65_633.49,DG 34:1 ,[M+K]+,YEJYLHKQOBOSCP-OZKTZCCCSA-N
66,2.24_632.52,DG 36:5 ,[M+NH4]+,PGXBELQFNRPKBC-WBVIKXMWSA-N
67,2.48_681.49_2.47_665.51_2.48_660.56,DG 38:5 ,[M+K]+_[M+Na]+_[M+NH4]+,GRGDLDNREYVILP-CNWVQWJYSA-N
68,2.26_679.47_2.25_658.54,DG 38:6 ,[M+K]+_[M+NH4]+,YDVDXUYJFQLPEG-CTHJWPIASA-N
75,2.25_809.60,DG 49:10,[M+Na]+,GVCJAFRWLSOWEX-UHFFFAOYSA-N
98,1.58_425.36,FAHFA 26:0 ,[M-H]-,OBPRTZBYYWWRGJ-UHFFFAOYSA-N
101,1.90_884.61,Gal-Gal-Cer d18:1/16:0 or Lactosylceramide d18:1/16:0 ,[M+Na]+,HLIJNIKSBCIDGO-QKLMXXKVSA-N or HLIJNIKSBCIDGO-NLXPYQMASA-N
103,1.97_884.62,GlcCer d34:1 ,[M+Na]+,
105,2.91_818.63,GlcCer d40:1 ,[M+Cl]- ,YIGARKIIFOHVPF-YAEABVQUSA-N
106,3.14_846.66,GlcCer d42:1 ,[M+Cl]- ,POQRWMRXUOPCLD-AAAFHMTMSA-N
114,2.01_736.49,LNAPE 16:1/N-20:4 ,[M-H]-,QLNURYCOAWSXLQ-UHFFFAOYSA-N
116,2.40_770.57,LNAPE 18:2/N-20:0 ,[M-H]-,LMJRVTNHOFDJIG-UHFFFAOYSA-N
130,2.09_840.59,LPC 40:7 ,[M+Na]+,YSTGSPYMRHRHHQ-QAYSHOGESA-N
131,0.77_540.37,LPC O-16:0 ,[M+Hac-H]-,VLBPIWYTPAXCFJ-UHFFFAOYSA-N
132,1.15_568.40,LPC O-18:0 ,[M+Hac-H]-,XKBJVQHMEXMFDZ-UHFFFAOYSA-N
140,1.15_464.31,LPE O-18:1 ,[M-H]-,CDONWGCJDDHTLP-KTKRTIGZNA-N
141,0.80_462.29,LPE O-18:2 ,[M-H]-,DBVHWKABURKXNY-UHFFFAOYSA-N
142,1.16_494.36,LPE O-20:0 ,[M-H]-,PKPGKYPSMJMPGS-UHFFFAOYNA-N
143,1.95_790.54,LPE-N (FA)40:6|LPE-N (FA 20:3)20:3,[M-H]-,MDKQSWPYVYXVKC-UHFFFAOYSA-N
145,1.95_821.53,MGDG 16:0_20:5 ,[M+FA-H]-,GIEIKQLTPYMKIQ-LPNQNMOLSA-N
146,2.01_797.53,MGDG 34:3 ,[M+FA-H]-,NAUNPPRXNUXMCK-UHFFFAOYSA-N
147,2.69_576.57,N-(eicosanoyl)sphingosine ,[M-H2O+H]+,XWBWIAOWSABHFI-UHFFFAOYSA-N
