Lipid,identifier,lipid,Ion.species,INCHIKEY
119,0.44_552.33,LPC 16:1 ,[M+Hac-H]-,LFUDDCMNKWEORN-UHFFFAOYSA-N
121,0.64_522.35,LPC 18:1 ,[M+H]+,YAMUFBLWGFFICM-PTGWMXDISA-N
122,0.48_578.34,LPC 18:2 ,[M+Hac-H]-,SPJFYYJXNPEZDW-FTJOPAKQSA-N
124,1.01_608.39,LPC 20:1 ,[M+Hac-H]-,GJTDRNFWIDPARY-GTPZACKGSA-N
125,0.76_606.38,LPC 20:2 ,[M+Hac-H]-,YYQVCMMXPIJVHY-ZOIJLGJPSA-N
126,0.46_602.35,LPC 20:4 ,[M+Hac-H]-,GOMVPVRDBLLHQC-UHFFFAOYSA-N
127,0.37_542.33,LPC 20:5 ,[M+H]+,PDIGSOAOQOXRDU-WJPZTBRDSA-N
128,0.45_568.34,LPC 22:6 ,[M+H]+,LSOWKZULVQWMLY-APPDJCNMSA-N
137,0.48_500.28,LPE 20:4 ,[M-H]-,JPNPIRVRGLGTRE-YSKCIPFOSA-N
138,0.38_500.28,LPE 20:5,[M+H]+,KCWGBXXAJHVZNN-UHFFFAOYSA-N
139,0.46_524.28,LPE 22:6 ,[M-H]- ,XEVRBOQZSXWGQO-PAUXXPOVSA-N
