Lipid,identifier,lipid,Ion.species,INCHIKEY
148,0.19_132.10,NAE 4:0,[M+H]+,ZWHVMTQUUANYQJ-UHFFFAOYSA-N
151,1.80_704.52,PC 14:0_16:1 ,[M+H]+,XGGMHQYOVYWRLV-IZNHTBNISA-N
156,1.67_752.52,PC 16:1/18:4 ,[M+H]+,ZNSRWHZSOOOECB-IHLJWWGMSA-N
176,2.02_732.56_1.97_754.54,PC 32:1 Isomer A,[M+H]+_[M+Na]+,QIBZFHLFHCIUOT-NPBIGWJUSA-N
177,2.13_790.56,PC 32:1 Isomer B,[M+Hac-H]-,QIBZFHLFHCIUOT-ZPHPHTNESA-N
178,1.83_730.54,PC 32:2 Isomer A,[M+H]+,GPWHCUUIQMGELX-VHQDNGOZSA-N
179,1.93_788.54,PC 32:2 Isomer B,[M+Hac-H]- ,GPWHCUUIQMGELX-VHQDNGOZSA-N
196,1.80_754.54,PC 34:4 Isomer A,[M+H]+,YWDDIWXKFJEMKF-JTZVLWBESA-N
197,1.90_812.54,PC 34:4 Isomer B ,[M+Hac-H]-,YWDDIWXKFJEMKF-JTZVLWBESA-N
223,1.81_780.55,PC 36:5 Isomer C ,[M+H]+,SUZYROYNFNQALJ-MHEIZRSESA-N
225,1.74_778.54_1.77_800.52,PC 36:6 ,[M+H]+_[M+Na]+,SPWBDEZMKCRQSX-NGPPOSSDSA-N
