Lipid,identifier,lipid,Ion.species,INCHIKEY
33,3.57_818.74,Cer 53:5;O2|Cer 15:2;O2/38:3,[M+Na]+,NSBGFVGWFKORGC-UHFFFAOYSA-N
34,3.53_842.73,Cer 55:7;O2|Cer 21:3;O2/34:4,[M+Na]+,HXQCQMPSJSSRPW-UHFFFAOYSA-N
35,3.99_876.80,Cer 57:4;O2|Cer 19:1;O2/38:3,[M+Na]+,METNUMDFDOKGMW-UHFFFAOYSA-N
36,3.86_854.73,Cer 58:11;2O ,[M+H]+,GXTRSPPHWHQFMZ-NPNMLZSOSA-N
38,4.20_918.86,Cer 60:4;O2|Cer 22:1;O2/38:3,[M+Na]+,BCSGFNUBPYCZEJ-UHFFFAOYSA-N
502,3.55_813.64,SM 41:3;3O ,[M+H]+,NVRRDYIOAREJKE-SLOFWGFHSA-N
536,3.77_808.75,TG 14:0_16:0_17:1 ,[M+NH4]+,PGYNJJCWPCAGLG-BDUYNUQCSA-N
537,4.12_906.85,TG 16:0_18:1_20:0 ,[M+NH4]+,YWKYRFUPKVVPAH-UHFFFAOYSA-N
539,4.36_962.90,TG 18:0_18:1_22:0 ,[M+NH4]+,HFCKOGWQFCDRLW-UHFFFAOYSA-N
540,3.46_938.82,TG 19:2_19:2_19:2 ,[M+NH4]+,OWYSBHPRWHZONR-MOKVCOEPSA-N
542,3.69_768.71,TG 44:0 ,[M+NH4]+,UXWDTZNNQVHGSG-UHFFFAOYSA-N
543,3.85_796.75,TG 46:0 ,[M+NH4]+,JWVXCFSNEOMSHH-UHFFFAOYSA-N
544,3.70_794.71,TG 46:1 ,[M+NH4]+,RSDIQTNCDWUNDP-VHXPQNKSSA-N
545,3.58_792.71,TG 46:2 ,[M+NH4]+,XUEMVUXNOCIHLG-MOFPORNTSA-N
546,3.99_824.76,TG 48:0 ,[M+NH4]+,PVNIQBQSYATKKL-UHFFFAOYSA-N
547,3.85_843.70_3.85_827.71_3.85_822.77,TG 48:1 ,[M+K]+_[M+Na]+_[M+NH4]+,FEKLSEFRUGWUOS-DLOIZKPKSA-N
548,3.69_825.69_3.74_820.74,TG 48:2 ,[M+Na]+_[M+NH4]+,RUOVJPPUXXFZPC-YZEIBMOJSA-N
549,4.05_838.79,TG 49:0 ,[M+NH4]+,TTWJTJMWHOYBPQ-ANFMRNGASA-N
550,3.84_834.75,TG 49:2|TG 15:0_17:1_17:1,[M+NH4]+,GVAHTORNFUNLJZ-UHFFFAOYSA-N
551,3.82_834.74,TG 49:2|TG 16:0_16:1_17:1,[M+NH4]+,UNLQNCABWOVYJJ-UHFFFAOYSA-N
552,4.13_852.81,TG 50:0 ,[M+NH4]+,MARPCPMDFOPPJX-UHFFFAOYSA-N
553,3.99_850.78,TG 50:1 ,[M+NH4]+,YHMDGPZOSGBQRH-YYSBDVFPSA-N
554,3.86_853.74,TG 50:2,[M+Na]+,TWJCMQZMAPGUSG-UHFFFAOYSA-N
555,3.86_869.71,TG 50:2 ,[M+K]+,QEZWFCZNHWUARW-XQCAQTCHSA-N
556,3.71_867.68,TG 50:3 Isomer A ,[M+K]+,UFHNZOACKFBCOM-YXKNDSBASA-N
557,3.72_846.75,TG 50:3|TG 16:0_16:1_18:2,[M+NH4]+,HDFLQJUGWGNORO-UHFFFAOYSA-N
559,4.05_885.74_4.05_864.81,TG 51:1 Isomer B ,[M+K]+_[M+NH4]+,OZAXLAGNPZMZAD-BOEMPQCLSA-N
560,3.97_862.77,TG 51:2|TG 16:0_17:1_18:1,[M+NH4]+,QLIUVBJPQMDRHV-UHFFFAOYSA-N
561,3.79_860.78,TG 51:3 ,[M+NH4]+,ISSGPXMQOMAFMJ-DMGKHJLRSA-N
562,4.25_880.84,TG 52:0 ,[M+NH4]+,SDNYRTVJOFMYIW-OIVUAWODSA-N
