INCHIKEY,Chemical.Name,PubChem.CID,Lipid,identifier,lipid
CKPBBEOJHAPPBT-HXUWFJFHSA-N,LysoPE(0:0/16:0),53480922,133,0.66_452.28,LPE 16:0 
BBYWOYAFBUOUFP-UHFFFAOYNA-N,LPE 18:0,477551911,134,1.01_480.31,LPE 18:0 
PYVRVRFVLRNJLY-KTKRTIGZNA-N,LPE 18:1,477882298,135,0.71_478.29,LPE 18:1 
DBHKHNGBVGWQJE-USWSLJGRSA-N,1-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphoethanolamine,52925130,136,0.52_476.28,LPE 18:2 
XOAAWQZATWQOTB-UHFFFAOYSA-N,2-aminoethanesulfonic acid,1123,535,0.20_124.01,Taurine
