identifier	lipid	PubChem.CID	Chemical.Name	INCHIKEY
2.95_594.58	Cer 18:0;2O_20:0 	5239143	N-(1,3-dihydroxyoctadecan-2-yl)eicosanamide	ZWAUSWHRQBSECP-UHFFFAOYSA-N
2.50_550.52	Cer d35:1 	9985066	N-[(E,2S,3R)-1,3-dihydroxyheptadec-4-en-2-yl]octadecanamide	KGEXFGDEDXQZLQ-QKSCFGQVSA-N
2.63_600.51_2.63_624.56_2.63_564.54	Cer d36:1 Isomer B	6442676	N-(9Z-octadecenoyl)-sphinganine	MJQIARGPQMNBGT-WWUCIAQXSA-N
2.37_562.52	Cer d36:2 	25201955	N-(1,3-dihydroxyoctadeca-4,8-dien-2-yl)octadecanamide	WNPWDGNHTKGEDS-UHFFFAOYSA-N
2.75_578.55	Cer d37:1 	134725797	N-(eicosanoyl)-4E-heptadecasphingenine	CZKJGFHQZINDHS-RQDJVNCUSA-N
2.87_628.54_2.87_652.59	Cer d38:1 	5283566	N-icosanoylsphingosine	XWBWIAOWSABHFI-NUKVNZTCSA-N
2.62_590.55	Cer d38:2 	132994556	N-(1,3-dihydroxyoctadeca-4,8-dien-2-yl)icosanamide	NBSDZPNNDCXPFZ-UHFFFAOYSA-N
3.25_732.73	Cer d46:1 	145714838	N-(octacosanoyl)-4E-eicosasphingenine	CZDSGZAXVMEXFM-NJLCVJHMSA-N
2.69_566.55	Cer-NDS d36:0 	4255985	N-(1,3-dihydroxyoctadecan-2-yl)octadecanamide	KZTJQXAANJHSCE-UHFFFAOYSA-N
1.58_425.36	FAHFA 26:0 	88765616	2-Tetracosanoyloxyacetic acid	OBPRTZBYYWWRGJ-UHFFFAOYSA-N
2.09_840.59	LPC 40:7 	164493524	Lpc 40:7-SN1	YSTGSPYMRHRHHQ-QAYSHOGESA-N
0.77_540.37	LPC O-16:0 	3983	1-O-Hexadecyl-lyso-sn-glycero-3-phosphocholine	VLBPIWYTPAXCFJ-UHFFFAOYSA-N
1.15_568.40	LPC O-18:0 	3985	Lyso-PAF c-18	XKBJVQHMEXMFDZ-UHFFFAOYSA-N
1.01_480.31	LPE 18:0 	477551911	LPE 18:0	BBYWOYAFBUOUFP-UHFFFAOYNA-N
0.71_478.29	LPE 18:1 	477882298	LPE 18:1	PYVRVRFVLRNJLY-KTKRTIGZNA-N
1.15_464.31	LPE O-18:1 	477577455	LPE O-18:1	CDONWGCJDDHTLP-KTKRTIGZNA-N
1.16_494.36	LPE O-20:0 	477869257	LPE O-20:0	PKPGKYPSMJMPGS-UHFFFAOYNA-N
