identifier	lipid	PubChem.CID	Chemical.Name	INCHIKEY
0.19_129.06	4-METHYL-2-OXO-PENTANOIC ACID 	70	4-Methyl-2-oxopentanoic acid	BKAJNAXTPSGJCU-UHFFFAOYSA-N
0.30_344.28	CAR 12:0 	168381	(3R)-3-(1-oxododecoxy)-4-(trimethylammonio)butanoate	FUJLYHJROOYKRA-QGZVFWFLSA-N
0.54_386.33	CAR 15:0	123132011	C15 Carnitine	MDDWQHVKSHTZTD-UHFFFAOYSA-N
0.67_400.34	CAR 16:0 	11953816	3-carboxy-N,N,N-trimethyl-2-[(1-oxohexadecyl)oxy]-1-Propanaminium	XOMRRQXKHMYMOC-OAQYLSRUSA-N
0.49_398.33	CAR 16:1	78076330	3-(1-oxohexadec-9-enoxy)-4-(trimethylammonio)butanoate	JFAGPSOZZSTLRF-UHFFFAOYSA-N
0.80_414.36	CAR 17:0	53477803	Heptadecanoyl carnitine	DWSFAVOTORHAAL-UHFFFAOYSA-N
0.99_428.37	CAR 18:0 Isomer A 	52922056	Stearoylcarnitine	FNPHNLNTJNMAEE-HSZRJFAPSA-N
0.72_426.36	CAR 18:1 	53477830	(4S)-4-[(11E)-octadec-11-enoyloxy]-4-(trimethylazaniumyl)butanoate	HITOYGLMAFIRNI-YSESTWPTSA-N
0.55_424.34	CAR 18:2 Isomer A 	6450015	O-linoleyl-L-carnitine	MJLXQSQYKZWZCB-DQFWFXSYSA-N
1.03_454.39	CAR 20:1 	71464507	(11Z)-eicoseneoylcarnitine	PVOQPLSKYNZHOT-SEYXRHQNSA-N
3.44_863.70	CoQ10	1156	Ubisemiquinone	ACTIUHUUMQJHFO-UHFFFAOYSA-N
1.95_821.53	MGDG 16:0_20:5 	134732480	[(2S)-1-hexadecanoyloxy-3-[(2R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] (5E,8E,11E,14E,17E)-icosa-5,8,11,14,17-pentaenoate	GIEIKQLTPYMKIQ-LPNQNMOLSA-N
2.01_797.53	MGDG 34:3 	74382274	[1-Hexadecanoyloxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] octadeca-9,12,15-trienoate	NAUNPPRXNUXMCK-UHFFFAOYSA-N
2.06_840.53	PC 16:0_22:6 	74063529	(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-hexadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	IESVDEZGAHUQJU-UHFFFAOYSA-N
2.29_768.56	PE 38:4 	46891781	2-ammonioethyl [(2R)-2-[(5Z,8Z,11Z,14Z)-1-oxoeicosa-5,8,11,14-tetraenoxy]-3-(1-oxooctadecoxy)propyl] phosphate	ANRKEHNWXKCXDB-BHFWLYLHSA-N
2.42_766.54	PE 38:4|PE 18:0_20:4	76042065	[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadecanoyloxypropan-2-yl] icosa-8,11,14,17-tetraenoate	YEHAZLUVAZKVRO-UHFFFAOYSA-N
2.26_764.52	PE 38:5 	138318539	[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoyl]oxypropan-2-yl] (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate	ZYMZKMQPPJPQHY-HAGCXRLMSA-N
1.67_782.48	PE 40:10|PE 20:5_20:5	75957671	[3-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-2-icosa-5,8,11,14,17-pentaenoyloxypropyl] icosa-5,8,11,14,17-pentaenoate	IHTIZXOEIOXSDI-UHFFFAOYSA-N
2.03_773.53	PG 36:2 	75959369	[1-[2,3-Dihydroxypropoxy(hydroxy)phosphoryl]oxy-3-hexadecanoyloxypropan-2-yl] icosa-11,14-dienoate	KDFIYBDWNQKADP-UHFFFAOYSA-N
1.87_852.56	PI 34:2 	138160318	[1-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octanoyloxypropan-2-yl] (15Z,18Z)-hexacosa-15,18-dienoate	GIASXRZRWQSUOZ-QGLGPCELSA-N
