lipid	identifier	PubChem.CID	Chemical.Name	INCHIKEY
PC 33:1 Isomer A	2.12_746.57_2.08_768.55	52922442	1-(9Z-hexadecenoyl)-2-heptadecanoyl-glycero-3-phosphocholine	OFRWLQSOUIZELQ-VEAYGOGPSA-N
Cer d38:2 	2.62_590.55	132994556	N-(1,3-dihydroxyoctadeca-4,8-dien-2-yl)icosanamide	NBSDZPNNDCXPFZ-UHFFFAOYSA-N
PEtOH 16:1_16:1 	1.82_671.47	138126591	PEtOH 16:1_16:1	BHQKOVPFLAAQTH-IQRFGFHNSA-N
PC 40:6 Isomer A 	2.08_834.60_2.08_856.58	52923579	PC(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))	KZSXWBSDQDXESU-PPEVQBTRSA-N
PC 42:7 	2.17_860.62	52923595	PC(22:2(13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))	LQGLSURTFNDIMU-JXUGAEHWSA-N
PC 36:3 Isomer AB	2.19_842.59	53478785	PC(18:2(9Z,12Z)/18:1(11Z))	YPAZQMWFRMHBBM-CLKMJQEKSA-N
DG 38:5 	2.48_681.49_2.47_665.51_2.48_660.56	9543784	DG(18:3(9Z,12Z,15Z)/20:2(11Z,14Z)/0:0)	GRGDLDNREYVILP-CNWVQWJYSA-N
PC 34:1 Isomer B	2.38_818.59	6436017	1-Palmitoyl-2-oleoylphosphatidylcholine	WTJKGGKOPKCXLL-MRCUWXFGSA-N
PC 34:1 Isomer A	2.24_760.59_2.24_782.57	5497103	1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL-VYOBOKEXSA-N
SM d36:1 Isomer A	2.23_731.61	6453725	Sphingomyelin (D18:1/18:0)	LKQLRGMMMAHREN-YJFXYUILSA-N
PEtOH 16:0_18:1 	2.16_701.51	56640029	PEtOH 16:0_18:1	JCABVIFDXFFRMT-VXPUYCOJSA-N
PC 35:3 	1.97_770.57	52924614	PE(20:3(8Z,11Z,14Z)/18:0)	AYXGHIQPMDYMJC-AHMBLZLYSA-N
PC 33:0 	2.29_748.59_2.28_770.57	52922645	1-Octadecanoyl-2-pentadecanoyl-glycero-3-phosphocholine	FHENRYRLCPXONH-LDLOPFEMSA-N
PC P-32:1 or PC O-32:2 	1.97_716.56	52923882	1-(1-Enyl-palmitoyl)-2-palmitoleoyl-sn-glycero-3-phosphocholine	FZMYLOBGNYZPQO-QLSONYGBSA-N
LPC 20:0 	1.36_610.41	24779474	[2-hydroxy-3-(1-oxoeicosoxy)propyl] 2-(trimethylammonio)ethyl phosphate	UATOAILWGVYRQS-UHFFFAOYSA-N
PC 38:6 Isomer C 	2.06_806.57	52923295	PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))	PLZBTDKJYHXIEW-DZUXOTHRSA-N
SM d38:2 Isomer B	2.33_815.63	52931179	N-(11Z-eicosenoyl)-sphing-4-enine-1-phosphocholine	MDRFMTLYKHBJTF-NQYLGBTJSA-N
TG 56:5 Isomer A 	3.82_926.82	25240380	1,2-di-(9Z,12Z-octadecadienoyl)-3-(11Z-eicosenoyl)-sn-glycerol	UHEJWASONFIROS-YPSHDQQVSA-N
Cer d36:1 Isomer B	2.63_600.51_2.63_624.56_2.63_564.54	6442676	N-(9Z-octadecenoyl)-sphinganine	MJQIARGPQMNBGT-WWUCIAQXSA-N
TG 56:2 Isomer A 	4.12_932.86	9544390	1-octadecanoyl-2-(9Z,12Z-octadecadienoyl)-3-eicosanoyl-sn-glycerol	PDEQUPGHMOMBFC-FYEHETCMSA-N
LPE 18:0 	1.01_480.31	477551911	LPE 18:0	BBYWOYAFBUOUFP-UHFFFAOYNA-N
TG 50:2 	3.86_869.71	9544010	Tracylglycerol(18:0/16:1/16:1)	QEZWFCZNHWUARW-XQCAQTCHSA-N
PC P-40:6 or PC O-40:7 Isomer B 	2.26_818.61	53479425	PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)	FMBYBTSZVHUJMV-DIVFMYBRSA-N
PC 39:5 Isomer B	2.13_822.60	138201638	[2-[(14Z,17Z,20Z,23Z)-hexacosa-14,17,20,23-tetraenoyl]oxy-3-[(Z)-tridec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	LGGLGFSWJITMHS-MJJBRJPASA-N
PG 44:12 	1.55_865.50	134777753	Phosphatidylglyceride 22:6-22:6	XACKZSRNTPEYBU-GZSOIYOPSA-N
PC P-38:5 or PC O-38:6 Isomer A 	2.08_792.59	53480695	PC(P-16:0/22:5(4Z,7Z,10Z,13Z,16Z))	FAKYQMLQEAQOLK-LHZZQLRFSA-N
TG 56:3|TG 18:1_18:1_20:1	4.12_930.86	85034703	2,3-Di(octadec-9-enoyloxy)propyl icos-11-enoate	QXMHHXQBBKDSSL-UHFFFAOYSA-N
CAR 18:2 Isomer A 	0.55_424.34	6450015	O-linoleyl-L-carnitine	MJLXQSQYKZWZCB-DQFWFXSYSA-N
GlcCer d42:2 	2.88_844.64	6321360	N-(15Z-tetracosenoyl)-1-beta-glucosyl-sphing-4-enine	WBOZIXHPUPAOIA-RBELZSLISA-N
PS 36:1 	2.21_788.54	72367181	2-Amino-3-[hydroxy-(3-octadecanoyloxy-2-octadec-9-enoyloxypropoxy)phosphoryl]oxypropanoic acid	AJFWREUFUPEYII-UHFFFAOYSA-N
LPE O-18:1 	1.15_464.31	477577455	LPE O-18:1	CDONWGCJDDHTLP-KTKRTIGZNA-N
TG 58:2 	4.24_960.89	56938341	1-tetradecanoyl-2-docosanoyl-3-(13Z,16Z-docosadienoyl)-sn-glycerol	NFQQJRGJJVQGAV-MEADVOAOSA-N
PC P-36:3 or PC O-36:4 	2.28_826.60	53481701	PC(o-16:0/20:4(8Z,11Z,14Z,17Z))	SOUZQPFUXRVDGK-KCTKZSJBSA-N
PE O-18:1_22:6 	2.45_774.54	138181306	[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoxy]propan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate	IVBLZGVNSKPGOR-XAJDCCMMSA-N
PC 18:0_22:6 	2.29_868.56_2.29_892.61	133026175	(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-octadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	FAUYAENFVCNTAL-UHFFFAOYSA-N
FA 22:2 (docosadienoic acid) 	1.41_335.30	5282807	13,16-Docosadienoic acid	HVGRZDASOHMCSK-AVQMFFATSA-N
PC 37:2 Isomer A	2.36_800.62	52922735	1-(9Z,12Z-octadecadienoyl)-2-nonadecanoyl-glycero-3-phosphocholine	MCZUABDVGPPWPM-HJTCUGKVSA-N
PC 38:6 Isomer A 	1.88_806.57_1.88_828.55	52923295	PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))	PLZBTDKJYHXIEW-DZUXOTHRSA-N
LPE 18:2 	0.52_476.28	52925130	1-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphoethanolamine	DBHKHNGBVGWQJE-USWSLJGRSA-N
PI 34:1 Isomer A 	1.91_835.53	5771758	1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol)	PDLAMJKMOKWLAJ-AGORXRROSA-N
TG 56:2 Isomer B 	4.24_932.87	9544390	1-octadecanoyl-2-(9Z,12Z-octadecadienoyl)-3-eicosanoyl-sn-glycerol	PDEQUPGHMOMBFC-FYEHETCMSA-N
PC 40:7 Isomer A 	1.91_832.59	24778982	PC(18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))	BPUROMFCPFGBOT-ZEGPSQTJSA-N
SM d40:2 Isomer B 	2.58_843.66	52931203	N-(13Z-docosenoyl)-sphing-4-enine-1-phosphocholine	VBFKEZGCUWHGSK-ADSSWVSQSA-N
TG 54:0 	4.25_908.86	131756478	1-Arachidonyl-2-myristoyl-3-arachidonyl-glycerol	KKBWDSMULWDHME-UHFFFAOYSA-N
SM d39:2 	2.47_829.64	52931187	N-(heneicosanoyl)-4E,14Z-sphingadienine-1-phosphocholine	SDUGEKJCGFHJRC-IYXZHQORSA-N
TG 50:0 	4.13_852.81	545588	TG(18:0/14:0/18:0)[iso3]	MARPCPMDFOPPJX-UHFFFAOYSA-N
8,15-DiHETE 	0.27_335.22	5283183	8S,15S-dihydroxy-5Z,9E,11Z,13E-eicosatetraenoic acid	NNPWRKSGORGTIM-HCCKYKKOSA-N
PE P-38:4 or PE O-38:5 Isomer A	2.39_752.56	53480855	PE(P-18:0/20:4(8Z,11Z,14Z,17Z))	ZTZQZGHJLWFLFQ-VZBWJDOASA-N
LPC 16:0 	0.64_554.35	460602	1-16:0-2-lysophosphatidylcholine	ASWBNKHCZGQVJV-HSZRJFAPSA-N
