lipid	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	p.adj	comparison	module
PC O-36:1 	0.340300200117355	13.0955989598954	12.755298759778	3.01107329989099	0.00437110477888155	42.458733824207	0.112297164608243	0.568303235626466	Welch Two Sample t-test	two.sided	0.0207609581474589	13v5	module3
PC P-34:0 or PC O-34:1 	0.262824342507839	10.0300751561275	9.76725081361963	3.24379906156862	0.00217146610816573	47.1092138819531	0.0998358180470075	0.425812866968671	Welch Two Sample t-test	two.sided	0.0154716960206808	13v5	module3
PC P-34:1 or PC O-34:2	0.215804846096015	9.38460953060447	9.16880468450846	2.81339843521707	0.00694610743311258	50.9828553277057	0.061809649886764	0.369800042305266	Welch Two Sample t-test	two.sided	0.0263461977586544	13v5	module3
PC P-36:1 or PC O-36:2 	0.210944146383204	7.41880973333456	7.20786558695136	2.60518617690952	0.0120256575721433	50.6246766746209	0.0483591100026656	0.373529182763742	Welch Two Sample t-test	two.sided	0.0373888626333909	13v5	module3
PC-O 16:0_18:1 	0.324294860026592	13.0635279613586	12.739233101332	2.81149552068087	0.00708728126840995	48.6704146138685	0.0924586142533642	0.55613110579982	Welch Two Sample t-test	two.sided	0.0263461977586544	13v5	module3
PE 34:0 	0.322333440058205	7.01460889755918	6.69227545750098	3.55627641092969	0.0009156069566681	43.9115433612175	0.139654353515188	0.505012526601223	Welch Two Sample t-test	two.sided	0.00993972455409141	13v5	module3
PE 34:1 	0.533221891396684	9.2353038253224	8.70208193392572	4.93936445442145	9.22445476961988e-06	49.8202661025903	0.31637143621105	0.750072346582318	Welch Two Sample t-test	two.sided	0.0007886908828025	13v5	module3
PE 36:1 	0.373178323506119	8.33664029377297	7.96346197026685	4.32596001964087	7.83438826719249e-05	47.1351534047519	0.199648949848087	0.546707697164151	Welch Two Sample t-test	two.sided	0.00223280065614986	13v5	module3
PE O-16:1_18:1 	0.331780739922229	12.2779665411447	11.9461858012225	3.51163736072541	0.000988159750991544	47.4623970593287	0.141759653262239	0.521801826582218	Welch Two Sample t-test	two.sided	0.00993972455409141	13v5	module3
PE O-16:1_18:2 	0.28116541704957	7.39342339441478	7.11225797736521	3.15315970213296	0.00273644808023173	49.7752236351286	0.102043327470176	0.460287506628963	Welch Two Sample t-test	two.sided	0.0155977540573209	13v5	module3
PE O-36:1 	0.20745503186217	7.58279355907513	7.37533852721296	3.57090189345943	0.000889628960228418	43.1007620380449	0.0903012500605777	0.324608813663763	Welch Two Sample t-test	two.sided	0.00993972455409141	13v5	module3
PE P-34:1 or PE O-34:2 	0.34668380370568	8.79016662189092	8.44348281818524	3.07787540031318	0.00336382385211236	50.5537542948537	0.120506364202265	0.572861243209096	Welch Two Sample t-test	two.sided	0.0185552864100391	13v5	module3
PE P-36:1 or PE O-36:2	0.38387197495636	8.36772583920983	7.98385386425347	3.90799318844652	0.000277790051563146	50.4879513702565	0.18662368738372	0.581120262529	Welch Two Sample t-test	two.sided	0.00527801097969978	13v5	module3
Phosphatidylethanolamine alkenyl 18:0-18:2 	0.247609009583257	7.70964909460058	7.46204008501733	3.06054370384247	0.00351924222571753	50.9924728916507	0.0851876692147444	0.410030349951769	Welch Two Sample t-test	two.sided	0.018805950643678	13v5	module3
Cer d34:0 	-0.769855113322368	9.44254228157279	10.2123973948952	-4.36831818559175	0.000261066967903171	21.326820315712	-1.13601634672908	-0.403693879915654	Welch Two Sample t-test	two.sided	0.000666653150181312	13v30	module3
FAHFA 46:0 	-0.254220392651508	7.91045687083496	8.16467726348647	-2.66011010601615	0.0167807621205992	16.5163898329845	-0.456301119294787	-0.0521396660082289	Welch Two Sample t-test	two.sided	0.0203360083325905	13v30	module3
PC 19:1 	-1.02447947058695	12.2822295210539	13.3067089916408	-5.16727157423752	5.89101944972101e-05	18.5575140332659	-1.44011969249122	-0.608839248682685	Welch Two Sample t-test	two.sided	0.000240690223231458	13v30	module3
PC O-18:0_16:0 	-0.76350870059046	6.90616965520308	7.66967835579355	-5.64243629787398	1.45041158630837e-05	20.5410782753966	-1.04529585283881	-0.481721548342106	Welch Two Sample t-test	two.sided	7.57864059445755e-05	13v30	module3
PC O-34:0 Isomer A	-0.423284669748645	13.630159679041	14.0534443487896	-2.32153861636095	0.0318472864334551	18.5041808201735	-0.805597695110244	-0.0409716443870456	Welch Two Sample t-test	two.sided	0.0364332956798726	13v30	module3
PC O-34:0 Isomer B	-0.984170091887803	10.9895770330298	11.9737471249176	-5.97998052981535	4.48477671640973e-06	22.7076304027804	-1.32486725545366	-0.643472928321942	Welch Two Sample t-test	two.sided	3.77248864968583e-05	13v30	module3
PC O-34:1|PC O-16:0_18:1	-0.389436797104556	15.6444995157968	16.0339363129013	-2.20752888931917	0.039946863724182	18.7485228171101	-0.759008947044156	-0.0198646471649566	Welch Two Sample t-test	two.sided	0.0439415500966002	13v30	module3
PC O-36:1 	-0.851222753989552	13.0955989598954	13.9468217138849	-3.91440916340151	0.00105996104117589	17.5416693423934	-1.30894390043193	-0.393501607547172	Welch Two Sample t-test	two.sided	0.00202099238517535	13v30	module3
PC P-34:0 or PC O-34:1 	-0.370936210170195	10.0300751561275	10.4010113662977	-2.29608040503695	0.0338316105555197	18.0901258675309	-0.710223045121392	-0.0316493752189968	Welch Two Sample t-test	two.sided	0.0383961929320581	13v30	module3
PC P-34:1 or PC O-34:2	-0.406916634067288	9.38460953060447	9.79152616467176	-2.59547107974366	0.0176797462735531	19.1579159530634	-0.734876904376601	-0.0789563637579757	Welch Two Sample t-test	two.sided	0.0210683643093174	13v30	module3
PC P-36:1 or PC O-36:2	-0.903909545108055	13.7819014099254	14.6858109550334	-4.31699391897418	0.000387750744201318	18.6093663751523	-1.34277880569063	-0.465040284525484	Welch Two Sample t-test	two.sided	0.000894328329367555	13v30	module3
PC P-36:1 or PC O-36:2 	-0.310063833316773	7.41880973333456	7.72887356665134	-2.20772961310232	0.0380554609850731	21.874551928358	-0.601425106994383	-0.018702559639164	Welch Two Sample t-test	two.sided	0.0421855110144608	13v30	module3
PC P-36:2 or PC O-36:3 	-1.05892812554431	12.4598759119399	13.5188040374842	-4.59080327655698	0.000125626606735088	23.2834161190271	-1.53576955983315	-0.582086691255481	Welch Two Sample t-test	two.sided	0.000427728684836132	13v30	module3
PE 36:1 	-0.319049256339571	8.33664029377297	8.65568955011254	-2.22677134704987	0.0378094258262025	19.6841805934513	-0.618231425402867	-0.0198670872762762	Welch Two Sample t-test	two.sided	0.0421855110144608	13v30	module3
PE O-16:1_18:1 	-0.877733896462223	12.2779665411447	13.1557004376069	-4.98853773036308	8.55937902690124e-05	18.6803262494221	-1.24642877488691	-0.509039018037536	Welch Two Sample t-test	two.sided	0.000330808432661318	13v30	module3
PE P-34:1 or PE O-34:2 	-0.912652601031423	8.79016662189092	9.70281922292234	-4.47383136738147	0.000231980052468853	20.0216687960019	-1.33815542689826	-0.487149775164582	Welch Two Sample t-test	two.sided	0.000662825613297581	13v30	module3
PE P-36:1 or PE O-36:2	-0.948089492927666	8.36772583920983	9.31581533213749	-4.83586899959008	0.000115144310834433	18.9799998822076	-1.35846364713385	-0.537715338721484	Welch Two Sample t-test	two.sided	0.000411640911233097	13v30	module3
Phosphatidylethanolamine alkenyl 18:0-18:2 	-0.383156167508677	7.70964909460058	8.09280526210926	-2.25297469936101	0.0363214467651315	18.927491869511	-0.739202357647715	-0.0271099773696381	Welch Two Sample t-test	two.sided	0.0408973770662504	13v30	module3
SM d36:0 	-0.603131967541282	7.15791701570566	7.76104898324694	-5.65701814436963	1.26716566483295e-05	21.1183284887705	-0.824777677145037	-0.381486257937528	Welch Two Sample t-test	two.sided	6.96941115658125e-05	13v30	module3
SM d36:1 Isomer B	-0.272745785532612	9.53071157825711	9.80345736378972	-3.17527192327962	0.00361656444590274	28.0870419878387	-0.448672898713997	-0.0968186723512271	Welch Two Sample t-test	two.sided	0.00544388121856938	13v30	module3
SM d37:1 	-0.257754741785464	8.46170004638656	8.71945478817202	-2.47124478624566	0.02105689917535	23.6857518835414	-0.473173867194103	-0.0423356163768238	Welch Two Sample t-test	two.sided	0.0244807852201224	13v30	module3
SM d38:1 	-0.361304548429906	8.1384624305541	8.499766978984	-3.86213434761315	0.000678745893708978	25.7230981616826	-0.553701125367263	-0.16890797149255	Welch Two Sample t-test	two.sided	0.00142736268824094	13v30	module3
Cer d39:1 	0.821254675033879	9.08276930857888	8.261514633545	4.95516695468174	2.09525025579178e-05	33.0656677801147	0.48408558163654	1.15842376843122	Welch Two Sample t-test	two.sided	9.98735955260749e-05	13v30	module4
Cer d40:1 	0.884779580319933	8.64306626883061	7.75828668851068	6.13823880208763	3.98368328720163e-07	37.229868208691	0.592780487036446	1.17677867360342	Welch Two Sample t-test	two.sided	1.05834450031888e-05	13v30	module4
Cer d41:1 	0.647103613270946	8.49265873522689	7.84555512195594	5.70248675308549	1.40852325383227e-06	38.4048598986669	0.417460042434664	0.876747184107229	Welch Two Sample t-test	two.sided	2.51773531622518e-05	13v30	module4
DG 34:1 	0.571055300458537	11.7937224980724	11.2226671976139	3.22121164826212	0.00329588821790992	27.236957639015	0.207455502687308	0.934655098229767	Welch Two Sample t-test	two.sided	0.0051229566865339	13v30	module4
LPE 18:2 	0.79539134041967	6.44465019814345	5.64925885772378	5.26117805928274	5.29637029005949e-06	39.5135483406903	0.489725469601923	1.10105721123742	Welch Two Sample t-test	two.sided	4.20767195265837e-05	13v30	module4
PC 16:0_18:2 	0.708148799588843	8.95146985256437	8.24332105297553	6.04085582775928	3.50864575908703e-06	23.2627915177178	0.465798661369498	0.950498937808188	Welch Two Sample t-test	two.sided	3.58383102535318e-05	13v30	module4
PC 18:2_20:5 	1.03093991031916	9.38234342230238	8.35140351198323	6.99991555306563	3.63098098429364e-07	23.309851084514	0.726494218596412	1.3353856020419	Welch Two Sample t-test	two.sided	1.05834450031888e-05	13v30	module4
PC 34:2 Isomer A	1.22714397354505	16.3855548108589	15.1584108373139	6.06073934432249	5.70068759179554e-06	20.5060827978591	0.80545720897078	1.64883073811932	Welch Two Sample t-test	two.sided	4.29051750329875e-05	13v30	module4
PC 34:2 Isomer B	0.800849742932614	10.2414658508117	9.44061610787905	6.29197808626536	1.99795929022361e-06	23.0673546104096	0.537591310766525	1.0641081750987	Welch Two Sample t-test	two.sided	3.14238938104965e-05	13v30	module4
PC 34:3 	0.782563777477292	8.04579273645402	7.26322895897673	5.78026936549445	2.71649119160958e-06	29.5737796862457	0.505902814934779	1.0592247400198	Welch Two Sample t-test	two.sided	3.23715200333475e-05	13v30	module4
PC 34:3 Isomer B 	1.35430228998307	14.4073318525657	13.0530295625826	5.57389396597978	1.48392962688679e-05	21.3243879712472	0.84948118165449	1.85912339831166	Welch Two Sample t-test	two.sided	7.57864059445755e-05	13v30	module4
PC 36:3 Isomer A 	1.22953894008846	15.8316407447933	14.6021018047049	4.36801687856848	0.000239817139227594	22.2640241215927	0.646172236063603	1.81290564411331	Welch Two Sample t-test	two.sided	0.000662825613297581	13v30	module4
PC 36:3 Isomer AB	0.77237129033044	9.55420708702886	8.78183579669842	3.49492303003419	0.00190361068421854	23.5469516186084	0.3157888095572	1.22895377110368	Welch Two Sample t-test	two.sided	0.00324067056956252	13v30	module4
PC 36:4 Isomer A 	1.3445997436168	15.5251499456798	14.180550202063	5.9830273866057	4.12915158038855e-06	23.1299758178284	0.879843077892459	1.80935640934115	Welch Two Sample t-test	two.sided	3.69042922497227e-05	13v30	module4
PC 36:5 Isomer A 	1.09152260490409	12.5632177120102	11.4716951071062	5.21580611734209	2.4234690140617e-05	23.9499308115058	0.659558467707249	1.52348674210094	Welch Two Sample t-test	two.sided	0.000108298771565882	13v30	module4
PC 40:8 Isomer A	1.40881087443244	15.2962058866713	13.8873950122389	5.9680252932915	4.06747400354099e-06	23.4233928643482	0.920971926273116	1.89664982259176	Welch Two Sample t-test	two.sided	3.69042922497227e-05	13v30	module4
PC 40:8 Isomer B	0.97237979598108	9.4618826432319	8.48950284725082	5.57388489167582	7.44742405154052e-06	25.9939633917848	0.613782887989056	1.3309767039731	Welch Two Sample t-test	two.sided	5.32490819685147e-05	13v30	module4
PE 36:3 	0.742689969750867	8.91913456899139	8.17644459924052	3.47577214736862	0.0017294816083687	27.143855867839	0.304371208536322	1.18100873096541	Welch Two Sample t-test	two.sided	0.00306919499430643	13v30	module4
PE 38:7|PE 18:2_20:5 Isomer B	1.54063558091196	10.5001150566742	8.9594794757622	7.70036486086517	7.99561894306617e-08	23.0884049247717	1.12684058983904	1.95443057198488	Welch Two Sample t-test	two.sided	3.81124502952821e-06	13v30	module4
LNAPE 20:4_N-19:1 	0.567736180825626	7.94950422186599	7.38176804104037	4.19544547504945	0.000253302038471548	27.656121046681	0.29038621585679	0.845086145794462	Welch Two Sample t-test	two.sided	0.000662825613297581	13v30	module5
PC 33:1 Isomer A	0.812178243330907	16.0484764765514	15.2362982332205	3.71003296634173	0.000863610937017364	29.3048580240814	0.364651023143825	1.25970546351799	Welch Two Sample t-test	two.sided	0.00169173101360936	13v30	module5
PC 33:2 Isomer B	0.44782878394924	8.10241190103429	7.65458311708505	4.1560436175054	0.000254932928191377	29.4827030580752	0.227604487899362	0.668053079999119	Welch Two Sample t-test	two.sided	0.000662825613297581	13v30	module5
PC 35:2 Isomer B 	0.701624535645333	15.1452901433816	14.4436656077362	3.47852101383701	0.00181901878229282	25.6017769827664	0.286706105434824	1.11654296585584	Welch Two Sample t-test	two.sided	0.0031707309227855	13v30	module5
PC 35:3 	0.960771258347497	13.3800206417273	12.4192493833798	4.13500076157627	0.000312933553300876	26.805239369657	0.483864404126285	1.43767811256871	Welch Two Sample t-test	two.sided	0.000758466069864834	13v30	module5
PE 37:5|PE 17:0_20:5	0.802047413946195	10.4461589551928	9.64411154124659	4.18517633753835	0.000245681476279592	28.6824702952343	0.409910935785039	1.19418389210735	Welch Two Sample t-test	two.sided	0.000662825613297581	13v30	module5
PC 34:0	-0.433157582445814	12.3398327269098	12.7729903093556	-2.8727593841014	0.0097534531197871	18.9740985863102	-0.748775039427044	-0.117540125464583	Welch Two Sample t-test	two.sided	0.0126794890557232	13v30	module6
PC O-31:0	-0.429148710947169	13.4424147810946	13.8715634920417	-2.74676984674836	0.0117469742526383	22.0843789485644	-0.753093885774411	-0.105203536119927	Welch Two Sample t-test	two.sided	0.0149983689118507	13v30	module6
PC O-31:0|PC O-15:0_16:0	-0.437199994206132	12.123926222631	12.5611262168371	-2.5616469204679	0.0154362220549318	31.3773387382622	-0.785117126588301	-0.0892828618239635	Welch Two Sample t-test	two.sided	0.0191946065552631	13v30	module6
PC O-32:0 	-0.360772157691112	12.0607709495197	12.4215431072108	-2.34158147943911	0.0274741904333798	24.9966263946091	-0.678091567185131	-0.0434527481970937	Welch Two Sample t-test	two.sided	0.0316839454191396	13v30	module6
PC O-33:0 	-0.540593755573953	12.064508335913	12.6051020914869	-3.55463953094056	0.00195242001711655	20.2924397363799	-0.857536698330835	-0.223650812817071	Welch Two Sample t-test	two.sided	0.00328465955820784	13v30	module6
SM d32:0 	-0.867145457408325	12.5307768961984	13.3979223536067	-4.55126904572554	8.02221333993958e-05	30.4260140265793	-1.25602777910812	-0.478263135708527	Welch Two Sample t-test	two.sided	0.000318660141003155	13v30	module6
SM d32:0 Isomer B 	-0.879076009228655	8.47623717579364	9.35531318502229	-5.297075283973	1.59781154728763e-05	25.6679481681549	-1.22041625696031	-0.537735761497004	Welch Two Sample t-test	two.sided	7.87886383662522e-05	13v30	module6
SM d32:1 Isomer B	-0.414733971187085	10.7596309418758	11.1743649130629	-2.62337262981344	0.0136759734366955	29.3253689157503	-0.73791246211995	-0.0915554802542191	Welch Two Sample t-test	two.sided	0.017154949135504	13v30	module6
SM d34:0 	-0.788229633728037	7.80137137218528	8.58960100591332	-5.65950160566609	7.82033251316376e-06	24.0806721724472	-1.07562908357308	-0.500830183882991	Welch Two Sample t-test	two.sided	5.32527404467818e-05	13v30	module6
SM d34:1 Isomer B	-0.500628569671587	10.2811065643044	10.781735133976	-3.30550656328375	0.00257071950947208	28.4398689038073	-0.810649752075746	-0.190607387267428	Welch Two Sample t-test	two.sided	0.00413048190847761	13v30	module6
