Lipid,identifier,lipid,Ion.species,INCHIKEY
1,0.23_329.23,(Z)-9,12,13-trihydroxyoctadec-15-enoic acid ,[M-H]-,DNWUYCUUEGGVPR-CLTKARDFSA-N
2,0.33_295.23,13-HODE ,[M-H]-,HNICUWMFWZBIFP-KDFHGORWSA-N
7,0.27_335.22,8,15-DiHETE ,[M-H]-,NNPWRKSGORGTIM-HCCKYKKOSA-N
8,2.39_784.57,arachidonoylthiophosphorylcholine ,[M+H]+,YDSCLGYBUIDZNF-UHFFFAOYSA-N
27,3.15_734.74,Cer 22:0;2O/26:0 ,[M-H]-,RWONAHGWHDKVBG-UHFFFAOYSA-N
30,2.34_534.52,Cer 35:1;O2|Cer 14:1;O2/21:0,[M+H-H2O]+,GNLMEYWBBYJRAK-UHFFFAOYSA-N
37,3.90_898.81,Cer 59:7;O2|Cer 27:1;O2/32:6,[M+Na]+,MVOBRROQXQEAKP-UHFFFAOYSA-N
60,3.25_732.73,Cer d46:1 ,[M-H]-,CZDSGZAXVMEXFM-NJLCVJHMSA-N
62,1.89_369.35,Cholesterol ,[M+H-H2O]+,HVYWMOMLDIMFJA-DPAQBDIFSA-N
70,1.45_693.54,DG 40:5,[M+Na]+,SWAUCSBNGLZTAO-UHFFFAOYSA-N
73,2.28_759.58,DG 45:7,[M+Na]+,ALADTLXJFODIQX-UHFFFAOYSA-N
77,2.14_825.61,DG 50:9,[M+Na]+,FSKMPLGIRIBOTQ-UHFFFAOYSA-N
78,3.71_841.66,DG 51:8,[M+Na]+,PIKATRARSGJDNU-UHFFFAOYSA-N
80,1.06_281.25,FA 18:1 (oleic acid) ,[M-H]-,ZQPPMHVWECSIRJ-KTKRTIGZSA-N
81,0.28_313.24,FA 18:1+2O ,[M-H]-,XEBKSQSGNGRGDW-UHFFFAOYSA-N
83,0.26_311.22,FA 18:2+2O ,[M-H]-,JGUNZIWGNMQSBM-UHFFFAOYSA-N
91,1.58_337.31,FA 22:1 (erucic acid) ,[M-H]-,DPUOLQHDNGRHBS-KTKRTIGZSA-N
95,1.47_383.35,FA 24:0(2OH),[M-H]-,MSUOLNSQHLHDAS-UHFFFAOYSA-N
96,2.21_381.37,FA 25:0 ,[M-H]-,MWMPEAHGUXCSMY-UHFFFAOYSA-N
97,2.93_451.45,FA 30:0 ,[M-H]-,VHOCUJPBKOZGJD-UHFFFAOYSA-N
99,1.06_585.49,FAHFA 38:4 ,[M-H]-,UWSSQGYIAHOMJM-OMCRSCLLSA-N
113,0.20_476.31,LDGTS 15:3,[M+Na]+,YNMNMCDGYLHQRD-UHFFFAOYSA-N
120,1.20_582.38,LPC 18:0 Isomer B ,[M+Hac-H]-,IHNKQIMGVNPMTC-RUZDIDTESA-N
123,1.36_610.41,LPC 20:0 ,[M+Hac-H]-,UATOAILWGVYRQS-UHFFFAOYSA-N
144,0.69_524.30,LPS 18:0 ,[M-H]-,ZPDQFUYPBVXUKS-UHFFFAOYNA-N
149,0.20_146.12,NAE 5:0,[M+H]+,NURPOXDFZKXLRW-UHFFFAOYSA-N
150,0.23_202.17,NAE 9:0,[M+H]+,QWJKOSGGYVUJBP-UHFFFAOYSA-N
152,0.99_650.44,PC 16:0/9:0 CHO ,[M+H]+,PPTNNIINSOQWCE-WJOKGBTCSA-N
163,0.53_572.34,PC 21:4 ,[M+H]+,XOZKRFBVCYMGKM-GKFVBPDJSA-N
164,0.53_630.34,PC 22:4 ,[M+FA-H]-,GFFACUDRMCKGID-ZKWNWVNESA-N
169,1.78_678.51,PC 28:0 ,[M+H]+,CITGLCJVPOWHKC-UUWRZZSWSA-N
171,1.86_692.53,PC 29:0 ,[M+H]+,GWWAIYISJPUKIW-UHFFFAOYSA-N
180,1.47_724.49,PC 32:5|PC 10:0_22:5,[M+H]+,QZMGRDCRMQJRBR-UHFFFAOYSA-N
241,2.10_810.60,PC 38:4 Isomer A ,[M+H]+,PSVRFUPOQYJOOZ-QNPWAGBNSA-N
308,2.14_692.56,PC O-30:0|PC O-14:0_16:0,[M+H]+,BYMZZQJJOHDZOU-UHFFFAOYSA-N
336,2.25_780.59,PC O-37:5 ,[M+H]+,BAGTZVRZMJNFDH-MJXYYAAPSA-N
345,2.04_790.57,PC O-38:7|PC O-17:4_21:3,[M+H]+,WQYLHADYRBGAGC-UHFFFAOYSA-N
351,2.24_798.55,PC O-39:10,[M+H]+,DBXJOCSZUPYVJQ-UHFFFAOYSA-N
447,2.30_776.57,PE-O 18:1_22:6 ,[M+H]+,FIJFPUAJUDAZEY-UHFFFAOYSA-N
498,1.89_711.55,SM 35:4;O2,[M+H]+,ZZVIPOLKRCCWFV-UHFFFAOYSA-N
500,2.46_759.63,SM 38:1;O2|SM 16:1;O2/22:0,[M+H]+,XNBRFUCJENKXCT-UHFFFAOYSA-N
501,2.22_753.58,SM 38:4;O2|SM 23:2;O2/15:2,[M+H]+,WHKXGRORCVQZGF-UHFFFAOYSA-N
529,2.20_757.62,SM d38:2 Isomer A,[M+H]+,MDRFMTLYKHBJTF-NQYLGBTJSA-N
534,2.85_871.69,SM d42:2 Isomer B ,[M+Hac-H]-,DACOGJMBYLZYDH-GXJPFUDISA-N
538,3.42_866.73,TG 16:2_18:2_18:3 ,[M+NH4]+,GLZHPWPMVDTTOB-HHDDAWPXSA-N
558,3.58_844.76,TG 50:4 ,[M+NH4]+,PVMBAGXWHHZKFP-JMPJWMFJSA-N
610,3.94_836.79,TG O-50:1|TG O-17:0_15:0_18:1,[M+NH4]+,NHSWSPYXJYXVEL-UHFFFAOYSA-N
