identifier	lipid	PubChem.CID	Chemical.Name	INCHIKEY
2.28_807.56	GlcADG 37:3 	138275198	6-[2-heptadecanoyloxy-3-[(11Z,14Z,17Z)-icosa-11,14,17-trienoyl]oxypropoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid	UTZWWDIWEOVCQN-JTBMWNAQSA-N
2.14_778.53	LNAPE 20:4_N-19:1 	165327881	Lnape 20:4/N-19:1	YGNHTBSNYNKPPR-QXHWDXSJSA-N
2.30_740.56	LPC 32:1 	164502065	Lpc 32:1-SN1	ZJIXPFHQCRWXJV-PFONDFGASA-N
2.10_720.56	PC 31:0	14818904	(2-Hexadecanoyloxy-3-pentadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	LLHISNQVRRYJGL-UHFFFAOYSA-N
1.90_718.54	PC 31:1 	24778657	1-pentadecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine	QFVHCMLUKNHDSH-WTWBAFHPSA-N
2.12_746.57_2.08_768.55	PC 33:1 Isomer A	52922442	1-(9Z-hexadecenoyl)-2-heptadecanoyl-glycero-3-phosphocholine	OFRWLQSOUIZELQ-VEAYGOGPSA-N
2.25_804.58	PC 33:1 Isomer B	24778662	1-pentadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphocholine	GXTATYLPYLLNLV-MGIDVFSBSA-N
2.08_802.56	PC 33:2 Isomer B	52922715	1-(9Z,12Z-octadecadienoyl)-2-pentadecanoyl-glycero-3-phosphocholine	SBNDHGBVMZMSNL-UESLNCBNSA-N
2.33_774.60	PC 35:1 Isomer A	52922679	1-(9Z-octadecenoyl)-2-heptadecanoyl-glycero-3-phosphocholine	MFHIZGSSDZJFKD-IYEJTHTFSA-N
2.48_832.61	PC 35:1 Isomer B	52922679	1-(9Z-octadecenoyl)-2-heptadecanoyl-glycero-3-phosphocholine	MFHIZGSSDZJFKD-IYEJTHTFSA-N
2.29_830.59	PC 35:2 	52922491	1-heptadecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine	ZSKWZJYUVZYDQU-WESJWMGVSA-N
2.14_772.59	PC 35:2 Isomer B 	52922721	1-(9Z,12Z-octadecadienoyl)-2-heptadecanoyl-glycero-3-phosphocholine	MJWAVUYQCBFFHQ-WESJWMGVSA-N
1.97_770.57	PC 35:3 	52924614	PE(20:3(8Z,11Z,14Z)/18:0)	AYXGHIQPMDYMJC-AHMBLZLYSA-N
1.91_768.56	PC 35:4 Isomer A	52922204	1-tridecanoyl-2-(7Z,10Z,13Z,16Z-docosatetraenoyl)-glycero-3-phosphocholine	OROZWUJCDDCYAU-IPUAOQJZSA-N
2.03_826.56	PC 35:4 Isomer B	52922895	1-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-2-heptadecanoyl-glycero-3-phosphocholine	LYNZMLHNPYEREG-ZHMZGHMTSA-N
2.36_800.62	PC 37:2 Isomer A	52922735	1-(9Z,12Z-octadecadienoyl)-2-nonadecanoyl-glycero-3-phosphocholine	MCZUABDVGPPWPM-HJTCUGKVSA-N
2.50_858.62	PC 37:2 Isomer B	52922735	1-(9Z,12Z-octadecadienoyl)-2-nonadecanoyl-glycero-3-phosphocholine	MCZUABDVGPPWPM-HJTCUGKVSA-N
2.17_798.60	PC 37:3 	52922851	1-(9Z,12Z,15Z-octadecatrienoyl)-2-nonadecanoyl-glycero-3-phosphocholine	OOYQEEUUQRMQKL-JUUDQZDJSA-N
2.13_796.59	PC 37:4 	52922853	1-(9Z,12Z,15Z-octadecatrienoyl)-2-(9Z-nonadecenoyl)-glycero-3-phosphocholine	QRPUCJXFPYFTMB-FBFLODOBSA-N
2.13_822.60	PC 39:5 Isomer B	138201638	[2-[(14Z,17Z,20Z,23Z)-hexacosa-14,17,20,23-tetraenoyl]oxy-3-[(Z)-tridec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	LGGLGFSWJITMHS-MJJBRJPASA-N
2.15_812.58	PC O-16:0_20:4 	53481701	PC(o-16:0/20:4(8Z,11Z,14Z,17Z))	SOUZQPFUXRVDGK-KCTKZSJBSA-N
2.13_750.51	PE 37:5|PE 17:0_20:5	75957262	[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-heptadecanoyloxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate	YRRQJTQXWQBPQK-UHFFFAOYSA-N
3.51_761.60	TG 42:0 	11148	Trimyristin	DUXYWXYOBMKGIN-UHFFFAOYSA-N
