crab.ID,104,105,106,107,108,109,110,111,112,113,114,404,405,406,407,408,409,410,411,412,413,101,102,103,401,402,403,304,305,306,307,308,604,605,606,607,608,301,302,303,601,602,603,204,205,206,207,208,209,210,211,212,213,504,505,506,507,508,509,510,511,512,513,201,202,203,501,502,503
treatment,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
day,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,4,4,4,4,4,4,22,22,22,22,22,22,22,22,22,22,4,4,4,4,4,4,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,4,4,4,4,4,4
