InChIKey,Chemical Name,PubChem CID
FPEVDFOXMCHLKL-UHFFFAOYSA-N,"(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-octadec-9-enoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate",133026127
BPUROMFCPFGBOT-ZEGPSQTJSA-N,"PC(18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))",24778982
SIMZOWLEIOYZJX-VRCXRDLJSA-N,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:3(5Z,8Z,11Z))",53479127
BFCSBEFTXQRIOJ-IMYLGOOQSA-N,"PC(20:4(8Z,11Z,14Z,17Z)/20:4(8Z,11Z,14Z,17Z))",53479093
GJYVZEAGDPQYHE-UHFFFAOYSA-N,,
KQEBTLYBLYIGCO-UHFFFAOYSA-N,,
VZHJGZIHURTYOK-UHFFFAOYSA-N,,
JAFRHASVFSGFFW-UHFFFAOYSA-N,,
OPJMVQWGDNLBOX-UHFFFAOYSA-N,,
MCBZZOAHAMROOU-UHFFFAOYSA-N,"(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-nonadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate",75956074
MOZVGHCUWNOTHQ-UHFFFAOYSA-N,,
PYHBTZGICKBYDS-UHFFFAOYSA-N,,
BEOPRPBCHVTXIL-UHFFFAOYSA-N,,
FXDQJBSGJDJBNI-UHFFFAOYSA-N,,
PRAHGYJIPXTSPA-UHFFFAOYSA-N,,
APYSSUSAYQRESE-VZWUYPTESA-N,"PC(22:2(13Z,16Z)/20:3(8Z,11Z,14Z))",52923591
DSVRMAGYENFTLY-GDDYDVMSSA-N,"PC(22:4(7Z,10Z,13Z,16Z)/20:2(11Z,14Z))",52923651
ZQZWZGRWXYGCHL-KWBDKPQYSA-N,"[3-[(9Z,12Z)-octadeca-9,12-dienoyl]oxy-2-[(12Z,15Z,18Z,21Z)-tetracosa-12,15,18,21-tetraenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",138316086
LQGLSURTFNDIMU-JXUGAEHWSA-N,"PC(22:2(13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))",52923595
CBZKQAMOIDIGQS-UHFFFAOYSA-N,,
IYXCMTDFTGTXCB-UHFFFAOYSA-N,,
FDDWZRUXIMATBC-WHMDNIGFSA-N,"PC(20:4(8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))",53479107
UOHAUYMPRRFULX-UHFFFAOYSA-N,,
MEMRRVFGVSLHIA-UHFFFAOYSA-N,,
YRQVLDTZSIUUFV-UHFFFAOYSA-N,,
XAFPNZQFSGKDDB-UHFFFAOYSA-N,,
UCERGKJQFBLCRB-UHFFFAOYSA-N,,
LIYXTHCSSCAYRI-UHFFFAOYSA-N,,
XLKQWAMTMYIQMG-UHFFFAOYSA-N,"2,3-Di(docosa-4,7,10,13,16,19-hexaenoyloxy)propyl 2-(trimethylazaniumyl)ethyl phosphate",74051656
SXLRSCSDOMRNSL-UHFFFAOYSA-N,,
OWKJOILEORWVEV-UHFFFAOYSA-N,,
SOUZQPFUXRVDGK-KCTKZSJBSA-N,"PC(o-16:0/20:4(8Z,11Z,14Z,17Z))",53481701
GTFLTTXDLGEBAI-UHFFFAOYSA-N,3-(Octadecyloxy)-2-(palmitoyloxy)propyl 2-(trimethylammonio)ethyl phosphate,24779324
FHHVIBPVBBRLOR-IYACIECVSA-N,1-(1-enyl-stearoyl)-2-arachidonoyl-sn-glycero-3-phosphocholine,24779390
ZQGOFPZFTPJOJU-UHFFFAOYSA-N,(2-Henicosanoyloxy-3-octoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,164505567
UNNIFJGDNLICLT-UHFFFAOYSA-N,,
BYMZZQJJOHDZOU-UHFFFAOYSA-N,(2-Hexadecanoyloxy-3-tetradecoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,24779276
MARQLCZUTCPJHC-UHFFFAOYSA-N,(3-Octoxy-2-tricosanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,164334893
RPJBSPVVDIKMBV-UHFFFAOYSA-N,(2-Hexadecanoyloxy-3-pentadecoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,165289337
ZFGFGETTXFCNGE-UHFFFAOYSA-N,,
SVWBXNAUENUONE-LDLOPFEMSA-N,1-Palmitoyl-2-hexadecyl-sn-glycero-3-phosphocholine,173570
KKCGBTJTPQETOY-UHFFFAOYSA-N,,
HJVQHTGUAIETCQ-UHFFFAOYSA-N,,
NOYDAUSEIWVTMO-XOMYGGGSSA-N,"[3-[(9Z,12Z)-hexadeca-9,12-dienoxy]-2-hexadecanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",138221117
LXEGSWFXNDUGIV-UHFFFAOYSA-N,(3-Octoxy-2-pentacosanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,164333045
YTUHEWRQCXCRCS-MSXCAIDTSA-N,"[3-nonoxy-2-[(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosa-6,9,12,15,18,21-hexaenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",164494092
BNIFFRNYMGLGIV-UHFFFAOYSA-N,(2-Hexacosanoyloxy-3-octoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,164209620
ZKTXOJMFIAILJG-VQJSHJPSSA-N,[(2R)-2-hexadecoxy-3-octadecanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,24779361
SIEDNCDNGMIKST-UHFFFAOYSA-N,(3-Hexadecoxy-2-octadec-9-enoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,72730732
WDQJCKHLEYAETE-MGXYOJEMSA-N,[3-[(Z)-hexadec-9-enoxy]-2-[(Z)-octadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,138286710
WDQJCKHLEYAETE-UHFFFAOYSA-N,,
NIKRJMBNOQBCJY-UHFFFAOYSA-N,,
XMHXXITXNBPALH-UHFFFAOYSA-N,,
LAYKQTFKSQXATG-UHFFFAOYSA-N,,
ZVZUNIABXAMDPL-UHFFFAOYSA-N,,
OHSFNZCZNMJYDD-UHFFFAOYSA-N,,
IXXUVJRIJHDOLH-UHFFFAOYSA-N,,
PGLZOPOYHKOBOD-UHFFFAOYSA-N,,
CTZJPIRYGNJXMR-MRCUWXFGSA-N,[2-[(Z)-docos-13-enoyl]oxy-3-tetradecoxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,138138968
XQNZBQBKIGMIID-UHFFFAOYSA-N,,
XWWGFNXTSFBXSV-UHFFFAOYSA-N,,
AXGNAJSJYHDVIE-UHFFFAOYSA-N,,
NKWNBXHINFKLLJ-UHFFFAOYSA-N,,
RWUSUIYMRAHTSG-UHFFFAOYSA-N,,
BAGTZVRZMJNFDH-MJXYYAAPSA-N,"[2-[(9Z,12Z)-heptadeca-9,12-dienoyl]oxy-3-[(11Z,14Z,17Z)-icosa-11,14,17-trienoxy]propyl] 2-(trimethylazaniumyl)ethyl phosphate",138124242
XJDKSTIRVDWFRL-MSXCAIDTSA-N,"[3-nonoxy-2-[(10Z,13Z,16Z,19Z,22Z,25Z)-octacosa-10,13,16,19,22,25-hexaenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",164475341
OGKBDEGUVIOGOS-UHFFFAOYSA-N,,
UNQFLBLBMMXLNZ-UHFFFAOYSA-N,,
KTXOXYNZBWISDE-UHFFFAOYSA-N,,
ZKOIQGQFUIBTBK-UHFFFAOYSA-N,,
ARESNMYKPTUBDT-UHFFFAOYSA-N,,
IXJTXTUANBZPRR-UHFFFAOYSA-N,,
LSUUYCOJTDXYNX-AQISBKEKSA-N,"[2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyl]oxy-3-[(Z)-hexadec-9-enoxy]propyl] 2-(trimethylazaniumyl)ethyl phosphate",138205619
WQYLHADYRBGAGC-UHFFFAOYSA-N,,
DBCXCFBGWOEMJV-UHFFFAOYSA-N,,
UCVZHVCAEYSHCY-UHFFFAOYSA-N,,
VWKOBVXUQODLJP-UHFFFAOYSA-N,,
FCNCLGVQZFEHST-UHFFFAOYSA-N,,
KKYAKTKSGHLZLO-UHFFFAOYSA-N,,
DBXJOCSZUPYVJQ-UHFFFAOYSA-N,,
FYLHFHLSNYCGOC-FPWUCMTFSA-N,"[3-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoxy]-2-[(9Z,12Z)-heptadeca-9,12-dienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",138157243
SCYVEJDGCKBBJK-UHFFFAOYSA-N,,
FGEPWWQZFIUJMY-UHFFFAOYSA-N,,
HJDYJUQFSIJNGA-MMLUMLTRSA-N,"[2-[(7E,10E,13E,16E,19E)-docosa-7,10,13,16,19-pentaenoyl]oxy-3-octadecoxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",24779339
MWJZGUPJPKCTCF-BGOAOESGSA-N,"[2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyl]oxy-3-[(Z)-octadec-9-enoxy]propyl] 2-(trimethylazaniumyl)ethyl phosphate",138215244
TZPWELYWHMBLNH-UHFFFAOYSA-N,,
VCWYIBIQQAJUAS-UHFFFAOYSA-N,,
OKYNKMQEYNTPNY-UHFFFAOYSA-N,,
POUGFOMGZOSCQV-UHFFFAOYSA-N,,
IXVPPBHEBBKZRA-UHFFFAOYSA-N,,
HNLYYHYLSFUJTC-UHFFFAOYSA-N,,
ZMQLLTKZNYACNP-MSTLYMIMSA-N,"[2-[(7Z,10Z,13Z,16Z,19Z,22Z,25Z)-octacosa-7,10,13,16,19,22,25-heptaenoyl]oxy-3-tetradecoxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",164503735
CIKLTOCCZGXOIB-UHFFFAOYSA-N,,
FZMYLOBGNYZPQO-QLSONYGBSA-N,1-(1-Enyl-palmitoyl)-2-palmitoleoyl-sn-glycero-3-phosphocholine,52923882
QCGUXAIDEOWPBV-SNKLRXETSA-N,1-(11Z-octadecenyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine,53481719
MBRHHFWRXQYYAN-RTVLTNFHSA-N,1-(1-Enyl-vaccenoyl)-2-palmitoyl-sn-glycero-3-phosphocholine,53480735
MBRHHFWRXQYYAN-JEPFLRBFSA-N,"1-(1Z,11Z-octadecadienyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine",70698781
ZYLPVUZBZNMVMR-ZBBHDILGSA-N,"PC(O-16:0/20:2(11Z,14Z))",52923754
ZOTYCHIFTCFAHC-KOUVQCMKSA-N,"1-(1Z,9Z-octadecadienyl)-2-octadecanoyl-sn-glycero-3-phosphocholine",53480797
DIHWZUCEXWUHOD-IIVNATNGSA-N,PC(P-18:1(9Z)/18:1(9Z)),53480801
SOUZQPFUXRVDGK-KCTKZSJBSA-N,"PC(o-16:0/20:4(8Z,11Z,14Z,17Z))",53481701
GWBOVQHRCURSPU-QMFAPAEZSA-N,"PC(P-18:1(9Z)/20:2(11Z,14Z))",53480815
YPAPIRJFGNBODV-AMFPDOHCSA-N,"PC(P-18:0/20:4(8Z,11Z,14Z,17Z))",53480715
DYFGXBAIDOATAE-DSLLYOFSSA-N,"PC(P-18:1(11Z)/20:3(5Z,8Z,11Z))",53480759
DBQMOXDLWKVKKG-REWQMPQJSA-N,"PC(P-18:1(11Z)/20:3(8Z,11Z,14Z))",53480761
ATTCDOPAYPGSLE-LQULQHAGSA-N,"PC(20:4(8Z,11Z,14Z,17Z)/P-18:1(9Z))",53479121
FAKYQMLQEAQOLK-LHZZQLRFSA-N,"PC(P-16:0/22:5(4Z,7Z,10Z,13Z,16Z))",53480695
UWNFEVACEPZILS-RNNLSGHUSA-N,"PC(P-20:0/20:4(5Z,8Z,11Z,14Z))",52924022
KUHMJRMPHBRAMY-DDURNVNNSA-N,"PC(P-18:1(11Z)/22:4(7Z,10Z,13Z,16Z))",53480775
XUVCLJCZWPTAIO-OAKHYACESA-N,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))",53479405
FMBYBTSZVHUJMV-DIVFMYBRSA-N,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)",53479425
PWAHARWXEAMNGK-VCDFOAEJSA-N,"PC(P-18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",53480839
QZMFOSCFDWPISC-KQHSIIGPSA-N,"PC(o-22:3(10Z,13Z,16Z)/22:3(10Z,13Z,16Z))",53481769
SIEDNCDNGMIKST-GUSIKBLRSA-N,[(2S)-3-hexadecoxy-2-[(Z)-octadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,10771331
TXHZYNSTTCIWMJ-RXSQUPBGSA-N,"PC(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",42607430
CZOSTDZGCCEZTJ-PEZBUJJGSA-N,[3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-[(Z)-hexadec-9-enoyl]oxypropyl] hexadecanoate,71627297
HGDJXBPLHZFXGO-LBXGSASVSA-N,Phosphatidylethanolamine 16:1-18:1,134735007
SUKSMPBISVBNOS-SDJUKWJGSA-N,Phosphatidylethanolamine 18:0-22:3,134768112
JRTZGTYHEHCHTM-UHFFFAOYSA-N,Phosphatidylethanolamine 18:0-16:0,6426734
RECBGBLFDMTQRS-SGEDCAFJSA-N,Phosphatidylethanolamine 16:0-18:1,134763376
WNEGPTXZSBMNGJ-UHFFFAOYSA-N,,
JQKOHRZNEOQNJE-ZZEZOPTASA-N,2-azaniumylethyl [3-octadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] phosphate,25244969
MWRBNPKJOOWZPW-CLFAGFIQSA-N,(Z)-9-octadecenoic acid [3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-[(Z)-1-oxooctadec-9-enoxy]propyl] ester,
GKAFCSRKMWFPSJ-RQOIEFAZSA-N,1-18:1-2-18:2-phosphatidylethanolamine,25245361
NQIMLWFRWGTTOZ-JAXHXWBXSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-hexadecanoyloxypropan-2-yl] (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate",138221545
KHLRCNXJXSYNCK-UHFFFAOYSA-N,"[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-hexadecanoyloxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate",75957871
YRRQJTQXWQBPQK-UHFFFAOYSA-N,"[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-heptadecanoyloxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate",75957262
UITCASPZWUAJBW-HWSICPKZSA-N,[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoyl]oxypropan-2-yl] (Z)-icos-11-enoate,9546827
ANRKEHNWXKCXDB-BHFWLYLHSA-N,"2-ammonioethyl [(2R)-2-[(5Z,8Z,11Z,14Z)-1-oxoeicosa-5,8,11,14-tetraenoxy]-3-(1-oxooctadecoxy)propyl] phosphate",46891781
YEHAZLUVAZKVRO-UHFFFAOYSA-N,"[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadecanoyloxypropan-2-yl] icosa-8,11,14,17-tetraenoate",76042065
ZYMZKMQPPJPQHY-HAGCXRLMSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoyl]oxypropan-2-yl] (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate",138318539
LFGBKOUQHCWBQI-BZGLIJSBSA-N,"PE(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))",52924893
MPWUZHVZZKSTPV-LGFBOSHVSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-hexadecanoyloxypropan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",6426738
SVTUSNWDMQTUBQ-UHFFFAOYSA-N,,
AJTJVNKPLZTLHV-UHFFFAOYSA-N,"[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadeca-9,12-dienoyloxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate",75957373
XWBGJZFCVFFGEC-UHFFFAOYSA-N,,
IHTIZXOEIOXSDI-UHFFFAOYSA-N,"[3-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-2-icosa-5,8,11,14,17-pentaenoyloxypropyl] icosa-5,8,11,14,17-pentaenoate",75957671
IZEXFAOLFRVCJS-UHFFFAOYSA-N,"[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadec-9-enoyloxypropan-2-yl] docosa-7,10,13,16,19-pentaenoate",76042109
JZSZAGWWWKKXLO-UHFFFAOYSA-N,"[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadec-9-enoyloxypropan-2-yl] docosa-4,7,10,13,16,19-hexaenoate",75955284
YCPMBSIIFMAXDK-UHFFFAOYSA-N,,
RYBUYOPRHNRAQN-UHFFFAOYSA-N,,
RFPQMVKZNQOUGY-KXYOHKLBSA-N,[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-hexadec-9-enoxy]propan-2-yl] (Z)-octadec-9-enoate,138251610
RIQAKBUOHSSMTC-PNBIJBBKSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-hexadec-9-enoxy]propan-2-yl] (9Z,12Z)-octadeca-9,12-dienoate",138252555
KGCPGAKRLOCUEV-ZLXBYIIJSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-hexadec-9-enoxy]propan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",138193153
ZTNZTGXTHOFZGC-UHFFFAOYSA-N,,
IVBLZGVNSKPGOR-XAJDCCMMSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoxy]propan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",138181306
CVFFRLVFXKZVIJ-MAZCIEHSSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoxy]propan-2-yl] (9Z,12Z)-octadeca-9,12-dienoate",138139358
VVEHXBSUSFPSAC-OJMLKDQNSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoxy]propan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",138283942
WVGALBKSWOUIEZ-ULUZTLKMSA-N,Phosphatidylethanolamine alkenyl 16:0-22:6,134777290
CEVVUBCHWNKKNN-VDLQPGGRSA-N,1-octadecyl-2-(9Z-octadecenoyl)-glycero-3-phosphoethanolamine,52924982
CQHMZFNQRVSRPW-HLMRNWPHSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-octadecoxypropan-2-yl] (9Z,12Z,15Z)-octadeca-9,12,15-trienoate",138137779
MXSLQGMWLWDDHB-YVCOGYDTSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-tetradecoxypropan-2-yl] (13Z,16Z)-tetracosa-13,16-dienoate",138215641
UZKXXUJVNWVEAA-GWWWPDGYSA-N,Phosphatidylethanolamine alkenyl 18:0-20:5,134772254
QIQGIECOBDSDSX-IVGDTRDPSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(9Z,12Z,15Z)-octadeca-9,12,15-trienoxy]propan-2-yl] (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate",138244210
GZMXKUALKXYCMM-XSEHFSNESA-N,Phosphatidylethanolamine alkenyl 18:0-22:4,134734287
NKXPONDLZHZZND-PKBJNFAXSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoxy]propan-2-yl] (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",138219791
ZOSSFCIAXYNTHL-CSTBBDSDSA-N,1-(1-Enyl-oleoyl)-2-palmitoyl-sn-glycero-3-phosphoethanolamine,53480893
OBAAWAYLQLYWNN-KHFVPPDWSA-N,1-(1-Enyl-oleoyl)-2-stearoyl-sn-glycero-3-phosphoethanolamine,53480895
ADWDFBQPQIEGRZ-XBICFDGKSA-N,"PE(P-18:1(11Z)/18:3(6Z,9Z,12Z))",53480870
RLLOITCRNQRGJD-DFAKUSJGSA-N,"PE(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))",52925061
IGBDUBDKFYMFHJ-UHFFFAOYSA-N,,
KQDZBNVXKAEDAT-UHFFFAOYSA-N,,
ZTZQZGHJLWFLFQ-VZBWJDOASA-N,"PE(P-18:0/20:4(8Z,11Z,14Z,17Z))",53480855
URPXXNCTXCOATD-FXMFQVEGSA-N,"[R-(all-Z)]-5,8,11,14-Eicosatetraenoic acid",86289532
IQSPCSIULMCRPM-ZAJUHDLGSA-N,"PE(20:4(8Z,11Z,14Z,17Z)/P-18:1(9Z))",53479831
IYADYBNFZSWUNC-UHFFFAOYSA-N,,
HHQFKPJXVYWLLJ-ABYSKWQHSA-N,"PE(P-18:0/22:5(4Z,7Z,10Z,13Z,16Z))",53480857
WVSSIRPRBPEKCQ-UHFFFAOYSA-N,,
FIJFPUAJUDAZEY-UHFFFAOYSA-N,"[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadec-1-enoxypropan-2-yl] docosa-4,7,10,13,16,19-hexaenoate",74819122
MLHVKKWOXVSPDG-VLGSPTGOSA-N,PEtOH 16:0_16:1,138211560
JCABVIFDXFFRMT-VXPUYCOJSA-N,PEtOH 16:0_18:1,56640029
QTIJJMLOUMWMQQ-BUPHOURSSA-N,PEtOH 16:0_20:4,138247565
BHQKOVPFLAAQTH-IQRFGFHNSA-N,PEtOH 16:1_16:1,138126591
SQEHUBDFCCVGCJ-FRKBGCJLSA-N,PEtOH 16:1_18:1,138263544
JSNRLDUOKDFFEU-WRBBJXAJSA-N,PEtOH 18:1_18:1,10283746
GPUYXMCSIACMOK-YBDJVEANSA-N,PEtOH 18:1_20:4,138162825
KDFIYBDWNQKADP-UHFFFAOYSA-N,"[1-[2,3-Dihydroxypropoxy(hydroxy)phosphoryl]oxy-3-hexadecanoyloxypropan-2-yl] icosa-11,14-dienoate",75959369
BRJYLBKRWAAAEC-UHFFFAOYSA-N,"[1-[2,3-Dihydroxypropoxy(hydroxy)phosphoryl]oxy-3-hexadec-9-enoyloxypropan-2-yl] docosa-4,7,10,13,16,19-hexaenoate",75960065
XACKZSRNTPEYBU-GZSOIYOPSA-N,Phosphatidylglyceride 22:6-22:6,134777753
QDRJMAHGAQYRIN-PKKQLAOCSA-N,Phosphatidylethanolamine alkenyl 16:0-20:4,134760384
QBAQUPWJTLVJBD-CZAAGYDRSA-N,Phosphatidylethanolamine alkenyl 18:0-18:2,134760121
RZFIPFIGUWXYNB-UHFFFAOYSA-N,"[1-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octadecanoyloxypropan-2-yl] icosa-11,14-dienoate",75961260
KRTOMQDUKGRFDJ-UHFFFAOYSA-N,"[1-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octadecanoyloxypropan-2-yl] icosa-5,8,11,14-tetraenoate",72280035
OOSPMTMUZPWTKZ-DCMOKHIZSA-N,"[1-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-[(Z)-octadec-9-enoyl]oxypropan-2-yl] (10Z,13Z,16Z,19Z)-docosa-10,13,16,19-tetraenoate",138229402
QHPDGSFYNQHVMI-UHFFFAOYSA-N,"[1-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octadec-9-enoyloxypropan-2-yl] docosa-4,7,10,13,16,19-hexaenoate",75960351
RNXWIPLNUTUDRT-YHSIYXGOSA-N,,
PDLAMJKMOKWLAJ-AGORXRROSA-N,1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol),5771758
GIASXRZRWQSUOZ-QGLGPCELSA-N,"[1-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octanoyloxypropan-2-yl] (15Z,18Z)-hexacosa-15,18-dienoate",138160318
ZPUUVEHXYAPJAQ-KOHXHNRGSA-N,,
YOBFISPJJWPPTK-JUCSSFOXSA-N,,
KZVRAFHIKMDULK-PDPKURFXSA-N,,
UPMVFTFJRCVMKL-PVJQQWEWSA-N,,
MXJMOLQIXMJUEL-UHFFFAOYSA-N,"[3-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-2-octadeca-9,12-dienoyloxypropyl] octadec-9-enoate",74413360
WPXXYOUAQYYXER-BFRKKRKTSA-N,,
FQGSWQFJOVVRRB-UHFFFAOYSA-N,"[1-Hexadecanoyloxy-3-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate",75961205
RORLLARSMMOWBD-UHFFFAOYSA-N,,
VVADTISLHXZLIB-WNWAWKNRSA-N,,
KRTOMQDUKGRFDJ-MWZLTEOLSA-N,PI(38:4),42607491
SUYDNPBYMBTSMM-UHFFFAOYSA-N,"[1-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octadecanoyloxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate",75961187
FRECHIGMANZWMF-REJVNYKHSA-N,"[1-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-[(Z)-tetradec-9-enoyl]oxypropan-2-yl] (12Z,15Z,18Z,21Z)-tetracosa-12,15,18,21-tetraenoate",138154940
QSUYYEJLNWCMIO-SIZJMFNESA-N,,
VKRDRDRLFSZIGY-UHFFFAOYSA-N,,
MMIJVISGGKKHBW-UHFFFAOYSA-N,,
VAARQXKGNHCRDF-HNENSFHCSA-N,PMeOH 16:0_18:1,91844613
PXPCKHZLDQZOMG-DUZKARGPSA-N,PMeOH 16:0_18:2,138240731
GLAIFIDZABIAJR-KHDVSGDZSA-N,PMeOH 16:0_20:4,138161235
LENHBQCNGGGSJY-UHFFFAOYSA-N,,
BAGQGBPETWVHAA-BHYOAKPMSA-N,"2-amino-3-[[2-[(10Z,13Z,16Z,19Z)-docosa-10,13,16,19-tetraenoyl]oxy-3-hexadecanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid",138124235
LYYHRRPTEXPVOR-UHFFFAOYSA-N,"2-Amino-3-[(2-docosa-4,7,10,13,16,19-hexaenoyloxy-3-octadecanoyloxypropoxy)-hydroxyphosphoryl]oxypropanoic acid",75228707
BWQAJZLCZFRDSD-UHFFFAOYSA-N,2-Amino-3-[(2-hexadec-9-enoyloxy-3-octadecanoyloxypropoxy)-hydroxyphosphoryl]oxypropanoic acid,75958912
AJFWREUFUPEYII-UHFFFAOYSA-N,2-Amino-3-[hydroxy-(3-octadecanoyloxy-2-octadec-9-enoyloxypropoxy)phosphoryl]oxypropanoic acid,72367181
WTBFLCSPLLEDEM-UHFFFAOYSA-N,Phosphatidylserine (bovine),3451126
