"","total","expected","hits","Raw p","Holm p","FDR"
"Purine nucleosides",121,0.00407,2,7.04e-06,0.00335,0.00335
"Purine nucleotides",134,0.00451,1,0.0045,1,0.729
"Organooxygen compounds",3160,0.106,2,0.00459,1,0.729
"Diazines",342,0.0115,1,0.0115,1,1
"Carboxylic acids and derivatives",3740,0.126,1,0.119,1,1
