"","total","expected","hits","Raw p","Holm p","FDR"
"Organonitrogen compounds",618,0.0535,3,2.06e-05,0.00982,0.00982
"Benzene and substituted derivatives",3050,0.264,4,0.00012,0.0571,0.0286
"Fatty Acyls",4680,0.406,4,0.000612,0.29,0.097
"Non-metal oxoanionic compounds",28,0.00242,1,0.00242,1,0.288
"Imidazopyrimidines",198,0.0171,1,0.017,1,1
"Organooxygen compounds",3160,0.273,2,0.03,1,1
"Pyridines and derivatives",418,0.0362,1,0.0356,1,1
"Phenols",434,0.0376,1,0.0369,1,1
"Carboxylic acids and derivatives",3740,0.324,1,0.279,1,1
