PC	metabolite	loading	cum_var	PubChem	KEGG
4	hydroxylamine	0.258187437010147	0.0666607526298686	787	C00192
4	phenylalanine	0.207007470862	0.10951284562255	6140	C00079
4	citrulline	0.1900102973703	0.1456167587293	9750	C00327
4	uridine	-0.183467780529135	0.179277185221587	6029	C00299
4	lysine	0.182247659965093	0.212491394784339	5962	C00047
4	UDP-N-acetylglucosamine 	-0.178208369989973	0.244249617918822	445675	C00043
4	tyrosine	0.171667142051531	0.273719225578962	6057	C00082
4	alpha-ketoglutarate	-0.163726211215808	0.300525497818046	51	C00026
4	cytosine	-0.157503863917164	0.325332964966883	597	C00380
4	glycerol-alpha-phosphate	-0.15715595935007	0.350030960526123	754	C03189
4	lactobionic acid 	0.156807400785325	0.374619521467173	7314	C04247
4	methionine	0.144967623784035	0.395635133412762	6137	C00073
4	isoleucine 	0.138123105945429	0.414713125808775	6306	C00407
4	adenosine-5-monophosphate	-0.137898518778835	0.433729127290171	6083	C00020
4	glutamate 	-0.134751739345539	0.45188715854682	33032	C00025
4	dimethylglycine	-0.133873176697277	0.46980918598584	673	
4	n-epsilon-trimethyllysine	0.131056196818378	0.486984912710337	440121	
