PC	metabolite	loading	cum_var	PubChem	KEGG
1	myo-inositol	0.230059259701326	0.0529272629743222	892	C00137
1	hydroquinone	0.16400949942468	0.0798263788758563	785	C00530
1	isoleucine 	-0.152350080725029	0.103036925972779	6306	C00407
1	leucine	-0.152209543006251	0.126204670954951	6106	C00123
1	N-acetylgalactosamine	0.14170488758841	0.146284946121395	440552	C05021
1	glycine	-0.141297779005002	0.166250008473141	750	C00037
1	oxoproline	-0.141247926540675	0.186200985225181	7405	C01879
1	methionine	-0.141164233139044	0.206128325942915	6137	C00073
1	glutaric acid	0.137240698064663	0.224963335148191	743	C00489
1	putrescine	0.135623002241528	0.243356933885197	1045	C00134
1	tryptophan 	-0.135500425138699	0.261717299097965	6305	C00078
1	terephthalic acid	0.135358993044888	0.280039356096091	22416364	C06337
1	cadaverine	0.131276903328331	0.297272981443567	273	
1	ribose-5-phosphate	0.130669739026374	0.314347562140787	77982	
1	arachidic acid	0.129039095033044	0.330998650187734	10467	C06425
1	proline	-0.128112874320526	0.347411558754401	145742	C00148
1	phthalic acid	0.128023987591963	0.363801700153348	1017	C01606
1	phosphoinositol	0.127466043168207	0.380049292314307	4449629	
1	threonine	-0.127090362777267	0.396201252625165	6288	C00188
1	serotonin	0.126319710537762	0.412157921895509	5202	C00780
1	4-hydroxybenzoate	0.123804457462752	0.427485465583155	135	C00156
1	phenylalanine	-0.123753128312161	0.442800302350201	6140	C00079
1	heptadecanoic acid	0.121949479051835	0.457671977791215	10465	
1	2-ketoadipic acid 	0.120185836381775	0.472116613058002	71	C00322
1	stearic acid	0.118970688371618	0.486270637749618	5281	C01530
