PC	metabolite	loading	cum_var	PubChem	KEGG
2	pinitol	0.222598119097388	0.0495499226256948	164619	
2	serine	0.211341285819887	0.0942150617176982	5951	C00065
2	phosphoethanolamine	0.206861970366268	0.137006936501513	1015	C00346
2	threonine	0.176200323147672	0.168053490378857	6288	C00188
2	N-methylethanolamine	-0.174268857642454	0.198423125122863	8016	
2	2-ketoisocaproic acid	0.16560176012814	0.225847068080401	70	C00233
2	proline	0.153473251709584	0.249401107070714	145742	C00148
2	lyxose	0.148566788469567	0.271473197706875	439240	C00476
2	pyrrole-2-carboxylic acid	0.148115662175923	0.293411447088687	12473	C05942
2	alanine	-0.148061421368763	0.315333631586426	5950	C00041
2	uracil	0.146670820753489	0.336845961246928	1174	C00106
2	methionine sulfoxide	0.146604491434391	0.358338838155665	158980	C02989
2	urea	0.13743423702233	0.377227007661575	1176	C00086
2	methanolphosphate	0.135941558467085	0.395707114980035	13130	
2	ononitol	0.135555317070805	0.414082358966201	230881	
2	N-acetylglucosamine-6-phosphate 	0.131685226157128	0.431423357754255	129630434	C00357
2	asparagine	0.13097840176189	0.448578699482354	6267	C00152
2	xylitol	0.129545328457642	0.465360691607552	6912	C00379
2	3-Amino-2-piperidone 	0.128574651176555	0.481892132532725	5200225	
2	arabitol	0.125156351565606	0.497556244869939	94154	C01904
